,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,wID,x,y,Views,Weight,Main topic,Subtopic
1597,7.0,1297375.0,"Ховард, Рон",4.0,0.9886782765388488,Q103646,Culture.Biography.Biography*,192.0,34014.0,192.0,14.0,192.0,21.515152,1297375.0,-2725.1096,-797.50226,5869.0,6.920747935771941,Culture,Biography*
1598,5.0,1297647.0,Праздники и памятные дни Азербайджана,16.0,0.99219411611557,Q933504,Culture.Biography.Biography*,18.0,1739.8206524334994,125.0,33.0,98.0,17.676767,1297647.0,2052.9468,-1334.4487,826.0,4.9609705805778495,Culture,Biography*
1599,2.0,1300433.0,"Вандам, Жозеф Доминик Рене",21.0,0.9886782765388488,Q506328,Culture.Biography.Biography*,132.0,0.0,136.0,11.0,0.0,11.919192,1300433.0,-3603.6868,-645.2297,256.0,1.9773565530776975,Culture,Biography*
1600,1.0,1300844.0,"Виноградов, Дмитрий Иванович",8.0,0.99219411611557,Q4111757,Culture.Biography.Biography*,15.0,0.0,102.0,11.0,163.0,10.0,1300844.0,1978.4818,-2706.3696,517.0,0.99219411611557,Culture,Biography*
1601,2.0,1300877.0,"Стриженов, Александр Олегович",10.0,0.9954004287719728,Q4443975,Culture.Biography.Biography*,71.0,0.0,78.0,9.0,195.0,11.919192,1300877.0,241.52385,-1366.0906,5615.0,1.9908008575439455,Culture,Biography*
1602,4.0,1302443.0,"Макей, Владимир Владимирович",6.0,0.9755869507789612,Q2026222,Culture.Biography.Biography*,192.0,0.2,192.0,23.0,192.0,15.757576,1302443.0,-1226.6531,1992.9427,1372.0,3.9023478031158447,Culture,Biography*
1603,9.0,1306044.0,Янг Бойз,26.0,0.7718535065650941,Q190526,Culture.Sports,0.0,1073.9484777574414,65.0,2.0,253.0,25.353535,1306044.0,-576.309,-1648.2379,1469.0,6.946681559085847,Culture,Sports
1604,4.0,1314253.0,Уроки французского (фильм),2.0,0.9591643214225768,Q4477241,History_and_Society.Military_and_warfare,167.0,2899.575727943851,127.0,3.0,0.0,15.757576,1314253.0,-2202.3474,894.8798,1018.0,3.836657285690307,History_and_Society,Military_and_warfare
1605,1.0,1314366.0,"Гнатюк, Николай Васильевич",18.0,0.991162657737732,Q4140604,Culture.Biography.Biography*,233.0,0.0,111.0,10.0,132.0,10.0,1314366.0,-1005.73236,3590.3591,3004.0,0.991162657737732,Culture,Biography*
1606,23.0,1316248.0,Лига чемпионов УЕФА 2003/2004,26.0,0.9755869507789612,Q244467,Culture.Sports,0.0,5325.692839561845,65.0,2.0,253.0,52.22222,1316248.0,-1030.8575,-2171.9194,0.0,22.438499867916107,Culture,Sports
1607,2.0,1319135.0,345-й гвардейский парашютно-десантный полк,18.0,0.9981998205184937,Q2026048,History_and_Society.Military_and_warfare,233.0,0.0,111.0,10.0,132.0,11.919192,1319135.0,-1264.9281,3303.5735,1686.0,1.9963996410369873,History_and_Society,Military_and_warfare
1608,2.0,1321090.0,Летний кубок КВН,10.0,0.16027602553367615,Q4260131,History_and_Society.Politics_and_government,71.0,0.0,78.0,9.0,195.0,11.919192,1321090.0,138.5582,-1846.1760000000002,4053.0,0.3205520510673523,History_and_Society,Politics_and_government
1609,6.0,1324364.0,Медаль «200 лет Министерству обороны»,18.0,0.9976133108139038,Q16485587,History_and_Society.Society,233.0,13277.67974391501,111.0,10.0,132.0,19.595959,1324364.0,-1011.56396,3220.1843,1129.0,5.985679864883423,History_and_Society,Society
1610,7.0,1324754.0,"Де Йонг, Сим",24.0,0.9960646033287048,Q349332,Culture.Biography.Biography*,0.0,9310.159850874594,172.0,0.0,0.0,21.515152,1324754.0,292.117,317.36606,623.0,6.972452223300934,Culture,Biography*
1611,2.0,1325577.0,"Сагалевич, Анатолий Михайлович",20.0,0.9808859825134276,Q3182047,Culture.Biography.Biography*,234.0,0.0,159.0,29.0,0.0,11.919192,1325577.0,-2803.5376,-1800.759,625.0,1.9617719650268552,Culture,Biography*
1612,4.0,1325751.0,"Шемякин, Михаил Михайлович",33.0,0.998142421245575,Q2025924,Culture.Biography.Biography*,23.0,83558.9266418663,140.0,21.0,0.0,15.757576,1325751.0,-1290.8247,1509.078,2820.0,3.9925696849823,Culture,Biography*
1613,1.0,1326097.0,Агент Джонни Инглиш,10.0,0.997120440006256,Q337881,Culture.Media.Films,71.0,0.0,78.0,9.0,195.0,10.0,1326097.0,-28.758709000000003,-1841.2881,5590.0,0.997120440006256,Culture,Films
1614,1.0,1327805.0,Сражение в районе Дубно — Луцк — Броды,11.0,0.9814634323120116,Q708213,History_and_Society.Military_and_warfare,192.0,0.0,192.0,1.0,192.0,10.0,1327805.0,1676.7964,-1015.3558,0.0,0.9814634323120116,History_and_Society,Military_and_warfare
1615,31.0,1328372.0,Даин II Железностоп,38.0,0.6584275364875793,Q1767106,Culture.Literature,192.0,694.2142435433859,192.0,32.0,192.0,67.57576,1328372.0,82.63804,-3337.642000000001,593.0,20.41125363111496,Culture,Literature
1616,2.0,1328764.0,"Зайцева, Людмила Васильевна",39.0,0.9899964332580566,Q4184463,Culture.Biography.Biography*,133.0,3099.0,36.0,26.0,236.0,11.919192,1328764.0,1316.3805,1934.4147,2509.0,1.9799928665161133,Culture,Biography*
1617,1.0,1329385.0,"Ротшильд, Джейкоб",33.0,0.9989112615585328,Q2026032,Culture.Biography.Biography*,23.0,0.0,140.0,21.0,0.0,10.0,1329385.0,-839.2819,1540.2913,1640.0,0.9989112615585328,Culture,Biography*
1618,1.0,1330458.0,"Лисовская, Янина Константиновна",39.0,0.9982553720474244,Q4263266,Culture.Biography.Biography*,133.0,0.0,36.0,3.0,236.0,10.0,1330458.0,1207.7234,2036.0620000000001,1005.0,0.9982553720474244,Culture,Biography*
1619,2.0,1330497.0,Скандал вокруг сексуальных домогательств в католической церкви,12.0,0.21734751760959625,Q573565,History_and_Society.Politics_and_government,192.0,4021.2532582944787,192.0,34.0,192.0,11.919192,1330497.0,1224.1743,949.5315,2337.0,0.4346950352191925,History_and_Society,Politics_and_government
1620,2.0,1330791.0,Орден Заслуг (Венгрия),30.0,0.4114462008476257,Q113068,Geography.Regions.Europe.Eastern_Europe,208.0,2212.5469002092577,65.0,10.0,227.0,11.919192,1330791.0,-1861.0225,97.50724,1376.0,0.8228924016952514,Geography,Eastern_Europe
1621,20.0,1338263.0,Селигерская (станция метро),5.0,0.9946250915527344,Q4413756,History_and_Society.Transportation,192.0,0.16666666666666669,192.0,30.0,192.0,46.464645000000004,1338263.0,3283.527,-1476.1238,2565.0,19.892501831054688,History_and_Society,Transportation
1622,3.0,1338660.0,Внешняя политика Китайской Республики,6.0,0.99753737449646,Q197428,History_and_Society.Society,192.0,7009.030746907191,192.0,23.0,192.0,13.838384,1338660.0,-1485.7113,2201.9321,1208.0,2.99261212348938,History_and_Society,Society
1623,4.0,1340634.0,"Маркизио, Клаудио",24.0,0.9981998205184937,Q179995,Culture.Sports,0.0,24364.456527099537,172.0,0.0,0.0,15.757576,1340634.0,418.05804,961.4723,89511.0,3.9927992820739746,Culture,Sports
1624,6.0,1341008.0,"Камболов, Руслан Александрович",29.0,0.9993221759796144,Q1964953,Culture.Biography.Biography*,182.0,6197.000000000001,168.0,4.0,0.0,19.595959,1341008.0,1840.8611,633.05884,1953.0,5.995933055877686,Culture,Biography*
1625,1.0,1344578.0,Древние контакты между Китаем и Средиземноморьем,18.0,0.4990100135803223,Q182246,Geography.Regions.Asia.Asia*,233.0,0.0,111.0,10.0,132.0,10.0,1344578.0,-138.36833000000001,3361.4211,994.0,0.4990100135803223,Geography,Asia*
1626,1.0,1346665.0,"Олимпик (футбольный клуб, Донецк)",29.0,0.9566442370414734,Q616528,Culture.Sports,182.0,0.0,168.0,4.0,0.0,10.0,1346665.0,1732.6357,706.19885,1177.0,0.9566442370414734,Culture,Sports
1627,1.0,1347600.0,Большие гонки (телепрограмма),34.0,0.974052667617798,Q27965341,Culture.Media.Television,192.0,0.0,192.0,39.0,192.0,10.0,1347600.0,712.07465,-1670.6976,1721.0,0.974052667617798,Culture,Television
1628,1.0,1348963.0,"Стриженова, Лионелла Ивановна",39.0,0.994098961353302,Q4385350,Culture.Biography.Biography*,133.0,0.0,36.0,3.0,236.0,10.0,1348963.0,1134.8778,2156.3547,2610.0,0.994098961353302,Culture,Biography*
1629,3.0,1349019.0,"Стриженова, Марианна Александровна",0.0,0.9926641583442688,Q4443977,Culture.Biography.Biography*,0.0,7987.956451396099,105.0,12.0,208.0,13.838384,1349019.0,-1461.3818,1255.5854,2692.0,2.9779924750328064,Culture,Biography*
1630,5.0,1351721.0,"Вавринка, Стэн",30.0,0.9981998205184937,Q193661,Culture.Sports,208.0,1.1666666666666663,65.0,27.0,227.0,17.676767,1351721.0,-1577.9562,142.56445,1711.0,4.990999102592468,Culture,Sports
1631,2.0,1355041.0,"Арямнов, Андрей Николаевич",18.0,0.998803436756134,Q502797,Culture.Biography.Biography*,233.0,9291.0,111.0,10.0,132.0,11.919192,1355041.0,-573.72974,3799.2454,1193.0,1.997606873512268,Culture,Biography*
