,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
2076166,"Мухика, Хосе",25,2076166,17.676767,192,192,192,222.66267,-515.2348,2076166,5,25,8496.726782355056,Q9094
2076183,Шпион по соседству,23,2076183,10.0,192,192,192,82.61531,-315.39954,2076183,1,40,0.0,Q847435
2079735,Голосящий КиВиН,21,2079735,21.515152,0,136,132,-3390.955,-198.07843,2079735,7,12,48822.34522283451,Q4142200
2081226,Мировые рекорды в тяжёлой атлетике,18,2081226,13.838384,132,111,233,-698.23285,3473.6375,2081226,3,10,6197.0,Q606511
2084532,Аутентификация в Интернете,16,2084532,10.0,98,125,18,1866.7214,-2068.8152,2084532,1,18,0.0,Q4072463
2086445,"Бурков, Александр Леонидович",7,2086445,13.838384,192,192,192,2522.032,62.583527,2086445,3,31,4850.679798834086,Q4099632
2086566,"Константинов, Алексей Алексеевич",8,2086566,10.0,163,102,15,1438.4889,-2776.8628,2086566,1,11,0.0,Q4231337
2091277,"Эйнауди, Людовико",0,2091277,13.838384,208,105,0,-2364.1304,1340.0476,2091277,3,11,6197.0,Q83182
2092360,"Кулидж, Дженнифер",28,2092360,11.919192,192,192,192,513.3636,-332.38354,2092360,2,18,0.0,Q230278
2096308,"Варчук, Сергей Иванович",0,2096308,10.0,208,105,0,-2138.6885,1301.7747,2096308,1,11,0.0,Q4104058
2097097,"Чудо (фильм, 2009, Россия)",8,2097097,10.0,163,102,15,1848.6023,-2450.0972,2097097,1,11,0.0,Q4517676
