,Label,Modularity Class,wID,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
2829701,"Письмиченко,_Светлана_Викторовна",39,2829701,11.919192,236,36,133,1042.8733,1884.4695,2829701,2,31,44318.37686374006
2836356,Мила_Нитич,1,2836356,15.757576,89,153,0,1852.9794,1285.5762,2836356,4,6,2700.095274733757
2847363,"Неверов,_Сергей_Иванович",18,2847363,10.0,132,111,233,-849.9556,3574.6753,2847363,1,10,0.0
2848226,Чехословацкая_Социалистическая_Республика,31,2848226,36.868687,255,0,77,1167.056,-1373.6514,2848226,15,1,171849.48120221435
2850404,Погребённый_заживо,21,2850404,10.0,0,136,132,-3117.51,-276.4575,2850404,1,12,0.0
2851726,Катетер,18,2851726,10.0,132,111,233,-1082.6956,3288.3125,2851726,1,10,0.0
2851747,Код_да_Винчи,4,2851747,21.515152,192,192,192,-2566.6594,-954.8997,2851747,7,14,12387.0
2851750,Цифровая_крепость,4,2851750,15.757576,192,192,192,-2352.4922,-862.6183,2851750,4,14,0.0
2853151,Точка_обмана,4,2853151,17.676767,192,192,192,-2465.86,-839.18427,2853151,5,14,61600.0
2855910,"Раджабов,_Мурад_Ядгарович",0,2855910,10.0,208,105,0,-2275.5708,1248.173,2855910,1,12,0.0
2861439,"Христенко,_Игорь_Владленович",18,2861439,13.838384,132,111,233,-266.7103,2021.8167,2861439,3,10,0.0
2868559,Битва_при_Гогенфридберге,31,2868559,11.919192,255,0,77,1027.7556,-1190.1753,2868559,2,1,0.0
2882263,Закон_Магнитского,30,2882263,19.595959,227,65,208,-1782.7317,414.35797,2882263,6,27,55157.09342322682
2882772,Обжинки,12,2882772,10.0,192,192,192,1397.4683,1049.3239,2882772,1,34,0.0
2885264,Коко-Соло,1,2885264,13.838384,89,153,0,2080.9106,1717.3668,2885264,3,6,9225.31654611515
2885886,Пающие_трусы,18,2885886,11.919192,132,111,233,-816.2753,2543.5635,2885886,2,16,3036.294827963391
2893381,Грузинская_православная_церковь,12,2893381,17.676767,192,192,192,1348.1434,1011.612,2893381,5,34,17819.082027282115
2908472,"Девушка,_которая_взрывала_воздушные_замки_(фильм)",35,2908472,21.515152,192,192,192,-660.4288,1108.9827,2908472,7,36,0.16666666666666666
2913761,"Саркисов,_Николай_Эдуардович",30,2913761,10.0,227,65,208,-1550.9545,-45.257732,2913761,1,10,0.0
2916035,"Саркисов,_Сергей_Эдуардович",30,2916035,13.838384,227,65,208,-1726.7601,25.787045,2916035,3,10,6769.096299891734
2916313,Клондайкская_золотая_лихорадка,6,2916313,11.919192,192,192,192,-1554.4482,2378.716,2916313,2,23,3099.0
2918085,Битва_при_Думлупынаре,16,2918085,10.0,98,125,18,1898.6526,-1998.2725,2918085,1,33,0.0
2919396,Фуникова_Гора,19,2919396,11.919192,192,192,192,2180.8162,-706.06213,2919396,2,17,0.0
2922227,Опасные_тропы,39,2922227,10.0,236,36,133,707.281,2140.778,2922227,1,3,0.0
2927967,"Терехов,_Александр_Михайлович",39,2927967,11.919192,236,36,133,768.2793,1504.764,2927967,2,3,0.0
2941140,Ростов_Арена,29,2941140,15.757576,0,168,182,1189.358,490.65457,2941140,4,4,4985.227108002904
2946078,"Моисеев,_Алексей_Валерьевич",37,2946078,10.0,192,192,192,-1614.5475,1514.5868,2946078,1,3,0.0
2948666,"Крылова,_Людмила_Ивановна",39,2948666,13.838384,236,36,133,1257.039,1571.4061,2948666,3,3,10385.772201225092
2950389,"Яцкина,_Галина_Ивановна",10,2950389,10.0,195,78,71,390.2629,-1637.1006,2950389,1,9,0.0
2952248,"Мясникович,_Михаил_Владимирович",6,2952248,25.353535,192,192,192,-1172.5176,2226.14,2952248,9,23,775.3666666666667
2953138,"Кобяков,_Андрей_Владимирович",6,2953138,23.434343,192,192,192,-1532.9513,2449.3398,2953138,8,23,2325.0833333333335
2956262,"Царёв,_Олег_Анатольевич",41,2956262,13.838384,155,95,153,-2300.5166,-2990.533,2956262,3,8,41.94815106478623
2959233,"Добрынина,_Анастасия_Андреевна",18,2959233,11.919192,132,111,233,-700.6401,3075.7864,2959233,2,10,3099.0
2959758,"Третий_лишний_(фильм,_2012)",17,2959758,11.919192,0,134,233,-1140.8864,-2475.7485,2959758,2,22,3099.0
2961631,Улица_Дмитриевского_(станция_метро),5,2961631,46.464645,192,192,192,4135.308,-1523.3369,2961631,20,30,19.13987842751248
2969513,"Кузнецов,_Евгений_Евгеньевич",31,2969513,13.838384,255,0,77,627.7389,-947.85156,2969513,3,1,0.0
2972769,Ид_мубарак,16,2972769,21.515152,98,125,18,2301.2705,-1630.5355,2972769,7,33,1872.1839930500937
2977750,Сан-Педро-Сула,24,2977750,10.0,0,172,0,309.3886,538.2192,2977750,1,0,0.0
2982740,Акшай_Кумар,9,2982740,11.919192,150,127,0,2781.431,184.97989,2982740,2,13,0.0
2984779,Раменки_(станция_метро),5,2984779,54.141415,192,192,192,3674.9084,-801.64185,2984779,24,30,862.9927793825392
2985569,Золотой_мяч_ФИФА,26,2985569,11.919192,253,65,0,-1440.6222,-511.76404,2985569,2,2,9310.870874956116
2988142,"Орлов,_Дмитрий_Владимирович",31,2988142,13.838384,255,0,77,203.1594,-1253.3461,2988142,3,1,0.0
2990732,Нижегородская_(станция_метро),5,2990732,48.38384,192,192,192,2783.1914,-1404.8773,2990732,21,30,19.306545094179143
2996504,Самара_Арена,29,2996504,13.838384,0,168,182,886.956,142.34535,2996504,3,4,1522.2066435369882
2998685,"Блэк,_Шейн",1,2998685,10.0,89,153,0,1933.2926,977.6896,2998685,1,6,0.0
3000644,"Таланов,_Сергей_Александрович",18,3000644,11.919192,132,111,233,-46.822754,2964.3403,3000644,2,10,6196.0
3010152,"Мактавиш,_Грэм",38,3010152,11.919192,192,192,192,645.85565,-2850.901,3010152,2,32,3218.618913473768
3012847,"Шюррле,_Андре",29,3012847,17.676767,0,168,182,1851.2932,-41.98308,3012847,5,4,7124.883271441968
3017484,"Стронг,_Бренда",15,3017484,10.0,192,192,192,934.45166,-1815.2389,3017484,1,13,0.0
3019296,"Воробьёв,_Юрий_Леонидович",18,3019296,15.757576,132,111,233,-1394.2614,2476.0466,3019296,4,10,19698.76855789406
3034101,Как_украсть_небоскрёб,9,3034101,10.0,150,127,0,2792.4004,516.3954,3034101,1,13,0.0
3038209,Выкрутасы_(фильм),37,3038209,11.919192,192,192,192,-1807.8297,1510.58,3038209,2,3,3098.9999999999995
3040225,"Одержимость_(фильм,_2009)",15,3040225,10.0,192,192,192,1121.6572,-1892.4905,3040225,1,13,0.0
3042006,"Муди,_Джеймс_Пол",20,3042006,42.626263,0,159,234,-2757.022,-1596.0363,3042006,18,29,311.44215086441005
3046109,"Суровикин,_Сергей_Владимирович",14,3046109,17.676767,0,134,82,-2596.391,198.2931,3046109,5,7,4275.376170124576
3047072,"Тихая_застава_(фильм,_2011)",18,3047072,11.919192,132,111,233,-1300.6337,2809.107,3047072,2,7,3288.34973722299
