,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1888,1.0,3337849.0,2005 Iranian Air Force C-130 crash,0.8991314172744751,Q2822708,History_and_Society.Transportation,97.0,0.0,136.0,34.0,0.0,10.0,3.0028174,1.3698758,1076.0,0.8991314172744751,History_and_Society,Transportation
1889,13.0,3338656.0,Edward du Cann,0.9994029402732848,Q5346052,Culture.Biography.Biography*,225.0,15485.042236960127,71.0,6.0,228.0,17.702702,2.3479512000000002,7.1558337,1266.0,12.992238223552702,Culture,Biography*
1890,6.0,3340088.0,QAnon,0.9777238368988036,Q51213808,History_and_Society.Politics_and_government,190.0,9012.20033867719,119.0,0.0,60.0,13.209458999999999,14.901302,-5.114751,286080.0,5.866343021392821,History_and_Society,Politics_and_government
1891,2.0,3341713.0,The Gale Storm Show,0.9958112239837646,Q7735616,Culture.Media.Media*,95.0,5499.0,73.0,18.0,199.0,10.6418915,-20.2968,18.317919,1436.0,1.9916224479675293,Culture,Media*
1892,11.0,3346601.0,Leonard Boyarsky,1.0000100135803225,Q917565,Culture.Media.Video_games,175.0,16915.947861203884,145.0,32.0,0.0,16.418919,-7.5038023,-3.5602305,7688.0,11.000110149383547,Culture,Video_games
1893,2.0,3347978.0,List of historical currencies,0.3764868249893189,Q2042322,Geography.Regions.Europe.Europe*,54.0,5498.999999999999,159.0,27.0,0.0,10.6418915,10.426244,-16.873123,3479.0,0.7529736499786378,Geography,Europe*
1894,1.0,3352128.0,Erik Kuselias,0.9914325475692748,Q5388678,Culture.Biography.Biography*,65.0,0.0,15.0,38.0,255.0,10.0,-20.010006,-8.1874275,2680.0,0.9914325475692748,Culture,Biography*
1895,1.0,3373497.0,Mohamed Zidan,0.9955416321754456,Q76866,Culture.Biography.Biography*,145.0,0.0,163.0,9.0,0.0,10.0,-12.02125,-11.58187,3252.0,0.9955416321754456,Culture,Biography*
1896,3.0,3380977.0,Trigger Twins,1.0000100135803225,Q684939,Culture.Literature,192.0,16.0,192.0,16.0,192.0,11.283783999999999,-22.509476,6.8879023,20417.0,3.0000300407409677,Culture,Literature
1897,3.0,3387496.0,Stadio Olimpico Grande Torino,0.9820237755775452,Q214629,Culture.Sports,28.0,16491.0,127.0,4.0,89.0,11.283783999999999,-9.879971000000001,-8.698758999999999,4687.0,2.9460713267326355,Culture,Sports
