,Degree,Id,Label,Probability,Qid,Topic,Unnamed: 0.1,betweenesscentrality,modularity_class,Views
71,5.0,1401.0,活性炭,0.4765896201133728,Q190878,STEM.Medicine_&_Health,1401.0,4841.23364394283,3.0,2960.0
72,5.0,1401.0,活性炭,0.16886694729328156,Q190878,STEM.Technology,1401.0,4841.23364394283,3.0,2960.0
73,2.0,1581.0,英国国旗,0.9960646033287048,Q83278,History_and_Society.History,1581.0,729.7965352031803,4.0,2327.0
74,2.0,1581.0,英国国旗,0.21124218606948847,Q83278,Geography.Regions.Europe.Europe*,1581.0,729.7965352031803,4.0,2327.0
75,2.0,1581.0,英国国旗,0.037993239402771,Q83278,Geography.Regions.Europe.Northern_Europe,1581.0,729.7965352031803,4.0,2327.0
76,2.0,1581.0,英国国旗,0.0,Q83278,Geography.Geographical,1581.0,729.7965352031803,4.0,2327.0
77,4.0,1604.0,尼古拉·哥白尼,0.9947898983955384,Q619,Culture.Biography.Biography*,1604.0,1168.977331000842,3.0,2965.0
78,4.0,1604.0,尼古拉·哥白尼,0.6442351341247559,Q619,Culture.Philosophy_and_religion,1604.0,1168.977331000842,3.0,2965.0
79,4.0,1604.0,尼古拉·哥白尼,0.33459946513175964,Q619,STEM.STEM*,1604.0,1168.977331000842,3.0,2965.0
80,4.0,1604.0,尼古拉·哥白尼,0.3165845146179199,Q619,Geography.Regions.Europe.Europe*,1604.0,1168.977331000842,3.0,2965.0
81,4.0,1604.0,尼古拉·哥白尼,0.15611489117145538,Q619,History_and_Society.History,1604.0,1168.977331000842,3.0,2965.0
82,4.0,1604.0,尼古拉·哥白尼,0.0,Q619,Geography.Regions.Europe.Eastern_Europe,1604.0,1168.977331000842,3.0,2965.0
83,4.0,1604.0,尼古拉·哥白尼,0.0,Q619,Geography.Regions.Europe.Western_Europe,1604.0,1168.977331000842,3.0,2965.0
84,4.0,1604.0,尼古拉·哥白尼,0.0,Q619,Geography.Regions.Europe.Northern_Europe,1604.0,1168.977331000842,3.0,2965.0
85,2.0,1741.0,丹麦国旗,0.99593985080719,Q60149,History_and_Society.History,1741.0,63.34307881711809,4.0,1336.0
86,2.0,1741.0,丹麦国旗,0.4334051480293274,Q60149,Geography.Regions.Europe.Northern_Europe,1741.0,63.34307881711809,4.0,1336.0
87,2.0,1741.0,丹麦国旗,0.4114462008476257,Q60149,Geography.Regions.Europe.Europe*,1741.0,63.34307881711809,4.0,1336.0
88,5.0,1806.0,恒河,0.9496793746948242,Q5089,Geography.Regions.Asia.Asia*,1806.0,16309.405615797925,3.0,3454.0
89,5.0,1806.0,恒河,0.8962613940238953,Q5089,Geography.Regions.Asia.South_Asia,1806.0,16309.405615797925,3.0,3454.0
90,5.0,1806.0,恒河,0.7718535065650941,Q5089,Geography.Geographical,1806.0,16309.405615797925,3.0,3454.0
91,5.0,1806.0,恒河,0.16452647745609286,Q5089,History_and_Society.Society,1806.0,16309.405615797925,3.0,3454.0
92,12.0,1859.0,伽利略·伽利莱,0.9972090721130372,Q307,Culture.Biography.Biography*,1859.0,34267.339577551385,3.0,3666.0
93,12.0,1859.0,伽利略·伽利莱,0.6859594583511353,Q307,Culture.Philosophy_and_religion,1859.0,34267.339577551385,3.0,3666.0
94,12.0,1859.0,伽利略·伽利莱,0.26285186409950256,Q307,STEM.STEM*,1859.0,34267.339577551385,3.0,3666.0
95,12.0,1859.0,伽利略·伽利莱,0.13604079389572146,Q307,Geography.Regions.Europe.Europe*,1859.0,34267.339577551385,3.0,3666.0
96,12.0,1859.0,伽利略·伽利莱,0.13297423720359802,Q307,History_and_Society.History,1859.0,34267.339577551385,3.0,3666.0
