Id,Label,timeset,modularity_class,wID,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
39435918,Marco_Cecchinato,,37,39435918,1,24,0.090051,0.09758,0
325024,British_Transport_Police,,18,325024,10,18,0.123246,0.141152,10971.385963
8626854,Actions_along_the_Matanikau,,33,8626854,3,21,0.097898,0.108339,0
33312556,List_of_songs_written_by_Diane_Warren,,2,33312556,3,23,0.09409,0.101185,9291
50358904,Soyuz_abort_modes,,0,50358904,24,23,0.098158,0.112882,107463.506912
3859706,Chris_Thomas_(record_producer),,34,3859706,2,21,0.091451,0.09944,18572
35270284,Jonathan_Capehart,,5,35270284,1,24,0.096449,0.106381,0
39330816,Ryan_McDonough_(NBA_executive),,8,39330816,1,26,0.095276,0.103727,0
5718572,Fredi_Gonz?lez,,8,5718572,2,26,0.093941,0.105062,4646
51034378,Iowa_Hawkeyes_football_statistical_leaders,,1,51034378,5,25,0.09726,0.115042,634.703109
51686838,Famine_in_Yemen_(2016?present),,18,51686838,5,22,0.114329,0.130038,76568.000083
40898534,Rubin_Schron,,0,40898534,1,21,0.092386,0.099635,0
58665210,Balkh_Legends,,15,58665210,5,24,0.092421,0.099684,6964.5
29707474,"Invisible_Children,_Inc.",,18,29707474,3,25,0.0852,0.091227,0
1264368,Neil_Mellor,,17,1264368,2,24,0.083891,0.091078,32480
177388,Princess_Beatrice_of_York,,43,177388,19,20,0.128644,0.148734,153360.803829
51411910,Myles_Gaskin,,25,51411910,3,26,0.096046,0.112994,1241.937805
2910952,The_Seventh_Victim,,33,2910952,2,30,0.052408,0.054592,4646
27258624,Patr?cio_Freire,,4,27258624,5,26,0.093007,0.109198,646.013936
559294,Suicide_Squad,,40,559294,15,21,0.110328,0.123343,103279.208274
25972666,Visa_requirements_for_Azerbaijani_citizens,,45,25972666,11,21,0.109986,0.124813,13665.197126
23304432,Jared_Waerea-Hargreaves,,32,23304432,8,24,0.110601,0.123723,6639.402893
18010540,Z?e_Salmon,,44,18010540,11,22,0.101636,0.114568,24845.753143
417528,Adam_Price,,19,417528,2,22,0.099717,0.108645,4646
20369866,Atlanta_Braves_Radio_Network,,8,20369866,4,26,0.097671,0.110302,0
23643784,Effects_of_Hurricane_Hazel_in_Canada,,6,23643784,2,21,0.097976,0.114885,0.378492
25190,Politics_of_Qatar,,45,25190,2,21,0.098347,0.108246,0
3021988,Eduardo_P?rez,,8,3021988,13,24,0.110501,0.129165,9303.074864
50915626,Dylan_Keogh,,20,50915626,4,27,0.078155,0.084076,4646.5
36994830,Belinda_Bencic,,37,36994830,6,27,0.072878,0.08123,5618.561734
36451734,A_Town_Called_Mercy,,12,36451734,6,24,0.085645,0.093364,0
48875416,Kostas_Tsimikas,,17,48875416,3,22,0.097871,0.110815,25048.091872
47602174,Proud_Boys,,28,47602174,8,20,0.097696,0.110707,114918.651643
18964,Madagascar,,45,18964,23,21,0.107984,0.12478,489223.407032
413646,"Shamil,_3rd_Imam_of_Dagestan",,4,413646,4,27,0.080803,0.090484,80.58317
1908702,Tina_Heath,,44,1908702,10,23,0.09417,0.105639,0
6577088,Thiruvilaiyaadal_Aarambam,,10,6577088,1,29,0.061494,0.066705,0
2615904,Timeline_of_Hurricane_Katrina,,1,2615904,6,20,0.111289,0.13672,223710.958615
1080112,Saint_Kitts_and_Nevis_national_football_team,,11,1080112,10,23,0.100698,0.115948,22985.824342
512956,J._C._Watts,,1,512956,3,25,0.094893,0.112409,534.93249
52217534,Pinelopi_Koujianou_Goldberg,,29,52217534,2,27,0.08437,0.090949,0
1853148,Torque_(film),,2,1853148,2,24,0.078038,0.083048,4646
1091050,Jerry_Krause,,40,1091050,8,22,0.107024,0.124045,130471.255866
2181902,Tamara_Beckwith,,43,2181902,1,21,0.112884,0.125513,0
57724014,2019_FIA_Formula_2_Championship,,9,57724014,3,27,0.082451,0.088557,1164
1447560,Eddie_Robinson_(American_football_coach),,25,1447560,1,27,0.087166,0.098154,0
1505350,Anne_Jeffreys,,16,1505350,1,28,0.070017,0.073486,0
32970784,Mario_Addison,,1,32970784,1,24,0.10093,0.117498,0
57605810,2018_International_Crown,,15,57605810,2,26,0.078085,0.082347,0
34441850,Tom_Rogic,,15,34441850,7,22,0.107927,0.12374,43377.770848
58024098,Emile_Smith_Rowe,,17,58024098,1,24,0.090375,0.098766,0
19759794,Paddington_Bear,,30,19759794,1,27,0.072379,0.0794,0
5289796,Haka_(sports),,43,5289796,1,21,0.106453,0.11625,0
784512,Indigenous_peoples_of_Arizona,,0,784512,1,26,0.090142,0.100622,0
907210,Everlast_(musician),,20,907210,2,27,0.07833,0.084214,4646
1468224,Ryan_Kesler,,13,1468224,5,26,0.089684,0.099015,52910.780708
6483476,The_Lady_Is_a_Tramp,,16,6483476,5,24,0.084078,0.090075,13934
2681102,Comoros_national_football_team,,11,2681102,21,23,0.102794,0.121113,38471.920477
5759560,Jos?_Mojica_Marins,,35,5759560,2,26,0.083539,0.090147,0
40770028,Lido,,20,40770028,1,26,0.084782,0.092779,0
54656250,Dementia_13_(2017_film),,33,54656250,1,25,0.070381,0.07394,0
47138390,The_Greg_Gutfeld_Show,,8,47138390,1,24,0.116817,0.131774,0
254954,Mount_Pel?e,,0,254954,4,27,0.082721,0.09108,4644
4278168,Arm_triangle_choke,,4,4278168,3,27,0.078899,0.085977,1127.638355
34773520,Dan_Sarginson,,32,34773520,12,24,0.106715,0.119124,216.192958
13438028,James_McArthur,,17,13438028,3,25,0.080875,0.087521,0
47092196,Shimron_Hetmyer,,21,47092196,7,32,0.056725,0.062001,18.416667
43506008,Nikola_Vla?i?,,26,43506008,10,24,0.093063,0.101985,69392.801928
48268960,Daniil_Medvedev,,37,48268960,4,23,0.097546,0.106939,7621.666999
9685866,Neil_Crompton,,24,9685866,6,28,0.077164,0.086134,28.161926
759222,History_of_the_West_Indian_cricket_team,,21,759222,4,32,0.056748,0.062386,9309.142563
45159944,Maro_Itoje,,32,45159944,3,25,0.096657,0.106626,22142.4
56200832,2017_Wichita_swatting,,29,56200832,1,24,0.079248,0.083971,0
350052,Will_Vinton,,16,350052,2,27,0.075311,0.079956,4646
56153768,Judo_at_the_2018_Summer_Youth_Olympics,,30,56153768,29,25,0.083888,0.09811,2557.97115
2373784,Rocky_Long,,25,2373784,5,26,0.103345,0.122209,6952.792747
2336506,Missionary_(LDS_Church),,27,2336506,9,25,0.108201,0.125401,121662.76348
1678830,Cheryl_Baker,,44,1678830,6,24,0.086121,0.094951,50996
26246572,Visa_requirements_for_Tanzanian_citizens,,45,26246572,9,20,0.109036,0.123362,28.640503
4875566,1991_Halloween_blizzard,,6,4875566,3,21,0.098443,0.115183,9291
50717224,Susanne_Craig,,0,50717224,3,22,0.084595,0.090322,13932
369302,Gemini_9A,,0,369302,12,25,0.08821,0.10158,407.776843
2109126,Pat_Murphy_(baseball_coach),,42,2109126,1,27,0.085136,0.091954,0
10096572,Mochitsura_Hashimoto,,43,10096572,2,21,0.103723,0.118042,23210
17181080,List_of_Maryland_hurricanes_(1950?present),,6,17181080,20,20,0.104467,0.127855,6835.701994
216204,Marsha_Blackburn,,29,216204,5,24,0.102842,0.115698,25811.264522
21164944,Bellator_MMA,,4,21164944,26,26,0.094348,0.111755,63711.08232
33113566,Sherwood_Content,,15,33113566,1,22,0.113209,0.125762,0
1343192,Crusaders_F.C.,,23,1343192,4,22,0.084981,0.091528,27219.980782
34525690,Assassination_of_Spencer_Perceval,,19,34525690,3,23,0.092252,0.09962,50996
40601592,Mesca,,11,40601592,1,25,0.086519,0.096542,0
22752020,Pravin_Gordhan,,10,22752020,6,29,0.061511,0.067642,46370
12346194,The_Dark_Side_of_the_Sun_(film),,16,12346194,1,28,0.062914,0.065293,0
1300322,J002E3,,0,1300322,1,25,0.085428,0.093439,0
50627320,Charles_Delevingne,,43,50627320,3,21,0.11309,0.126248,0
12529914,Matthew_Shepard_Foundation,,25,12529914,5,29,0.072445,0.077791,4647
4136278,Sunday_NFL_Countdown,,8,4136278,11,24,0.109362,0.130043,7568.716186
50203128,T._J._Green,,1,50203128,2,27,0.083908,0.095028,0
36445204,Tyreek_Hill,,1,36445204,13,23,0.112715,0.140025,19745.140246
4732906,American_Music_Award_for_Favorite_Adult_Contemporary_Artist,,41,4732906,16,29,0.061859,0.068179,7171.5
26896828,Linval_Joseph,,1,26896828,4,25,0.102134,0.124928,7202.701249
448570,Bukavu,,36,448570,3,24,0.08559,0.093442,0
2036596,Paul_Menard,,9,2036596,8,24,0.109395,0.123008,18635.256468
1466074,Nile_Kinnick,,1,1466074,2,25,0.092771,0.104804,0
6235318,Thomas_Jefferson_High_School_(Denver),,8,6235318,1,27,0.089025,0.098062,0
