,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
53935615,State of the World Tour,12.435898,0,146,232,-12.0799055,-7.856955,53935615,3,32,69613.78427867615,Q30637563
53936106,Lucas Reiner,12.435898,192,192,192,-7.7168555,14.540672,53936106,3,16,0.0,Q29644240
53941428,Jon Richt,10.0,60,119,190,14.301896,16.122896,53941428,1,4,0.0,Q29647660
53963570,List of Big 12 Conference football champions,20.961538,60,119,190,10.041817,22.140762,53963570,10,4,302.54051064035383,Q29915728
53963779,Danna Hernández,17.307693,0,159,54,12.525855,-0.52678335,53963779,7,18,3.0900467988850253,Q29784980
53967023,Tyquan Lewis,24.615385,69,155,0,-4.1070714,-18.61733,53967023,13,6,1689.6105046820903,Q29835301
53967802,Kevin McAleenan,10.0,228,71,225,1.0413877,0.80925477,53967802,1,3,0.0,Q30122656
53969474,2017–18 Everton F.C. season,19.74359,0,163,145,6.4957576,-8.554882,53969474,9,22,37487.864175459465,Q30328220
53971374,Damien Brown (fighter),12.435898,0,145,175,-22.713503,3.3329704,53971374,3,17,20.046810616284834,Q30122665
53973950,The Visionary,11.217949,228,71,225,-12.891953,11.786639,53973950,2,3,0.0,Q30091396
53997522,Hellboy (2019 film),22.17949,199,73,95,-11.993692,17.807024,53997522,11,9,54270.33313985931,Q30895665
54001086,Đinh Thanh Bình,11.217949,192,192,192,-24.731583,15.957711,54001086,2,44,0.0,Q29872625
54001800,Mira Ricardel,12.435898,228,71,225,21.70796,-12.2784815,54001800,3,3,0.0,Q29876186
54022614,Harold Landry,22.17949,69,155,0,11.790906,14.197522,54022614,11,6,222.84955183542687,Q29903342
54023346,Younghoe Koo,10.0,69,155,0,17.705418,-16.755259,54023346,1,4,0.0,Q29904093
54023935,Sam Hubbard,12.435898,69,155,0,19.236843,-12.665342,54023935,3,6,25.86213273148885,Q29904470
54042905,Marcus Smith (rugby player),10.0,255,15,65,10.857848,-24.642466,54042905,1,0,0.0,Q30122761
54076595,Jeremy Kennedy,11.217949,0,145,175,-9.168329,21.568718,54076595,2,17,0.0,Q30070260
54076874,List of Kolkata Knight Riders records,14.871795,234,89,0,-10.512674,4.3336205,54076874,5,21,9854.431963121138,Q30640368
54109513,Stephanie Grisham,12.435898,228,71,225,10.771226,-3.9909966,54109513,3,3,4868.620930787564,Q30015089
54141043,Empress of Mars,17.307693,192,192,192,5.8381085,-13.874285,54141043,7,29,2.1091226583873643,Q30046705
