,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
2241312,Dumb_Witness,20.961538,199,73,95,11.869015,11.974145,2241312,10,9,5.488095238095238
2242687,Sky_Box_Office,11.217949,192,192,192,-0.32638007,20.447748,2242687,2,27,10590.0
2243349,Cranberry_glass,10.0,134,102,154,-22.139154,8.347318,2243349,1,2,0.0
2244396,Miss_Brasil,81.85897,0,159,54,3.1147027,-5.0207705,2244396,60,18,5745.3356547611065
2244621,Charlene_Gonzales,12.435898,0,159,54,12.104435,7.9358044,2244621,3,18,6.875490196078433
2246220,EAFF_E-1_Football_Championship,12.435898,192,192,192,6.5965805,-14.602679,2246220,3,44,21175.0
2247312,Soccer_Saturday,11.217949,0,163,145,-12.759925,7.407213,2247312,2,22,18477.44155150136
2251617,Finlay_Currie,14.871795,192,192,192,-17.14577,-24.959702,2251617,5,0,38571.80056433627
2253007,Ashtabula_River,10.0,0,174,240,8.182517,23.779247,2253007,1,17,0.0
2258378,Houseboat_(film),12.435898,176,94,34,22.463758,-15.073825,2258378,3,38,21175.0
2259060,National_Highway_System_(United_States),12.435898,192,192,192,-24.904362,-3.027545,2259060,3,12,0.0
2266179,"National_Library,_Singapore",11.217949,0,136,97,-16.473867,13.188592,2266179,2,32,10590.0
2266765,"Rosalyn_Higgins,_Baroness_Higgins",13.653847,255,15,65,-23.291815,18.210001,2266765,4,0,8.342857142857142
2270874,Evan_and_Jaron,11.217949,192,192,192,-6.442723,-20.597734,2270874,2,3,203829.1557167008
2273044,Matt_Birk,14.871795,69,155,0,-18.834726,-3.2699366,2273044,5,6,6980.802803199569
2273326,Sue_Jenkins,10.0,146,108,232,-24.648012,13.19186,2273326,1,25,0.0
2275109,Ernie_Sims,13.653847,69,155,0,4.0144234,-3.83563,2275109,4,6,3240.3844703606383
2282833,Miss_Belgium,81.85897,0,159,54,-20.680895,19.740341,2282833,60,18,6826.479204678541
2283408,Jim_Rodford,10.0,0,174,240,-7.2540812,-11.383472,2283408,1,17,0.0
2292610,Death_Comes_as_the_End,16.089745,199,73,95,23.446707,4.663453,2292610,6,9,0.0
2294532,Lou_Lamoriello,12.435898,69,155,0,-3.3909218,3.9595442,2294532,3,33,205710.21194032044
2297864,Mark_Wills,12.435898,0,174,240,23.388603,-2.383027,2297864,3,17,0.8333333333333333
2299941,The_Pale_Horse,14.871795,199,73,95,0.8683802,14.811712,2299941,5,9,735.0429104228864
2302232,Lobamba,12.435898,154,122,0,18.822102,10.508697,2302232,3,11,0.0
2303019,Mary_Carillo,11.217949,192,192,192,18.67464,23.33033,2303019,2,27,5296.0
2303262,Simon_Walton,10.0,0,163,145,10.172089,7.712963,2303262,1,22,0.0
2304936,Twickenham_Stoop,13.653847,255,15,65,22.919394,19.854877,2304936,4,0,2646.0000000000005
2311930,Hatay_State,10.0,192,192,192,-4.5313134,6.84099,2311930,1,0,0.0
2312338,John_Aloisi,12.435898,0,163,145,4.455109,0.8208435,2312338,3,37,13322.891956485202
2313467,Ten_Little_Indians_(1965_film),12.435898,192,192,192,-12.794914,3.8386223,2313467,3,0,10591.0
2314529,Felidae_(novel),10.0,146,108,232,-12.100477,-18.443417,2314529,1,0,0.0
2318981,Marcus_Spears_(defensive_end),16.089745,60,119,190,14.38598,-16.142372,2318981,6,4,3209.0348597352054
2319311,Harry_Corbett,14.871795,255,15,65,20.793274,1.8298328,2319311,5,0,38973.99485520583
2323068,Brede_Hangeland,12.435898,254,0,145,-18.957193,-20.21944,2323068,3,22,274.2252653697227
2323073,Bernard_Miles,11.217949,192,192,192,-15.743336,-17.372938,2323073,2,0,1.5
2326113,Jean_Parker,10.0,176,94,34,-12.845913,-7.7872105,2326113,1,38,0.0
2331380,And_Then_There_Were_None_(1974_film),10.0,0,127,149,12.31026,-11.072711,2331380,1,0,0.0
2331642,Battle_of_Englefield,10.0,134,102,154,14.397694,19.466541,2331642,1,2,0.0
2331904,Jason_Hanson,14.871795,69,155,0,14.623348,-13.055596,2331904,5,6,1684.610638700229
2333003,Arthur_Mullard,13.653847,255,15,65,0.6495697,-6.249019,2333003,4,0,4.0
2334208,Our_Price,12.435898,192,192,192,13.914337,6.4064226,2334208,3,17,18844.514250995082
2336647,Fort_Mims_massacre,10.0,192,192,192,-18.486155,-9.22986,2336647,1,12,0.0
2336712,Lee_Bullen,16.089745,0,163,145,6.323201,6.6998677,2336712,6,22,19483.663898227533
2346853,Christmas_Holiday,11.217949,0,135,255,19.222116,18.399216,2346853,2,38,4354.342539462965
2347492,Lloyd_Austin,14.871795,228,71,225,-1.8680689,-15.618611,2347492,5,3,8937.853210311265
2350443,Billie_Hayes,10.0,192,192,192,-2.9052348,-1.3963097,2350443,1,16,0.0
2353750,Tommy_Walsh_(builder),10.0,134,102,154,-12.925266,13.926156,2353750,1,2,0.0
2354910,Rocky_Mountain_Fur_Company,10.0,192,192,192,10.637854,2.122555,2354910,1,12,0.0
2357239,Leigh_Lawson,12.435898,255,15,65,9.736197,-12.589268,2357239,3,0,0.0
2358469,Hollywood_accounting,10.0,192,192,192,-16.04293,19.691263,2358469,1,17,0.0
2372920,Riding_in_Cars_with_Boys,16.089745,192,192,192,-2.0384872,-10.096251,2372920,6,16,1650.824006036413
2375508,Raycom_Media,13.653847,0,146,232,14.046342,-20.187057,2375508,4,39,4483.5974811361
2379269,Ted_Roof,13.653847,60,119,190,-14.600423,8.012828,2379269,4,4,338.2818413368865
2380622,"Brother_Sun,_Sister_Moon",10.0,0,163,145,-13.118329,-8.332497,2380622,1,37,0.0
2381449,David_Dein,13.653847,255,15,65,-5.2270856,-2.4906614,2381449,4,0,16605.7606232262
2383962,Malky_Mackay,19.74359,254,0,145,10.326644,-10.707305,2383962,9,22,18773.275868644418
2384151,Marlon_Harewood,10.0,0,163,145,16.21199,-9.472768,2384151,1,22,0.0
2386766,Under_the_Cherry_Moon,11.217949,255,15,65,-3.324197,-24.526812,2386766,2,0,5296.0
2389941,Lady_on_a_Train,13.653847,176,94,34,1.8205866,16.644543,2389941,4,38,47607.0
2390024,David_Bruce_(actor),10.0,176,94,34,-17.618456,15.55026,2390024,1,38,0.0
2391659,Advanced_Combat_Rifle,11.217949,0,135,255,-5.3876395,11.278223,2391659,2,13,5296.0
2393641,Wilber_Marshall,12.435898,69,155,0,9.698178,15.159432,2393641,3,6,178.04824039269866
2393836,Syed_Kirmani,12.435898,234,89,0,-8.560949,13.270463,2393836,3,21,1702.7505892283684
2396851,Airline_meal,11.217949,192,192,192,-3.572332,-1.4924657,2396851,2,24,10589.999999999998
2400023,Sarah_Phelps,13.653847,199,73,95,23.81074,-24.655191,2400023,4,9,17897.494850525247
2401808,Chi-Chi_Rodr?guez,12.435898,0,127,149,-9.779247,-13.020555,2401808,3,15,42312.0
2403753,Spring_Byington,16.089745,176,94,34,4.7295833,-3.9169424,2403753,6,38,111191.7991264316
2403993,Margaret_Wycherly,10.0,192,192,192,12.47993,2.9604967,2403993,1,38,0.0
2404106,Lucile_Watson,10.0,176,94,34,-11.531432,-10.852607,2404106,1,38,0.0
