,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4361,2.0,45659571.0,Renold Quinlan,0.9763205647468568,Q19599153,Culture.Sports,192.0,5296.0,192.0,27.0,192.0,11.217949,-6.9956574000000025,-12.14964,85.0,399.0,0.21303258145363407,Sports,Culture,165.9744960069657,33783.33191408217,0.004912910793674003
4362,1.0,45663306.0,Tiffany Two,0.9994907379150392,Q20080934,STEM.STEM*,28.0,0.0,127.0,2.0,89.0,10.0,1.001671,2.3177445,60.0,730.0,0.0821917808219178,STEM*,STEM,59.96944427490235,16224.033187754452,0.003696333925165167
4363,3.0,45708757.0,Marwan Kenzari,0.997120440006256,Q13817318,Culture.Biography.Biography*,192.0,0.0,192.0,20.0,192.0,12.435898,16.563856,20.137241,22.0,115.0,0.19130434782608696,Biography*,Culture,0.0,1256.547355569899,0.0
4364,1.0,46210705.0,Anthony Chickillo,0.9324633479118348,Q19877775,Culture.Sports,0.0,0.0,155.0,6.0,69.0,10.0,-5.316602,-23.111435,459.0,1572.0,0.2919847328244275,Sports,Culture,428.0006766915322,1803406.2095849141,0.0002373290467875477
4365,3.0,46227806.0,Henry Anderson (American football),0.9841036200523376,Q19757481,Culture.Sports,0.0,1270.921707142257,155.0,6.0,69.0,12.435898,12.164878999999999,-20.748423000000006,459.0,1572.0,0.2919847328244275,Sports,Culture,1355.110684812069,1803406.2095849141,0.0007514173332717822
4366,3.0,46228681.0,Keshav Maharaj,0.9850529432296752,Q19968781,Culture.Sports,0.0,596.6557781678325,89.0,21.0,234.0,12.435898,1.6203794,15.253448,147.0,566.0,0.2597173144876325,Sports,Culture,434.40834796428663,101160.12884266676,0.004294264478843412
4367,9.0,46233315.0,Sarfaraz Khan (cricketer),0.6723417043685913,Q19827869,Culture.Sports,0.0,2868.67705908482,89.0,21.0,234.0,19.74359,-10.285346,21.086095999999998,147.0,566.0,0.2597173144876325,Sports,Culture,889.5080748796463,101160.12884266676,0.008793069809777414
4368,4.0,46295613.0,List of New Zealand Test cricket records,0.9344051480293274,Q19876674,Culture.Sports,0.0,10590.000000000002,89.0,21.0,234.0,13.653847,-9.928302,-3.0342548,147.0,566.0,0.2597173144876325,Sports,Culture,549.4302270412445,101160.12884266676,0.005431292282118061
4369,1.0,46295865.0,Shamil Abdurakhimov,0.9995517134666444,Q4054630,Culture.Sports,175.0,0.0,145.0,17.0,0.0,10.0,-3.9536111000000003,7.58182,157.0,1415.0,0.11095406360424027,Sports,Culture,156.92961901426318,214134.4482901916,0.0007328555506472955
4370,4.0,46307592.0,Efe Obada,0.9626831412315368,Q19878053,Culture.Sports,0.0,0.0,155.0,6.0,69.0,13.653847,8.698789999999999,16.779741,459.0,1572.0,0.2919847328244275,Sports,Culture,1767.4862473011015,1803406.2095849141,0.000980082156702743
4371,7.0,46332935.0,Kalvin Phillips,0.8903042674064636,Q20641319,Culture.Sports,145.0,0.4,163.0,22.0,0.0,17.307693,-16.266932,13.378051999999999,353.0,1382.0,0.25542691751085383,Sports,Culture,2199.941844761372,619966.7926466167,0.0035484833556486085
4372,9.0,46344546.0,MyCole Pruitt,0.9637899398803712,Q19985070,Culture.Sports,0.0,4233.370985046481,155.0,6.0,69.0,19.74359,1.6680061000000002,-7.20942,459.0,1572.0,0.2919847328244275,Sports,Culture,3981.416241645813,1803406.2095849141,0.0022077201578241247
4373,1.0,46347394.0,Troy Trojans,0.9916942119598388,Q7887406,Culture.Sports,149.0,0.0,127.0,15.0,0.0,10.0,-10.395053,-23.694122,70.0,321.0,0.2180685358255452,Sports,Culture,69.4185948371887,16696.727330714464,0.004157616846834992
4374,7.0,46385786.0,2015–16 Cardiff City F.C. season,0.9993836879730223,Q19870271,Culture.Sports,145.0,196334.7534570174,0.0,22.0,254.0,17.307693,15.888791000000001,-5.010048,353.0,1382.0,0.25542691751085383,Sports,Culture,2469.477092981338,619966.7926466167,0.003983240912693446
4375,42.0,46395880.0,2015 Clemson Tigers football team,0.9967369437217712,Q19866639,Culture.Sports,190.0,24431.460478518067,119.0,4.0,60.0,59.935898,12.129058,-4.228571400000001,456.0,1541.0,0.29591174561972744,Sports,Culture,19089.505946159363,2738319.0239245,0.006971249799375346
4376,8.0,46404310.0,Quandre Diggs,0.9899964332580566,Q19877365,Culture.Sports,0.0,5230.798782139395,155.0,6.0,69.0,18.525642,-12.063378,-24.380337,459.0,1572.0,0.2919847328244275,Sports,Culture,3635.266902923584,1803406.2095849141,0.00201577818885314
4377,1.0,46428529.0,Marcus Thuram,0.9724247455596924,Q19903718,Culture.Sports,145.0,0.0,163.0,22.0,0.0,10.0,17.630053,-4.6859927,353.0,1382.0,0.25542691751085383,Sports,Culture,343.26593518257135,619966.7926466167,0.0005536843896383241
4378,1.0,46433273.0,Nate Oats,0.9986429810523988,Q20031371,Culture.Sports,192.0,0.0,192.0,33.0,192.0,10.0,10.166368499999999,5.8032384000000015,43.0,156.0,0.2756410256410257,Sports,Culture,42.94164818525315,4335.763519890606,0.009904056802972638
4379,1.0,46442501.0,April 1930,1.0000100135803225,Q13080402,STEM.STEM*,192.0,0.0,192.0,36.0,192.0,10.0,9.972411,16.647669,8.0,192.0,0.04166666666666666,STEM*,STEM,8.00008010864258,4299.846670024097,0.0018605500899402407
4380,7.0,46443001.0,Sentimental ballad,0.9855064153671264,Q1077388,Culture.Media.Media*,240.0,45810.69793510986,174.0,17.0,0.0,17.307693,17.13229,4.110876,163.0,1415.0,0.11519434628975266,Media*,Culture,1124.462819933891,214134.4482901916,0.005251200023688094
4381,2.0,46446060.0,Mines in the Battle of Messines (1917),0.40734341740608215,Q19816648,History_and_Society.Military_and_warfare,28.0,12103.721187283987,127.0,2.0,89.0,11.217949,2.994111,7.5396012999999975,30.0,730.0,0.0410958904109589,Military_and_warfare,History_and_Society,24.44060504436493,16224.033187754452,0.0015064444680014688
4382,12.0,46498395.0,HMC Protector,0.9958112239837646,Q39087037,History_and_Society.Transportation,65.0,1.5500000000000005,15.0,0.0,255.0,23.397436,2.4537396,-9.004973,23.0,2551.0,0.00901607212857703,Transportation,History_and_Society,274.84389781951904,347450.98869378865,0.0007910292581200314
4383,4.0,46509336.0,Boost-glide,0.2942249774932861,Q16917817,STEM.STEM*,255.0,2.5,135.0,13.0,0.0,13.653847,-18.690693,-2.3538697,59.0,738.0,0.07994579945799457,STEM*,STEM,69.43709468841551,50125.81150312722,0.0013852562702966614
4384,11.0,46577261.0,List of customs cutters of UK Border Force,0.1259327530860901,Q20870390,Culture.Media.Media*,65.0,1.2000000000000002,15.0,0.0,255.0,22.179489999999998,19.073885,7.5465399999999985,281.0,2551.0,0.11015288122304978,Media*,Culture,389.2581397891045,347450.98869378865,0.0011203253191262633
4385,10.0,46589818.0,Mark Glowinski,0.9796776771545408,Q19849834,Culture.Sports,0.0,96.76781324828968,155.0,6.0,69.0,20.961538,14.337620999999999,0.0203041,459.0,1572.0,0.2919847328244275,Sports,Culture,4496.720538139342,1803406.2095849141,0.0024934596067373764
4386,8.0,46590568.0,Nick Boyle,0.9553291201591492,Q19873821,Culture.Sports,0.0,563.9204031629157,155.0,6.0,69.0,18.525642,-20.95195,18.874441,459.0,1572.0,0.2919847328244275,Sports,Culture,3507.9685292243958,1803406.2095849141,0.001945190446045884
4387,1.0,46591147.0,Darren Waller,0.9919480085372924,Q21038865,Culture.Sports,192.0,0.0,192.0,6.0,192.0,10.0,-14.0156975,2.6244035,459.0,1572.0,0.2919847328244275,Sports,Culture,455.3041359186172,1803406.2095849141,0.00025246898535600225
4388,2.0,46591529.0,Marcus Murphy,0.8933194279670715,Q20711105,Culture.Sports,0.0,0.0,155.0,6.0,69.0,11.217949,7.7474327,-10.926432,459.0,1572.0,0.2919847328244275,Sports,Culture,820.0672348737718,1803406.2095849141,0.00045473240056244715
4389,1.0,46625036.0,BBC Four Goes Slow,0.9263137578964232,Q19871101,Culture.Media.Media*,156.0,0.0,77.0,8.0,187.0,10.0,-5.869946,-21.21857,9.0,469.0,0.019189765458422176,Media*,Culture,8.336823821067808,54796.726647481315,0.00015214090934117874
4390,28.0,46627463.0,2015–16 NCAA football bowl games,0.9579222798347472,Q19866066,Culture.Sports,190.0,72265.24973584563,119.0,4.0,60.0,42.884617,23.281264999999998,-5.023224400000001,456.0,1541.0,0.29591174561972744,Sports,Culture,12230.751668930052,2738319.0239245,0.004466518167558578
4391,2.0,46642508.0,Baek Jong-won,0.9841036200523376,Q16082942,Culture.Biography.Biography*,0.0,0.0,122.0,11.0,154.0,11.217949,-9.719553,-14.029739999999999,68.0,745.0,0.0912751677852349,Biography*,Culture,0.0,25408.32394988835,0.0
4392,4.0,46679074.0,1971 Marshall Thundering Herd football team,0.9825675487518308,Q20312604,Culture.Sports,149.0,5296.000000000001,127.0,15.0,0.0,13.653847,18.716112,15.126726000000001,70.0,321.0,0.2180685358255452,Sports,Culture,275.11891365051264,16696.727330714464,0.016477415495934802
4393,3.0,46688006.0,Justin Coleman,0.9669240117073059,Q19957070,Culture.Sports,0.0,27.239031948047266,155.0,6.0,69.0,12.435898,-13.921176,23.28671,459.0,1572.0,0.2919847328244275,Sports,Culture,1331.4543641209605,1803406.2095849141,0.0007382997557868108
4394,1.0,46698956.0,D. J. Alexander,0.994098961353302,Q19938196,Culture.Sports,0.0,0.0,155.0,6.0,69.0,10.0,12.6267605,21.590914,459.0,1572.0,0.2919847328244275,Sports,Culture,456.2914232611656,1803406.2095849141,0.00025301644235005107
4395,9.0,46703097.0,Seventeen (South Korean band),0.8519628047943115,Q14524548,Culture.Media.Media*,0.0,51166.22877496379,122.0,11.0,154.0,19.74359,-9.625677,2.2548150000000002,80.0,745.0,0.10738255033557048,Media*,Culture,613.4132194519042,25408.32394988835,0.024142214994649414
4396,4.0,46716174.0,Liam Livingstone,0.998876452445984,Q19968743,Culture.Sports,0.0,0.0,89.0,21.0,234.0,13.653847,4.844685,11.824710000000001,147.0,566.0,0.2597173144876325,Sports,Culture,587.3393540382386,101160.12884266676,0.005806036041647606
4397,8.0,46721715.0,Barinder Sran,0.9965265989303588,Q20890056,Culture.Sports,0.0,8331.398315584,89.0,21.0,234.0,18.525642,-4.2583885000000015,8.966403999999997,147.0,566.0,0.2597173144876325,Sports,Culture,1171.9152803421018,101160.12884266676,0.01158475472253272
4398,8.0,46766137.0,Akeem King,0.9263137578964232,Q20020370,Culture.Sports,0.0,0.0,155.0,6.0,69.0,18.525642,8.594776,19.054567000000002,459.0,1572.0,0.2919847328244275,Sports,Culture,3401.424118995666,1803406.2095849141,0.001886110905528358
4399,4.0,46776317.0,2016 FA Cup Final,1.0000100135803225,Q20807520,Culture.Sports,145.0,2849.552009404933,0.0,22.0,254.0,13.653847,15.268897,-22.343339999999998,353.0,1382.0,0.25542691751085383,Sports,Culture,1412.0141391754153,619966.7926466167,0.002277564146859505
4400,1.0,46782036.0,Aleix García,0.9732507467269896,Q19968626,Culture.Sports,145.0,0.0,0.0,22.0,254.0,10.0,-21.990448,10.594251,353.0,1382.0,0.25542691751085383,Sports,Culture,343.5575135946273,619966.7926466167,0.0005541547025897826
4401,50.0,46784298.0,2015 Orange Bowl,0.9995794296264648,Q20648883,Culture.Sports,190.0,12275.119312148609,119.0,4.0,60.0,69.67949,10.777069000000001,5.956780999999999,456.0,1541.0,0.29591174561972744,Sports,Culture,22790.4109954834,2738319.0239245,0.008322774226218781
4402,4.0,46784348.0,Nine Lives (2016 film),0.9926641583442688,Q20002304,Culture.Media.Media*,192.0,282171.83217670204,192.0,3.0,192.0,13.653847,-13.977564000000001,-12.558549000000001,83.0,1117.0,0.07430617726051925,Media*,Culture,329.56450057029724,102811.61963655801,0.003205518031282039
4403,36.0,46784407.0,2015 Cotton Bowl Classic (December),0.9995794296264648,Q20647087,Culture.Sports,190.0,6878.8759503983765,119.0,4.0,60.0,52.628204000000004,24.221277,17.20812,456.0,1541.0,0.29591174561972744,Sports,Culture,16409.095916748047,2738319.0239245,0.005992397442877523
4404,1.0,46811704.0,Jason Cunningham,0.9966334104537964,Q20090528,Culture.Sports,0.0,0.0,122.0,11.0,154.0,10.0,24.762175,24.63749,34.0,745.0,0.04563758389261745,Sports,Culture,33.88553595542908,25408.32394988835,0.0013336391657419015
4405,1.0,46816392.0,Valérie Létourneau,0.9965265989303588,Q20026755,Culture.Sports,175.0,0.0,145.0,17.0,0.0,10.0,5.897246,-8.265934,157.0,1415.0,0.11095406360424027,Sports,Culture,156.45467603206632,214134.4482901916,0.0007306375843836272
4406,2.0,46833197.0,Resorts World Arena,0.40734341740608215,Q22097653,Culture.Sports,192.0,52870.0,192.0,27.0,192.0,11.217949,6.9285297,14.584151,85.0,399.0,0.21303258145363407,Sports,Culture,69.24838095903397,33783.33191408217,0.002049779492891541
4407,3.0,46838105.0,Josh Beaumont,0.8706072568893433,Q20090257,Culture.Sports,154.0,11390.218757804616,102.0,2.0,134.0,12.435898,-19.420965,23.033043,10.0,730.0,0.0136986301369863,Sports,Culture,26.118217706680298,16224.033187754452,0.001609847403812867
