,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
6309613,AVE Mizar,15.806452,60,163,0,-9.086605,1.8454952,6309613,3,4,558.0,Q609209
6351087,Leonardo Jardim,24.516129,54,124,233,-11.359845,5.459835,6351087,6,7,77920.65956149668,Q2162382
6368459,Richard Ferrand,33.225807,193,77,88,-17.55002,20.748281,6368459,9,9,329.7974440265017,Q3430759
6370123,Brigitte Bourguignon,15.806452,193,77,88,-4.6823497,-15.925096,6370123,3,9,0.0,Q2925411
6404274,Écran Retina,15.806452,60,163,0,17.201584,10.883313,6404274,3,4,0.0,Q574890
6429130,Saúl Ñíguez,18.709677,192,192,192,9.633942,-12.633428,6429130,4,3,1.0,Q912172
6437319,Construction du World Trade Center,30.32258,153,96,160,-14.924929,7.347926,6437319,8,16,22.13658195287255,Q811095
6452976,"Tu fais pas le poids, shérif !",15.806452,253,0,107,-18.319439,-9.988177,6452976,3,22,0.0,Q957698
6455773,Timo Werner,27.419353,235,94,0,14.350723,-5.8995476,6455773,7,3,1611.5606060606062,Q3529022
6462783,Gabrielle Douglas,12.903226,153,96,160,-7.3647885,19.431494,6462783,2,22,4361.6927301647165,Q233286
6499070,Émeutes de 1967 à Détroit,21.612904,60,163,0,24.950764,-12.722155,6499070,5,13,22683.728256061666,Q768155
6517582,Ouragan Isaac (2012),12.903226,192,192,192,-3.0630298,9.433947,6517582,2,13,12.866666666666664,Q1507877
6524502,Ya Rayah,27.419353,0,157,116,-3.9595754,-17.827791,6524502,7,21,1.5170995670995673,Q2031423
6586022,Poneys des montagnes et des landes,12.903226,192,192,192,18.8836,-9.221613,6586022,2,2,0.0,Q635655
6619573,Delphine Cascarino,18.709677,54,124,233,16.299599,-23.58832,6619573,4,7,0.0,Q3021812
6627218,Reconstruction du World Trade Center,33.225807,153,96,160,-6.300826,-0.8279286,6627218,9,16,29.88218826364121,Q5164470
6738700,Vincent Niclo,10.0,235,44,170,14.464077,-2.2358325,6738700,1,20,0.0,Q778977
6740171,Andreas Cornelius,12.903226,54,124,233,24.418358,-11.041092,6740171,2,7,1117.0,Q84077
6754597,Peste porcine africaine,12.903226,0,134,74,-16.593592,-16.238003,6754597,2,19,1117.0,Q2632404
