,Id,Label,modularity_class,Cluster,Degree,clustering,Qid
1164,4282226,History of lions in Europe,15,3,1,0.0,Q1066531
1165,6332534,2006 Ohio State Buckeyes football team,19,0,16,0.383333,Q4606747
1166,34152174,Girl Missing,6,5,2,0.0,Q5564401
1167,1820752,Teen Age Message,7,3,12,0.8636360000000001,Q4159501
1168,25254918,Maurice Clemmons,3,2,1,0.0,Q6792954
1169,146908,Scarlet Street,6,5,3,0.0,Q128930
1170,3198214,95th Grey Cup,19,0,26,0.7507689999999999,Q4646021
1171,50532268,James William Colbert Jr.,28,2,3,0.666667,Q24069531
1172,2635932,Estadio Mario Alberto Kempes,11,1,2,0.0,Q1062157
1173,12085750,Khmer Rouge Tribunal,11,6,16,0.85,Q332488
1174,23864436,Sarah Wollaston,1,2,4,0.333333,Q261553
1175,2701004,ARIA Hall of Fame,1,11,5,0.4,Q4653736
1176,507722,HMCS Haida,24,3,4,0.5,Q931718
1177,165116,Ealhmund of Kent,27,14,4,1.0,Q728177
1178,30304,The X-Files,4,4,20,0.363158,Q2744
1179,42106,Crossfire (film),4,4,5,0.1,Q632718
1180,107606,"Bellflower, California",4,4,2,1.0,Q815979
1181,1000060,PSR B1919+21,17,3,3,0.0,Q1319958
1182,4901752,Mirko Vučinić,11,1,1,0.0,Q192505
1183,11170042,James Merlino,29,6,7,0.571429,Q6139657
1184,53251032,Corruption in Bulgaria,15,3,3,0.333333,Q29075655
1185,6208872,Sharon Prabhakar,16,8,4,0.666667,Q7490181
1186,47665400,Denis Zakaria,11,1,5,0.9,Q21066260
1187,5507120,Scott Wittman,2,4,1,0.0,Q4022358
1188,22176992,Yuri Berchiche,15,3,2,0.0,Q4118260
1189,42647600,List of awards and nominations received by Julia Louis-Dreyfus,4,4,1,0.0,Q17097424
1190,396502,Culpeo,4,4,2,0.0,Q373558
1191,14490488,Over the Rainbow (Connie Talbot album),23,7,5,0.5,Q1227157
1192,3801028,Jafar Sharif-Emami,15,2,1,0.0,Q951044
1193,45507712,Steven Nelson,19,0,2,1.0,Q19666235
1194,616554,Mr. Blandings Builds His Dream House,4,4,1,0.0,Q1704776
1195,7962578,Rocco Forte,1,2,4,0.666667,Q7353724
1196,1827544,The Remixes (Mariah Carey album),11,17,3,0.0,Q1063122
1197,4939088,Away from Her,6,5,1,0.0,Q482652
1198,367878,Marine Raiders,6,5,1,0.0,Q6764203
1199,40466006,PocketQube,17,3,2,1.0,Q60685546
1200,15997118,Ukraine–United States relations,15,3,7,0.23809499999999997,Q4064180
1201,55765088,Catherine Arnold,15,3,1,0.0,Q42907852
1202,296912,James Agee,3,2,2,0.0,Q352963
1203,684686,Glass cliff,21,2,2,0.0,Q5567098
1204,34602448,Flight 7500,20,4,1,0.0,Q2818274
1205,41696408,1888 Yale Bulldogs football team,19,0,1,0.0,Q15693819
1206,2945818,Walter Wanger,6,5,4,0.0,Q1351511
