Id,Label,modularity_class,Cluster,Degree,clustering
34122896,List_of_UCF_Knights_bowl_games,19,0,3,1
11426624,Robbie_Kruse,11,1,12,0.636364
59129098,Nothing_Breaks_Like_a_Heart,1,11,3,0.333333
40695502,Matt_Canavan,3,6,3,0.333333
42160908,Health_Australia_Party,29,6,3,1
13265548,List_of_The_Lion_King_characters,2,4,27,0.330484
905798,"Belgrano,_Buenos_Aires",20,4,2,1
172838,Tim_Rice,2,4,16,0.341667
12601104,Troy_Walker,28,2,2,1
3646542,Patrice_Evra,0,1,2,0
23810,Pope_Agapetus_I,15,3,8,0.785714
49771784,Olivia_Nuzzi,3,2,1,0
1614112,Monsters_of_the_Midway,19,0,11,0.836364
18490812,2002_Denali_earthquake,8,16,4,0.5
13694680,From_the_River_to_the_Sea,3,2,1,0
51780570,The_Lion_King_(2019_film),2,4,38,0.233286
1203098,Maha_Vir_Chakra,16,8,5,0.5
7693022,Stephen_Ferris,12,1,9,0.638889
47665466,Edimilson_Fernandes,11,1,2,0
58806972,Krusty_the_Clown_(The_Simpsons_episode),2,4,1,0
52873864,2019_Africa_Cup_of_Nations_qualification_Group_C,11,1,12,0.666667
2918310,General_Motors_Canada,21,2,16,0.325
116942,"Leicester,_Massachusetts",16,8,1,0
34269180,Xavier_G?lin,23,7,3,1
554888,USS_Northampton_(CA-26),24,3,5,0.6
37846872,Tony_Elliott_(American_football_coach),19,0,4,0.333333
3954922,Belarus_in_the_Junior_Eurovision_Song_Contest,13,3,23,0.699605
21008812,This_Happy_Breed_(film),3,22,1,0
84196,Bob_Burnquist,12,1,1,0
25197108,Force_One_(Mumbai_Police),10,10,1,0
33968216,Alex_Okafor,19,0,3,0
164502,The_Adventures_of_Baron_Munchausen,23,7,2,0
333404,Su_Tseng-chang,18,20,14,0.285714
28140082,Ambasamudram_Ambani,6,5,1,0
27278540,Stephen_Barclay,1,2,9,0.166667
1905264,Edwin_Sutherland,30,6,15,0.971429
47898,Andaman_and_Nicobar_Islands,5,9,29,0.32266
18183850,Bojana_Jovanovski_Petrovi?,15,3,1,0
53170646,Trayveon_Williams,19,0,6,0.266667
5725590,Dera_Baba_Nanak,10,10,5,0.4
4313040,Nick_Markakis,21,2,7,0.190476
673994,William_B._Davis,4,4,9,0.805556
989390,Bob_Marley_and_the_Wailers,23,7,2,0
14419588,English_Football_League,11,1,27,0.213675
53753174,Samson_Ebukam,19,0,10,0.822222
1752936,Daewoo_Tico,21,2,3,1
20913302,Robert_De_Niro,16,8,12,0.015152
48416604,2016_Kansas_City_Chiefs_season,19,0,21,0.061905
55957582,Oh_Chong-song,3,2,1,0
19551002,Notre_Dame_Football_on_NBC,19,0,14,0.164835
528448,Vic_and_Bob,15,3,1,0
47351118,New_Power_Party,18,20,7,0.571429
5516442,Village_lock-up,14,9,1,0
13691620,Hanut_Singh_(soldier),16,8,3,1
38117880,List_of_missions_to_Venus,17,3,9,0.361111
917194,Joseph_Murray,30,6,1,0
58787016,Ethnographic_group,15,3,1,0
53453766,Darrell_C._Scott,3,2,4,0.166667
702240,Marcus_Whitman,8,16,4,1
38104402,Robbie_Henshaw,12,1,19,0.590643
31485232,Y._S._Chowdary,10,10,1,0
57509250,2018?19_AFC_Ajax_season,15,3,11,0.181818
