,Label,Id,Degree,modularity_class,betweenesscentrality
52728,杜正勝,52728,3,12,45.79112399004533
52731,吉尼斯世界纪录,52731,14,8,57265.580537894726
52753,美西战争,52753,1,18,0.0
52883,黑脸琵鹭,52883,2,9,17995.950717930886
52936,香港浸會大學,52936,19,13,124417.2504110924
53261,克洛诺斯,53261,1,4,0.0
53347,朝陽區,53347,6,6,8348.604831145778
53363,長洲_(香港),53363,8,3,10251.083515669527
53446,中美三个联合公报,53446,17,6,37627.299376128365
53576,唐宪宗,53576,4,18,19343.90351658089
53856,高麗航空,53856,6,14,559.1845885459763
54402,何俊仁,54402,25,13,31452.878988600725
54463,鸭绿江,54463,11,14,2035.0265819969204
54538,螃蟹,54538,9,4,79362.96874302866
54600,澳門大學,54600,7,20,18392.75551028888
54623,阿瓦隆,54623,1,2,0.0
56000,臺灣茶文化,56000,8,6,15957.631255122578
56255,北京地铁1号线,56255,1,5,0.0
56286,国际刑警组织,56286,27,5,355630.55144054844
56333,童年往事,56333,4,3,7897.096135029941
56352,铁观音,56352,3,6,7826.0
56536,小野洋子,56536,6,8,6459.008452904473
56829,太陽系外行星,56829,3,5,6793.558556307667
57046,阿尔卑斯山,57046,4,10,10397.306019559159
57193,田中丽奈_(演员),57193,10,2,10502.392966130728
57407,居者有其屋計劃,57407,8,13,16252.282615168904
57607,赵飞燕,57607,1,18,0.0
57861,莱索托,57861,23,5,66022.024386363
57869,圭亚那,57869,9,5,1947.1117573500178
58540,几内亚,58540,17,5,61421.20872285883
58549,毛里塔尼亚,58549,9,5,54664.71975341712
58789,監察院,58789,13,12,28363.043070047268
59019,高力士,59019,3,7,7826.0
59095,檳榔西施,59095,1,7,0.0
59263,東平洲,59263,4,3,5141.855756297234
63865,安大略省,63865,17,5,132952.20594062912
64055,必须旗帜鲜明地反对动乱,64055,3,6,32.87649739613367
64098,張騫,64098,3,18,15644.0
64114,金正男,64114,33,14,11674.153038093204
64261,天煞-地球反擊戰,64261,7,4,22604.47246493193
65393,黑客帝国2：重装上阵,65393,4,3,7944.496366664114
65899,毀滅戰士_(1993年遊戲),65899,3,1,5359.408213408475
65901,歧視,65901,8,13,17595.273934056568
66664,中国菜,66664,9,6,65171.95418296242
66709,哈薩克族,66709,3,5,7748.138877765031
67129,李卓人,67129,24,13,12438.033423732732
67131,梁耀忠,67131,26,13,8247.141695979151
67472,毛利元就,67472,4,19,11602.203222436101
67492,悠遊卡,67492,5,7,13362.72928475469
68358,1992年洛杉磯暴動,68358,1,18,0.0
68364,廖添丁,68364,2,3,1958.3016303242246
68460,大将,68460,23,12,44242.89687813659
68590,任天堂DS,68590,1,4,0.0
68731,拜伦勋爵,68731,3,20,12445.124114685992
69031,猎豹,69031,4,9,720.2245676020339
69812,無期徒刑,69812,8,6,20031.610261407575
69826,反物质,69826,1,9,0.0
69860,蘭芳共和國,69860,1,7,0.0
70179,梁羽生,70179,1,3,0.0
70722,朝鮮日報,70722,18,14,24217.552660459387
70732,微軟模擬飛行,70732,2,12,1489.5460194665636
70837,歌劇魅影_(消歧義),70837,7,8,0.0
70841,歌劇魅影,70841,10,8,940.8304108463032
70902,法屬圭亞那,70902,3,12,677.0278972158893
70969,歌劇魅影_(2004年電影),70969,10,8,3007.8256907895934
70989,關東大地震,70989,2,3,4020.761281813114
71240,立夏,71240,2,6,3914.0
71511,南梦宫,71511,4,15,3914.0
71631,真理大學,71631,9,20,6264.076799493922
71892,王小棣,71892,10,3,31186.351243183093
72184,皇民化運動,72184,19,6,100111.44857010647
72787,乍得,72787,13,5,51073.72030040705
72951,俄亥俄州,72951,15,5,81786.43862770469
73951,江原道_(朝鮮),73951,7,14,829.4520897801707
74542,桃園市立武陵高級中等學校,74542,2,6,209.7490831457566
74873,缓步动物门,74873,1,9,0.0
74977,林口區,74977,10,7,40235.85483784023
75180,并集,75180,1,1,0.0
75493,第8號當舖,75493,6,7,2580.6127721369976
75597,蠼螋,75597,1,9,0.0
75922,ACG,75922,7,2,33900.13059055665
75953,邓稼先,75953,2,6,0.0
76086,尹清楓,76086,7,12,1336.0371639217647
76122,朱温,76122,3,18,7826.0
76152,喬治亞州,76152,16,17,94194.63237107899
76174,羅德島州,76174,4,5,9598.679184011775
76176,素食主義,76176,17,9,153764.28994459557
76585,張宗昌,76585,1,6,0.0
77443,喪屍,77443,4,9,9965.882287644708
77476,聖克里斯多福及尼維斯,77476,11,5,7035.398482593377
78102,死海,78102,2,12,3914.0
78704,德国之声,78704,6,5,32240.043558371013
78971,殘酷一叮,78971,4,3,6693.649899007716
78976,中非共和國,78976,10,5,26169.20959937296
79449,鲁契亚诺·帕瓦罗蒂,79449,2,8,0.0
79465,朝鲜民主主义人民共和国国务委员会委员长,79465,25,14,2908.9546637604512
79612,花剌子模,79612,4,3,10587.239992953975
80165,Dragostea_din_tei,80165,1,8,0.0
80871,蕭萬長,80871,10,6,10958.463253140211
80879,叶挺,80879,7,12,15402.81999538857
81304,金九,81304,7,14,2236.2542519345357
81818,霍光,81818,3,18,7826.0
82040,對等網路,82040,2,10,2702.1019480661407
82322,许广平,82322,3,18,4757.162572832649
82393,五權憲法,82393,11,0,35220.711222248436
82484,远东国际军事法庭,82484,5,14,9427.75889445134
82738,公共卫生,82738,9,5,16618.82418850645
82820,人工智能_(电影),82820,4,4,11515.620591103598
82968,蔡锷,82968,5,18,13331.060124367596
83660,方先觉,83660,2,12,242.37122895344177
84270,去中國化,84270,21,6,124904.05025444481
84845,伍晃榮,84845,2,13,414.10343566943106
84910,鄭豐喜,84910,2,3,0.0
85524,葛摩,85524,5,5,2660.54313976674
86070,苏联－阿富汗战争,86070,10,6,12838.09504801072
86390,中华苏维埃共和国,86390,6,6,2928.9166529313798
86430,东芝,86430,7,15,48589.93266432374
86527,公民权利及政治权利国际公约,86527,3,13,4047.677415366304
86769,台灣地位未定論,86769,19,6,63380.32451541677
86892,朴奉珠,86892,14,14,190.30391558468037
87426,郎世寧,87426,2,14,1501.4694549894657
87429,維珍航空,87429,11,1,3844.1401889381063
87746,陸遜,87746,3,18,15644.0
88426,星際大戰三部曲：西斯大帝的復仇,88426,6,4,4961.627224028654
88633,范植偉,88633,5,7,13388.555295506083
88896,香港高級程度會考,88896,7,13,9378.479937890967
89124,玉泉山,89124,2,18,316.6517157446138
89724,校園民歌,89724,8,7,26394.153950339947
89796,劉江華,89796,17,13,4482.179419386992
89922,挪亞,89922,1,5,0.0
90127,神经系统,90127,8,9,8902.504145768791
90301,活字印刷术,90301,2,5,11736.0
90345,國民革命軍,90345,25,12,95453.96790372132
90596,中國銀行（香港）,90596,6,13,5612.331610867927
91439,新南威尔士大学,91439,5,4,14753.773874382241
91731,樞機,91731,8,13,22867.46765189438
92137,周璇,92137,3,3,4330.7347183263055
92148,葉繼歡,92148,3,3,10829.712457571544
92282,南云忠一,92282,2,4,834.4008397900903
92626,陳文成,92626,2,7,452.96328954404936
92668,大唐雙龍傳,92668,3,20,4345.871409154115
92857,科特·柯本,92857,1,7,0.0
93302,臺灣海峽危機,93302,14,6,25047.276298547862
93565,山茶花,93565,1,9,0.0
93669,陳致遠,93669,8,7,54342.04166135141
93899,郭偉亮,93899,7,13,14149.682548612183
93968,馬爾堡病毒,93968,1,9,0.0
94508,文言文,94508,8,18,95284.01835429609
94729,胡金龍,94729,10,17,28613.44495574772
94814,田北俊,94814,10,13,8133.508220193136
95291,板球,95291,1,3,0.0
