,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class,Count,Total,Degree Ratio,Subtopic,Main topic,Weight,Total Weight,Ratio Weight
4335,3.0,55193032.0,Nate Stanley,0.9481645226478576,Q39189446,Culture.Sports,0.0,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,543.2982714772223,126414.49858804794,0.004297752849122873
4336,2.0,55195018.0,Alex Hornibrook,0.9993221759796144,Q39219692,Culture.Sports,2.5,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,381.7410712242127,126414.49858804794,0.00301975703331473
4337,1.0,55228508.0,Arthur Melo,0.9073222279548644,Q39667548,Culture.Sports,0.0,5.0,106.0,407.0,0.26044226044226043,Sports,Culture,96.17615616321562,35399.361412614584,0.002716889580074266
4338,2.0,55231967.0,Cody Nickson,0.5000100135803223,Q50505106,History_and_Society.Military_and_warfare,0.0,11.0,46.0,868.0,0.05299539170506912,Military_and_warfare,History_and_Society,46.00092124938965,25665.63115843385,0.0017923159950918844
4339,7.0,55240710.0,Khalid bin Salman bin Abdulaziz Al Saud,0.9964163899421692,Q30082184,Culture.Biography.Biography*,95544.73941762981,11.0,79.0,868.0,0.09101382488479262,Biography*,Culture,0.0,25665.63115843385,0.0
4340,3.0,55269341.0,Jonathan Taylor (American football),0.9381340146064758,Q41788679,Culture.Sports,49.17625470108278,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,537.5507903695107,126414.49858804794,0.004252287485798993
4341,19.0,55271716.0,Effects of Hurricane Irma in Florida,0.16452647745609286,Q48965449,History_and_Society.Transportation,12332.275597952252,19.0,9.0,833.0,0.010804321728691477,Transportation,History_and_Society,28.13402764499188,115465.86982138455,0.00024365665532605194
4342,2.0,55287705.0,Chris Mepham,0.880807101726532,Q40351320,Culture.Sports,0.0,13.0,232.0,1068.0,0.2172284644194757,Sports,Culture,408.69449520111084,184096.18281789872,0.002220005265428978
4343,4.0,55301583.0,Zach Pascal,0.880807101726532,Q40511816,Culture.Sports,0.0,9.0,347.0,1126.0,0.3081705150976909,Sports,Culture,1222.5602571964266,681993.6636331379,0.0017926270028427614
4344,2.0,55331877.0,Gordon Ryan,0.287777841091156,Q40875419,Culture.Sports,3652.565290677738,4.0,139.0,756.0,0.18386243386243387,Sports,Culture,80.00223982334138,98123.45835264774,0.0008153222600024942
4345,1.0,55354414.0,Sohail Akhtar,0.9980222582817078,Q41104554,Culture.Sports,0.0,18.0,60.0,287.0,0.20905923344947736,Sports,Culture,59.881335496902466,13492.266748048365,0.004438196828977177
4346,1.0,55362964.0,Abdul Latif Jameel,0.26285186409950256,Q12239138,History_and_Society.Business_and_economics,0.0,25.0,43.0,742.0,0.057951482479784364,Business_and_economics,History_and_Society,11.30263015627861,23811.750096201893,0.00047466608336702823
4347,3.0,55367603.0,Kona Reeves,0.9994907379150392,Q25403438,Culture.Media.Media*,3687.043218876533,20.0,62.0,372.0,0.16666666666666666,Media*,Culture,185.9052772521973,28348.457346305247,0.006557862213847306
4348,10.0,55375931.0,Stefan Posch,0.9399233460426332,Q41447930,Culture.Sports,9.734249732895233,38.0,80.0,316.0,0.2531645569620253,Sports,Culture,751.9386768341066,22927.742759667333,0.03279601854905915
4349,7.0,55398611.0,Chilling Adventures of Sabrina (TV series),0.9715740084648132,Q50809037,Culture.Media.Media*,12379.166666667745,30.0,118.0,684.0,0.17251461988304093,Media*,Culture,802.5201309919357,47750.223407790065,0.01680662568085516
4350,25.0,55402520.0,2017 Supercheap Auto Bathurst 1000,0.4976429810523987,Q42530144,Geography.Regions.Oceania,1496.8039394908135,35.0,46.0,256.0,0.1796875,Oceania,Geography,0.0,29450.971630617973,0.0
4351,5.0,55422815.0,2018 British Grand Prix,1.0000100135803225,Q48311219,Culture.Sports,41231.429981409936,35.0,56.0,256.0,0.21875,Sports,Culture,280.0028038024903,29450.971630617973,0.009507421599340114
4352,4.0,55422883.0,2018 United States Grand Prix,1.0000100135803225,Q48311365,Culture.Sports,16.986418851683776,35.0,56.0,256.0,0.21875,Sports,Culture,224.00224304199227,29450.971630617973,0.0076059372794720905
4353,2.0,55441451.0,2018 Hopman Cup,0.992888569831848,Q36698296,Culture.Sports,1962.2506506178654,2.0,93.0,431.0,0.21577726218097448,Sports,Culture,184.67727398872373,40064.06868574023,0.004609548656610975
4354,3.0,55475423.0,2017 Rolex Paris Masters,0.9994397163391112,Q41741005,Culture.Sports,717.3854288733446,2.0,93.0,431.0,0.21577726218097448,Sports,Culture,278.843680858612,40064.06868574023,0.006959944159587047
4355,5.0,55481537.0,Sam Ehlinger,0.9949496984481812,Q42301562,Culture.Sports,1199.5495741184866,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,950.176962018013,126414.49858804794,0.0075163606439985434
4356,1.0,55506101.0,Joey Gibson (political activist),0.2942249774932861,Q43378375,History_and_Society.Politics_and_government,0.0,17.0,77.0,605.0,0.12727272727272726,Politics_and_government,History_and_Society,22.655323266983032,22815.229637481276,0.0009929912443118456
4357,1.0,55533725.0,Karan Higdon,0.9241518378257751,Q41978247,Culture.Sports,0.0,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,176.51300102472302,126414.49858804794,0.001396303454083484
4358,2.0,55595909.0,Edon Zhegrova,0.9399233460426332,Q42303600,Culture.Sports,0.0,13.0,232.0,1068.0,0.2172284644194757,Sports,Culture,436.1244325637818,184096.18281789872,0.00236900312591044
4359,5.0,55621689.0,2017 Rolex Paris Masters – Singles,0.996837317943573,Q42327624,Culture.Sports,14999.036451846878,2.0,93.0,431.0,0.21577726218097448,Sports,Culture,463.52935284376144,40064.06868574023,0.011569702430366058
4360,1.0,55624262.0,Ryan Finley (American football),0.9964163899421692,Q48976908,Culture.Sports,0.0,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,190.31553047895432,126414.49858804794,0.0015054881568540904
4361,3.0,55639667.0,2019 UEFA European Under-19 Championship qualification,0.9871888160705566,Q48838563,Culture.Sports,4646.0,13.0,232.0,1068.0,0.2172284644194757,Sports,Culture,687.0834159851073,184096.18281789872,0.003732198057929021
4362,4.0,55657668.0,Thailand motorcycle Grand Prix,0.9875783920288086,Q42431080,Culture.Sports,3097.166666666734,35.0,56.0,256.0,0.21875,Sports,Culture,221.21755981445312,29450.971630617973,0.007511384092485076
4363,3.0,55674876.0,2018 Speedway Grand Prix,0.6297846436500549,Q48838947,Culture.Sports,9290.0,31.0,191.0,684.0,0.2792397660818713,Sports,Culture,360.8666008114815,126414.49858804794,0.002854629847383663
4364,10.0,55677357.0,Mara Gabrilli,0.9905974268913268,Q3287330,Culture.Biography.Biography*,1.793822393822394,40.0,23.0,140.0,0.16428571428571428,Biography*,Culture,0.0,12375.503815211356,0.0
