,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
9326230,Combat_de_Malkiyé,17,93.478264,235,94,0,9.198823,-12.297968,9326230,65,7,225.86543102974716
9351918,Bataille_de_Marea_(2015),10,49.130432,114,121,10,12.184929,-14.27901,9351918,31,13,201.46746686316374
9375438,Antonythasan_Jesuthasan,1,11.304348,175,95,13,17.763718,3.322112,9375438,2,14,0.0
9436740,Coupe_Davis_2016,13,25.652174,0,134,74,2.9991117,-22.892717,9436740,13,17,251.64998217469122
9449153,Centre_de_détention_de_Tokyo,19,10.0,185,97,239,7.3408813,-18.91127,9449153,1,5,0.0
9465275,Intervention_militaire_de_la_Russie_en_Syrie,17,100.0,235,94,0,15.912045,-2.360487,9465275,70,7,2099.062971261354
9465373,Edimilson_Fernandes,16,17.826088,153,96,160,2.4676826,24.702454,9465373,7,15,0.0
9471795,Mehdi_Tahrat,15,12.608696,0,148,245,2.9357412,17.955797,9471795,3,3,0.0
9484021,Opération_Inherent_Resolve,17,84.347824,235,94,0,-20.043629,-16.168547,9484021,58,7,2018.2726790532895
9493795,Baptiste_Serin,6,30.869566,0,126,172,21.1321,-16.724201,9493795,17,11,2.5707146181991383
9506483,Ben_Volavola,6,12.608696,0,126,172,20.431252,15.1940975,9506483,3,11,0.0
9591017,Crise_russo-turque_de_2015,17,98.695656,235,94,0,16.613457,-22.271431,9591017,69,7,105225.73416066504
9630179,Attentat_de_Tall_Tamer,17,93.478264,235,94,0,17.948668,24.79299,9630179,65,7,225.86543102974716
9666406,Offensive_de_Tichrine,17,94.78261,235,94,0,0.92509305,-20.646807,9666406,66,7,1136.397147758188
9690525,Anderson_.Paak,14,10.0,0,164,49,-11.67151,20.023737,9690525,1,2,0.0
9709183,La_Canopée,4,10.0,60,163,0,23.495907,-10.9861965,9709183,1,5,0.0
9727284,Clément_Métayer,3,12.608696,152,129,0,-20.009666,20.72012,9727284,3,9,7301.0
9745210,Bataille_de_Cheikh_Meskin,10,49.130432,114,121,10,17.584528,4.127948,9745210,31,13,13.753883450369177
9785450,Bataille_de_Tall_Rifaat_(février_2016),17,92.17391,235,94,0,17.508976,20.980837,9785450,64,7,205.56831639115825
9801677,Attentat_de_Sayyida_Zeinab_du_21_février_2016,17,92.17391,235,94,0,-7.2928348,-19.372253,9801677,64,7,865.3955056424624
9806727,Tom_Payne_(acteur),5,11.304348,54,124,233,5.4700804,-11.66097,9806727,2,1,1049.0
9807174,Paul_«_Jesus_»_Monroe,5,11.304348,54,124,233,-2.3841808,-1.4340565,9807174,2,1,2096.0
9812538,Bataille_de_Khanasser,10,49.130432,114,121,10,3.0042002,4.52934,9812538,31,13,201.46746686316374
9825371,Paula_Daly,11,10.0,0,168,183,13.020536,1.3343436,9825371,1,1,0.0
9830058,Raid_de_Tall_Abyad,10,25.652174,114,121,10,14.624936,0.84423476,9830058,13,13,0.0
9833878,Coupe_Davis_2017,13,25.652174,0,134,74,6.2810984,11.63116,9833878,13,17,8.802813852813852
9846610,Alisson_Becker,16,13.913044,153,96,160,-9.156439,12.638386,9846610,4,15,5161.772017688198
9854109,Pierre_Lottin,13,11.304348,0,134,74,-14.80192,4.6249394,9854109,2,17,0.0
9864012,Bataille_de_Palmyre_(mars_2016),17,96.08696,235,94,0,8.772544,-8.70656,9864012,67,7,474.8916461356466
9894619,Opération_Impact,17,80.434784,235,94,0,19.682377,1.9503616,9894619,55,7,52723.953907611314
9912529,Leslie_Zemeckis,5,11.304348,54,124,233,-18.048632,-11.059467,9912529,2,1,0.0
9976518,Sakina_Karchaoui,15,17.826088,0,148,245,-20.352486,6.5565453,9976518,7,3,0.7499999999999999
9991968,Bataille_de_Tall_Rifaat_(avril_2016),10,49.130432,114,121,10,3.2354136,13.159569,9991968,31,13,201.46746686316374
10023780,Nico_Elvedi,16,17.826088,153,96,160,-13.067999,-12.554506,10023780,7,15,0.0
10027831,Bataille_de_Khan_Touman,10,49.130432,114,121,10,-1.1763201,19.188374,10027831,31,13,201.46746686316374
10031278,Attentats_de_Tartous_et_Jablé,10,47.826084,114,121,10,3.5535138,-4.943803,10031278,30,13,12.483250291257193
10042336,Christian_Pulisic,16,11.304348,153,96,160,-2.3109741,-21.457788,10042336,2,0,8336.0
10043128,Offensive_de_Raqqa_(mai_2016),17,92.17391,235,94,0,6.4107947,19.629995,10043128,64,7,205.56831639115825
10047211,Attentat_de_Damas_du_10_mai_2012,17,89.565216,235,94,0,13.003369,-5.085978,10047211,62,7,838.3499457552367
10048643,Attentats_de_Damas_du_23_décembre_2011,17,93.478264,235,94,0,-18.84133,9.79427,10048643,65,7,225.86543102974716
10049802,Attentat_de_Homs_du_29_avril_2014,17,90.86957,235,94,0,14.267004,6.1116395,10049802,63,7,578.7918869695122
10049839,Attentat_de_Homs_du_1er_octobre_2014,17,92.17391,235,94,0,1.0440685,-9.879767,10049839,64,7,205.56831639115825
10050232,Attentat_de_Jaramana_du_28_novembre_2012,17,93.478264,235,94,0,-18.304873,-11.7954,10050232,65,7,225.86543102974716
10050815,Attentat_de_Damas_du_21_mars_2013,10,47.826084,114,121,10,-7.7890434,23.661968,10050815,30,13,12.483250291257193
10055859,Oleksandr_Zinchenko,9,11.304348,255,42,47,17.458668,-24.494186,10055859,2,0,1049.0
10066402,Bataille_de_Manbij,17,80.434784,235,94,0,23.336428,7.1498833,10066402,55,7,29.62624786912486
10103736,Offensive_de_Tabqa,17,93.478264,235,94,0,-20.235447,8.478451,10103736,65,7,225.86543102974716
10117300,Bataille_de_Boukamal_(2016),10,47.826084,114,121,10,-12.652892,-3.2280223,10117300,30,13,2.702208917547385
10151244,Attentat_de_Damas_du_21_février_2013,17,93.478264,235,94,0,19.51767,-4.6660542,10151244,65,7,430.30573771873884
10152394,Attentat_de_Sayyida_Zeinab_du_31_janvier_2016,10,46.52174,114,121,10,-23.32692,-22.762041,10152394,29,13,7.632371880607252
10152635,Attentat_de_Homs_du_21_février_2016,17,89.565216,235,94,0,-3.4497046,23.447105,10152635,62,7,838.3499457552367
10164628,Steven_Bergwijn,16,19.130436,153,96,160,18.762756,-23.020866,10164628,8,15,0.2857142857142857
10176980,Marie-Antoinette_Katoto,15,16.52174,0,148,245,-5.3770986,-20.2893,10176980,6,3,0.5095238095238095
10185382,Hamed_Abdel-Samad,4,10.0,60,163,0,-11.241321,-19.737133,10185382,1,6,0.0
10196291,Marc_Fesneau,19,10.0,185,97,239,-12.533061,16.966198,10196291,1,5,0.0
10226122,Bataille_de_Hassaké_(2016),17,93.478264,235,94,0,16.914867,23.361967,10226122,65,7,746.6716526509149
10231012,Bataille_de_Jarablous_(2016),17,94.78261,235,94,0,-13.495665,-5.608579,10231012,66,7,7846.069200818523
10237914,Luka_Jović,9,13.913044,255,42,47,-8.989416,15.42878,10237914,4,0,1054.666666666667
10315440,Concours_Eurovision_de_la_chanson_junior_2017,2,11.304348,193,77,88,19.62981,-18.286762,10315440,2,4,0.0
10325448,Ligue_Europa_2017-2018,9,24.347828,255,42,47,-15.437325,14.95411,10325448,12,0,39295.04465838081
10350356,Voie_de_la_Géorgie,9,12.608696,255,42,47,-3.0514297,3.3570137,10350356,3,4,0.0
10362628,Mouctar_Diakhaby,9,10.0,255,42,47,23.535547,7.7926607,10362628,1,0,0.0
10416989,Offensive_de_Raqqa_(2016-2017),17,93.478264,235,94,0,-2.4103603,-7.190419,10416989,65,7,956.5471959525315
10446961,Moise_Kean,16,11.304348,153,96,160,1.1233872,-10.413581,10446961,2,15,1049.0
10463806,Semi_Radradra,6,12.608696,0,126,172,-5.0182667,-2.3150866,10463806,3,11,0.0
10463962,Brahim_Díaz,9,10.0,255,42,47,-16.901442,-5.6954174,10463962,1,0,0.0
10495019,Bataille_de_Palmyre_(décembre_2016),17,93.478264,235,94,0,-2.380027,-23.232218,10495019,65,7,367.5754169445604
10517597,Théo_Fernandez,13,11.304348,0,134,74,-17.438313,-7.7096014,10517597,2,17,0.0
10602858,Concours_Eurovision_de_la_chanson_2018,2,11.304348,193,77,88,-16.49261,-5.158764,10602858,2,4,9369.0
10606182,Federico_Chiesa,16,10.0,153,96,160,6.8424535,17.42113,10606182,1,15,0.0
10606886,Rodrigo_Bentancur,16,16.52174,153,96,160,-2.722061,20.741703,10606886,6,15,5225.25
10620380,Bataille_de_Marea_(2016),10,49.130432,114,121,10,-13.833082,20.057762,10620380,31,13,201.46746686316374
10627071,Supervision_musicale,14,37.391304,0,164,49,24.82682,5.477528,10627071,22,2,524.0000000000001
10668175,Attentat_de_Soussiane,10,47.826084,114,121,10,13.279116,21.191828,10668175,30,13,12.483250291257193
10669833,Attentats_de_Homs_du_25_février_2017,17,94.78261,235,94,0,5.593198,20.05727,10669833,66,7,893.0095449402654
10672907,Arthur_Iturria,6,28.26087,0,126,172,-11.905781,6.710754,10672907,15,11,0.779655067155067
10681298,Bataille_de_Palmyre_(2017),17,94.78261,235,94,0,-14.548982,-10.331498,10681298,66,7,1398.6247651493893
10684661,Denzel_Dumfries,16,19.130436,153,96,160,7.4017034,2.2081964,10684661,8,15,0.2857142857142857
10710126,Attentat_de_Damas_du_11_mars_2017,10,46.52174,114,121,10,-4.5057826,-17.93555,10710126,29,13,7.632371880607252
10720223,Attentat_de_Damas_du_15_mars_2017,17,93.478264,235,94,0,-0.83438456,-1.0166975,10720223,65,7,225.86543102974716
10720638,Les_Tuche_3,13,13.913044,0,134,74,8.839766,16.188675,10720638,4,17,1.5
10736071,Terrorisme_en_2015,17,10.0,235,94,0,12.335875,16.249664,10736071,1,7,0.0
10744289,Offensive_de_Hama_(2017),17,94.78261,235,94,0,-18.873304,-12.083894,10744289,66,7,299.9303113284866
10744913,Offensive_de_Tasil_(2017),10,47.826084,114,121,10,1.4418323,-23.320805,10744913,30,13,12.483250291257193
10766268,Attaque_chimique_de_Khan_Cheikhoun,17,94.78261,235,94,0,14.722265,-24.589489,10766268,66,7,364.95231124239996
10793119,Attentat_de_Rachidine,17,92.17391,235,94,0,16.063576,8.878401,10793119,64,7,205.56831639115825
10802676,Kimberly_Scott,11,11.304348,0,168,183,-19.586832,11.547355,10802676,2,8,0.0
10815766,Bataille_de_Tabqa_(2017),17,72.608696,235,94,0,-19.109816,-23.349985,10815766,49,7,4477.969707815149
