,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
9862776,Júnior Moraes,18,12.571428,193,77,88,19.574596,24.617123,9862776,4,3,9385.0,Q2529972
9912472,Élections fédérales allemandes de 2017,8,14.285714,153,96,160,-0.53008187,-8.152055,9912472,6,7,153.57748917748918,Q15062956
9937100,Retour chez ma mère,0,12.571428,0,164,49,-13.151152,18.73956,9937100,4,1,6.333333333333334,Q20899744
9976518,Sakina Karchaoui,7,19.428572,54,124,233,-13.129264,16.13813,9976518,12,10,296.22222222221825,Q23874818
9993596,Missile balistique à portée intermédiaire,11,10.857142,175,95,13,7.4331617,-4.2862744,9993596,2,11,0.0,Q392893
10071348,Aleksandr Golovine,7,11.714286,54,124,233,22.52115,22.569187,10071348,3,10,1345.0,Q15065431
10086804,"Brice Samba (football, 1994)",7,10.0,54,124,233,10.772531,-24.995432,10086804,1,10,0.0,Q15627817
10090096,Roadies (série télévisée),4,10.857142,0,126,172,15.711773,-13.473687,10090096,2,2,777.9825889716167,Q22025376
10120343,Abdellah Zoubir,7,10.0,54,124,233,21.41221,-10.366453,10120343,1,10,0.0,Q16029854
10155464,Championnat du monde de Formule 1 2017,2,15.142857,0,148,245,8.20728,-0.27622068,10155464,7,16,6015.5,Q20755615
10158245,Nikoloz Basilashvili,5,10.0,235,44,170,-15.867287,24.275541,10158245,1,13,0.0,Q16297666
10163915,Nicolò Barella,14,10.0,0,134,74,18.836998,23.25549,10163915,1,4,0.0,Q20090225
10182463,Radin !,12,13.428572,60,163,0,16.168665,-5.202971,10182463,5,5,12181.102389536909,Q27642895
10236598,David Gaudu,10,10.0,114,121,10,1.171251,-0.27403873,10236598,1,14,0.0,Q21705205
10269920,Georges Nojaroff,6,12.571428,255,42,47,-5.425316,-24.256544,10269920,4,13,22278.73805329141,Q28493905
10273251,Tour de Lombardie 2016,10,15.142857,114,121,10,-23.240637,21.502447,10273251,7,14,31708.62878787935,Q20972301
10291547,Nadia Murad,18,16.0,193,77,88,12.738155,-15.009767,10291547,8,3,4099.298049886327,Q22007112
10309538,Benoît Cosnefroy,10,10.857142,114,121,10,-0.6307043,-0.17334345,10309538,2,14,0.0,Q21705200
10343305,HHhH (film),16,10.857142,152,129,0,-23.232658,6.933799,10343305,2,6,2680.0,Q23003015
10382676,Jean-Marc Borello,13,11.714286,253,0,107,-10.852179,-2.6225622,10382676,3,15,0.5,Q27576613
10384010,Lamia Haji Bachar,18,12.571428,193,77,88,-24.877018,-0.1535803,10384010,4,3,1312.8,Q27586750
10393112,Soyouz MS-10,11,16.0,175,95,13,7.462854,-22.192184,10393112,8,11,6444.609379741511,Q25708277
10396286,Nina Mélo,12,10.857142,60,163,0,1.4104539,2.9429882,10396286,2,2,1529.0747729394786,Q27704877
10415134,Julian Nagelsmann,7,10.0,54,124,233,9.317439,-24.405384,10415134,1,10,0.0,Q21226404
10429659,Steve Bannon,12,13.428572,60,163,0,13.016735,24.255781,10429659,5,2,4031.0,Q16146870
10439150,Tour de Lombardie 2017,10,15.142857,114,121,10,-22.326548,12.32943,10439150,7,14,1359.6250000000002,Q27865357
10446641,Meng Hongwei,9,10.857142,0,157,116,-19.98932,0.263976,10446641,2,2,0.0,Q9126923
10450739,Munch (série télévisée),1,11.714286,235,94,0,-11.273811,2.988046,10450739,3,8,4031.0,Q28497009
10467164,Valérie Gauvin,7,17.714287,54,124,233,20.956663,23.875118,10467164,10,10,0.0,Q21032113
10485303,"Catherine Fournier (femme politique, 1992)",17,36.57143,185,97,239,17.514122,-3.9550705,10485303,32,12,319.8351116812914,Q20666410
10497744,Anna Diop,4,14.285714,0,126,172,-2.6961555,-11.473365,10497744,6,2,0.0,Q22277592
10547251,"Battle of the Sexes (film, 2017)",5,14.285714,235,44,170,-19.357101,15.622461,10547251,6,13,58488.73419596774,Q24067722
10552901,Daniil Medvedev,5,10.857142,235,44,170,14.63729,9.6045065,10552901,2,13,8040.0,Q21622022
10606182,Federico Chiesa,14,11.714286,0,134,74,19.618935,-9.928876,10606182,3,4,4029.0,Q26704703
10631237,Saison 4 de The Voice Kids,1,10.857142,235,94,0,15.681708,-6.2950597,10631237,2,8,10704.0,Q30737811
10647354,Cambridge Analytica,12,12.571428,60,163,0,7.038342,-11.574598,10647354,4,2,6705.0,Q24083484
10659288,Nunzio Sulprizio,1,11.714286,235,94,0,-19.845798,-8.428791,10659288,3,8,3551.1718348027384,Q2111951
10716259,Mike Flanagan (réalisateur),4,14.285714,0,126,172,18.894482,-4.144995,10716259,6,2,16775.56592230494,Q19668417
10719244,Kate Siegel,4,11.714286,0,126,172,17.82701,-20.754269,10719244,3,2,1334.1666666666665,Q6375780
10729003,Justin Kluivert,7,11.714286,54,124,233,0.34274933,4.79142,10729003,3,10,4031.0,Q26934107
10807856,Rebekah Mercer,12,10.857142,60,163,0,-1.257685,-20.586517,10807856,2,2,0.0,Q27865661
10879554,Records et statistiques en Masters 1000,5,10.857142,235,44,170,21.166555,16.01879,10879554,2,13,1232.8348659003834,Q30754353
10900555,Matthijs de Ligt,14,14.285714,0,134,74,-19.168444,-3.2211394,10900555,6,4,0.0,Q26259982
10930465,Liste des porte-aéronefs français,5,10.857142,235,44,170,11.504694,20.332598,10930465,2,5,0.0,Q21068711
10934619,Laetitia Avia,1,10.0,235,94,0,1.5185971,-15.274543,10934619,1,8,0.0,Q30339351
10935317,Sonia Krimi,18,10.0,193,77,88,-23.616611,19.048845,10935317,1,3,0.0,Q30349588
10937392,Aurélien Taché,13,10.857142,253,0,107,-8.978399,8.449222,10937392,2,15,0.0,Q30390884
11044732,La Villa (film),18,10.0,193,77,88,16.146536,19.83141,11044732,1,3,0.0,Q38187866
11061357,Hostiles,5,10.0,235,44,170,7.1194468,-0.25412363,11061357,1,5,0.0,Q27957941
11067040,Le 15 h 17 pour Paris,12,10.857142,60,163,0,15.901333,-8.391182,11067040,2,5,0.0,Q31204331
11106659,Abdelhak Nouri,7,10.857142,54,124,233,16.530914,-7.29456,11106659,2,10,1345.0,Q19655019
11130222,Tournoi de tennis de Shanghai (ATP 2017),5,11.714286,235,44,170,-6.308072,-19.694004,11130222,3,13,10711.0,Q40922740
11145354,Tournoi de tennis de Tianjin (WTA 2017),5,12.571428,235,44,170,-24.00365,-13.771606,11145354,4,13,0.0,Q39060315
