Id,Qid,topic,probability,page_title,wiki_db,Modularity Class,Label
129249,Q1350503,History_and_Society.Society,1.0,Pan-Blue_Coalition,enwiki,9.0,Midterm US election
129249,Q1350503,Geography.Regions.Asia.East_Asia,1.0,Pan-Blue_Coalition,enwiki,9.0,Midterm US election
129249,Q1350503,Geography.Regions.Asia.Asia*,1.0,Pan-Blue_Coalition,enwiki,9.0,Midterm US election
129249,Q1350503,History_and_Society.Politics_and_government,0.68,Pan-Blue_Coalition,enwiki,9.0,Midterm US election
16172170,Q230470,Culture.Biography.Biography*,1.0,Connie_Talbot,enwiki,12.0,Bernardo Bertolucci death
16172170,Q230470,Culture.Biography.Women,0.91,Connie_Talbot,enwiki,12.0,Bernardo Bertolucci death
16172170,Q230470,Culture.Media.Media*,0.87,Connie_Talbot,enwiki,12.0,Bernardo Bertolucci death
177496,Q333336,Culture.Biography.Biography*,1.0,"Albert_Grey,_4th_Earl_Grey",enwiki,2.0,Canadian Football
177496,Q333336,Culture.Sports,0.61,"Albert_Grey,_4th_Earl_Grey",enwiki,2.0,Canadian Football
2524536,Q7609519,Culture.Biography.Biography*,0.97,Stephen_Hopkins_(Mayflower_passenger),enwiki,3.0,The Lion King Announcement
1404288,Q652815,Culture.Biography.Biography*,1.0,Larry_Kudlow,enwiki,9.0,Midterm US election
20663510,Q652815,Culture.Biography.Biography*,1.0,Larry_Kudlow,enwiki,9.0,Midterm US election
1404288,Q652815,Culture.Media.Media*,0.52,Larry_Kudlow,enwiki,9.0,Midterm US election
20663510,Q652815,Culture.Media.Media*,0.52,Larry_Kudlow,enwiki,9.0,Midterm US election
1404288,Q652815,Geography.Regions.Americas.North_America,0.51,Larry_Kudlow,enwiki,9.0,Midterm US election
20663510,Q652815,Geography.Regions.Americas.North_America,0.51,Larry_Kudlow,enwiki,9.0,Midterm US election
28071604,Q3710642,Geography.Regions.Americas.North_America,1.0,"Gardiner,_New_York",enwiki,1.0,~~News Items~~ 
28071604,Q3710642,Geography.Geographical,0.99,"Gardiner,_New_York",enwiki,1.0,~~News Items~~ 
22465298,Q2893486,Culture.Biography.Biography*,0.99,Sylven_Landesberg,enwiki,6.0,Ukraine
22465298,Q2893486,Culture.Sports,0.97,Sylven_Landesberg,enwiki,6.0,Ukraine
3414836,Q3518692,Culture.Biography.Biography*,1.0,Terrell_Fletcher,enwiki,2.0,Canadian Football
3414836,Q3518692,Culture.Sports,0.97,Terrell_Fletcher,enwiki,2.0,Canadian Football
3414836,Q3518692,Geography.Regions.Americas.North_America,0.73,Terrell_Fletcher,enwiki,2.0,Canadian Football
40647754,Q14924659,Culture.Biography.Biography*,0.99,Artem_Markelov,enwiki,6.0,Ukraine
40647754,Q14924659,History_and_Society.Society,0.95,Artem_Markelov,enwiki,6.0,Ukraine
