,Degree,Id,Label,Modularity Class,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
676,3.0,3086150.0,Palu (Indonésie),3.0,0.9496793746948242,Q15826,Geography.Regions.Asia.Asia*,192.0,0.0,192.0,5.0,192.0,15.625,5.5164595,-1.1253593000000002,5878.0,2.8490381240844727,Geography,Asia*
677,1.0,3098968.0,Caroline Mécary,17.0,0.9802908897399902,Q2940040,Culture.Biography.Biography*,192.0,0.0,192.0,14.0,192.0,10.0,-17.916574,-18.768126000000002,5946.0,0.9802908897399902,Culture,Biography*
678,1.0,3103149.0,John Barry (compositeur),22.0,0.9990402460098268,Q111074,Culture.Biography.Biography*,135.0,0.0,134.0,8.0,0.0,10.0,-7.85151,-0.7844665,3974.0,0.9990402460098268,Culture,Biography*
679,2.0,3109537.0,Philippe Manœuvre,9.0,0.991162657737732,Q3380304,Culture.Biography.Biography*,183.0,1153.0,168.0,8.0,0.0,12.8125,-10.763133,-16.650364,11767.0,1.982325315475464,Culture,Biography*
680,4.0,3110267.0,David Ospina,24.0,0.99745911359787,Q436987,Culture.Biography.Biography*,116.0,40716.09710145493,157.0,12.0,0.0,18.4375,23.75076,9.201642999999999,2307.0,3.98983645439148,Culture,Biography*
681,2.0,3119924.0,Edwige Pitel,10.0,1.0000100135803225,Q3048753,Culture.Sports,74.0,41.77857142857145,134.0,16.0,0.0,12.8125,-21.526429999999998,15.411541,1713.0,2.000020027160645,Culture,Sports
682,2.0,3121807.0,Hallelujah (chanson de Leonard Cohen),8.0,0.9952548146247864,Q969635,Culture.Media.Music,0.0,27120.0,163.0,13.0,60.0,12.8125,10.90811,2.8901465,3427.0,1.9905096292495728,Culture,Music
683,3.0,3125509.0,Miralem Sulejmani,2.0,0.9978272914886476,Q128992,Culture.Biography.Biography*,0.0,1606.9211770629745,94.0,0.0,235.0,15.625,-20.229956,19.219437,1408.0,2.993481874465943,Culture,Biography*
684,1.0,3129256.0,Liya Kebede,17.0,0.9992059469223022,Q115201,Culture.Biography.Biography*,192.0,0.0,192.0,14.0,192.0,10.0,-23.68474800000001,0.11550104,3644.0,0.9992059469223022,Culture,Biography*
685,12.0,3157529.0,Championnats du monde de cyclisme sur route juniors,10.0,1.0000100135803225,Q764634,Culture.Sports,74.0,8571.70351731616,134.0,16.0,0.0,40.9375,9.212636,-11.909899000000001,5060.0,12.00012016296387,Culture,Sports
686,5.0,3157744.0,John Rambo (personnage),14.0,0.8774868249893188,Q951317,Culture.Literature,170.0,13.333333333333332,44.0,7.0,235.0,21.25,24.091352,22.737413,2355.0,4.387434124946594,Culture,Literature
687,2.0,3157874.0,Liste des œuvres de Jérôme Bosch,26.0,0.9982553720474244,Q860695,Culture.Visual_arts.Visual_arts*,192.0,0.0,192.0,21.0,192.0,12.8125,-9.000077000000003,16.550703,1549.0,1.9965107440948489,Culture,Visual_arts*
688,5.0,3200245.0,Alexis Vastine,10.0,0.9996179938316344,Q930934,Culture.Sports,74.0,17907.40000000001,134.0,16.0,0.0,21.25,-18.651907,11.354737,2601.0,4.998089969158172,Culture,Sports
689,4.0,3218287.0,Christophe Alévêque,4.0,0.9967369437217712,Q2966078,Culture.Biography.Biography*,245.0,10313.0,148.0,13.0,0.0,18.4375,-8.193451,0.29041702,2960.0,3.986947774887085,Culture,Biography*
690,4.0,3231759.0,André Glucksmann,21.0,0.994098961353302,Q362349,Culture.Biography.Biography*,107.0,10623.462377899876,0.0,14.0,253.0,18.4375,-12.708563999999999,-17.83683,2688.0,3.976395845413208,Culture,Biography*
691,1.0,3239395.0,Alex Goude,9.0,0.9511522054672241,Q2832954,Culture.Biography.Biography*,183.0,0.0,168.0,6.0,0.0,10.0,-11.408722000000001,-11.909024,5599.0,0.9511522054672241,Culture,Biography*
692,1.0,3244426.0,Treizième amendement de la Constitution des États-Unis,3.0,0.7057950496673584,Q175613,History_and_Society.Politics_and_government,192.0,0.0,192.0,5.0,192.0,10.0,-0.9701204,-21.523882,2674.0,0.7057950496673584,History_and_Society,Politics_and_government
693,7.0,3248265.0,Canal Football Club,19.0,0.8991314172744751,Q2935920,Culture.Media.Media*,88.0,48706.68072612945,77.0,12.0,193.0,26.875,3.5429792,6.485985299999999,2973.0,6.293919920921326,Culture,Media*
694,10.0,3271106.0,Georges Mandel,0.0,0.9942797422409058,Q669893,Culture.Biography.Biography*,233.0,20877.02236884004,124.0,2.0,54.0,35.3125,24.047552,10.912624000000001,1907.0,9.942797422409058,Culture,Biography*
695,13.0,3299545.0,Ryder Cup 2008,5.0,0.983095109462738,Q919786,Culture.Sports,0.0,74.5726549174546,129.0,10.0,152.0,43.75,20.737188,21.540838,1623.0,12.780236423015594,Culture,Sports
696,1.0,3308557.0,Grégory Sertic,19.0,0.9993433356285096,Q31783,Culture.Biography.Biography*,88.0,0.0,77.0,12.0,193.0,10.0,10.384492,15.547873999999998,2252.0,0.9993433356285096,Culture,Biography*
697,3.0,3312141.0,Olympique lyonnais - Olympique de Marseille en football,19.0,0.998599648475647,Q619446,Culture.Biography.Biography*,88.0,9221.736507936512,77.0,12.0,193.0,15.625,-14.7532215,-17.381767,5167.0,2.995798945426941,Culture,Biography*
