,Qid,topic,probability,page_id,page_title,wiki_db,Modularity_Class
4434,Q1754986,Culture.Media.Music,1.0,47747304,Press_Play_(album),enwiki,11.0
4435,Q1754986,Culture.Media.Music,1.0,5959386,Press_Play_(album),enwiki,11.0
4436,Q1754986,Culture.Media.Media*,0.98,47747304,Press_Play_(album),enwiki,11.0
4437,Q1754986,Culture.Media.Media*,0.98,5959386,Press_Play_(album),enwiki,11.0
4438,Q16195924,Culture.Biography.Biography*,1.0,37143022,Matthew_Brzezinski,enwiki,9.0
4439,Q16195924,Geography.Regions.Americas.North_America,0.63,37143022,Matthew_Brzezinski,enwiki,9.0
4440,Q16195924,Culture.Media.Media*,0.51,37143022,Matthew_Brzezinski,enwiki,9.0
4441,Q133020,STEM.STEM*,1.0,550334,Riftia_pachyptila,enwiki,10.0
4442,Q133020,STEM.Biology,1.0,550334,Riftia_pachyptila,enwiki,10.0
4443,Q298295,Culture.Biography.Biography*,0.99,172838,Tim_Rice,enwiki,3.0
4444,Q298295,Culture.Performing_arts,0.8,172838,Tim_Rice,enwiki,3.0
4445,Q298295,Culture.Media.Media*,0.61,172838,Tim_Rice,enwiki,3.0
4446,Q27044293,Culture.Media.Films,1.0,53880442,The_Lion_King_(2019_film),enwiki,3.0
4447,Q27044293,Culture.Media.Films,1.0,51780570,The_Lion_King_(2019_film),enwiki,3.0
4448,Q27044293,Culture.Media.Media*,0.99,53880442,The_Lion_King_(2019_film),enwiki,3.0
4449,Q27044293,Culture.Media.Media*,0.99,51780570,The_Lion_King_(2019_film),enwiki,3.0
4450,Q444312,Culture.Biography.Biography*,1.0,673994,William_B._Davis,enwiki,3.0
4451,Q444312,Geography.Regions.Americas.North_America,0.8,673994,William_B._Davis,enwiki,3.0
4452,Q4384231,Culture.Sports,1.0,22981506,Arsenal_F.C._Under-23s_and_Academy,enwiki,6.0
4453,Q316698,Culture.Sports,0.99,3111602,Glenn_Whelan,enwiki,11.0
4454,Q316698,Culture.Biography.Biography*,0.98,3111602,Glenn_Whelan,enwiki,11.0
4455,Q316698,Geography.Regions.Europe.Europe*,0.86,3111602,Glenn_Whelan,enwiki,11.0
4456,Q316698,Geography.Regions.Europe.Northern_Europe,0.81,3111602,Glenn_Whelan,enwiki,11.0
4457,Q726655,Culture.Biography.Biography*,0.98,606651,Mel_Ott,enwiki,2.0
4458,Q726655,Culture.Sports,0.97,606651,Mel_Ott,enwiki,2.0
4459,Q726655,Geography.Regions.Americas.North_America,0.69,606651,Mel_Ott,enwiki,2.0
4460,Q2419261,Culture.Sports,1.0,23387863,Stanislaw_Drahun,enwiki,11.0
4461,Q2419261,Culture.Biography.Biography*,0.99,23387863,Stanislaw_Drahun,enwiki,11.0
4462,Q2419261,Geography.Regions.Europe.Eastern_Europe,0.92,23387863,Stanislaw_Drahun,enwiki,11.0
4463,Q2419261,Geography.Regions.Europe.Europe*,0.85,23387863,Stanislaw_Drahun,enwiki,11.0
4464,Q1198812,Culture.Media.Films,0.98,10457303,The_Conformist_(1970_film),enwiki,12.0
4465,Q1198812,Culture.Media.Media*,0.97,10457303,The_Conformist_(1970_film),enwiki,12.0
4466,Q1198812,Geography.Regions.Europe.Europe*,0.61,10457303,The_Conformist_(1970_film),enwiki,12.0
4467,Q52714650,Culture.Sports,0.98,57257987,Chukwuma_Okorafor,enwiki,2.0
4468,Q52714650,Culture.Biography.Biography*,0.98,57257987,Chukwuma_Okorafor,enwiki,2.0
4469,Q52714650,Geography.Regions.Americas.North_America,0.52,57257987,Chukwuma_Okorafor,enwiki,2.0
4470,Q49538,STEM.Space,1.0,421565,Delta_II,enwiki,8.0
4471,Q49538,History_and_Society.Transportation,1.0,421565,Delta_II,enwiki,8.0
4472,Q49538,STEM.Technology,1.0,421565,Delta_II,enwiki,8.0
4473,Q49538,STEM.STEM*,0.98,421565,Delta_II,enwiki,8.0
4474,Q2003096,Geography.Regions.Americas.North_America,1.0,110525,"Mililani,_Hawaii",enwiki,2.0
4475,Q1348519,Geography.Regions.Europe.Northern_Europe,0.95,2937651,Greater_Manchester_Built-up_Area,enwiki,7.0
4476,Q1348519,Geography.Regions.Europe.Europe*,0.94,2937651,Greater_Manchester_Built-up_Area,enwiki,7.0
4477,Q1348519,Geography.Geographical,0.84,2937651,Greater_Manchester_Built-up_Area,enwiki,7.0
4478,Q58494697,Geography.Regions.Americas.North_America,1.0,59012681,Coby_White,enwiki,1.0
4479,Q58494697,Culture.Biography.Biography*,1.0,59012681,Coby_White,enwiki,1.0
4480,Q58494697,Culture.Sports,0.99,59012681,Coby_White,enwiki,1.0
4481,Q937022,Culture.Biography.Biography*,0.99,5467455,Craig_Berube,enwiki,2.0
4482,Q937022,Geography.Regions.Americas.North_America,0.99,5467455,Craig_Berube,enwiki,2.0
4483,Q937022,Culture.Sports,0.96,5467455,Craig_Berube,enwiki,2.0
