,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db
6628,Q6590217,Culture.Sports,0.8558611869812012,33465401,list of Michigan State Spartans football seasons,2,enwiki
6629,Q6590217,Geography.Regions.Americas.North_America,0.05348043346405029,33465401,list of Michigan State Spartans football seasons,2,enwiki
6630,Q5072203,Geography.Regions.Asia.Asia*,0.9740526676177979,15749069,Chankiri Tree,5,enwiki
6631,Q5072203,Geography.Regions.Asia.Southeast_Asia,0.7826725244522095,15749069,Chankiri Tree,5,enwiki
6632,Q5072203,STEM.STEM*,0.6001983880996704,15749069,Chankiri Tree,5,enwiki
6633,Q3495475,Culture.Media.Music,0.9911626577377319,33652705,Stade 2,11,enwiki
6634,Q3495475,Culture.Media.Media*,0.9859463572502136,33652705,Stade 2,11,enwiki
6635,Q221139,Compilation.List_Disambig,1.0,172405,1946 in film,3,enwiki
6636,Q221139,Culture.Media.Films,0.9935217499732971,172405,1946 in film,3,enwiki
6637,Q221139,Culture.Media.Media*,0.9879562258720398,172405,1946 in film,3,enwiki
6638,Q221139,History_and_Society.History,0.8840492963790894,172405,1946 in film,3,enwiki
6639,Q666678,Culture.Biography.Biography*,0.9911626577377319,5062775,Daniel Everett,9,enwiki
6640,Q946215,Culture.Biography.Biography*,0.9993003606796265,3056735,Jonathan Roberts,3,enwiki
6641,Q19560756,Culture.Biography.Biography*,0.997758150100708,45470805,Marin Honda,6,enwiki
6642,Q19560756,Culture.Biography.Women,0.9732507467269897,45470805,Marin Honda,6,enwiki
6643,Q19560756,Culture.Sports,0.9073222279548645,45470805,Marin Honda,6,enwiki
6644,Q19560756,Geography.Regions.Asia.East_Asia,0.39526139402389526,45470805,Marin Honda,6,enwiki
6645,Q19560756,Geography.Regions.Asia.Asia*,0.32119916582107544,45470805,Marin Honda,6,enwiki
6646,Q48892,Culture.Sports,0.994455099105835,1031793,Didier Drogba,11,enwiki
6647,Q48892,Culture.Biography.Biography*,0.9855064153671265,1031793,Didier Drogba,11,enwiki
