,Unnamed: 0,Qid,topic,probability,page_id,page_title,modularity_class,wiki_db,cluster,degree
10559,10559,Q4912288,Culture.Biography.Biography*,1.0000100135803225,1938787,Billy Brownless,29,enwiki,6,1.0
10560,10560,Q4912288,Geography.Regions.Oceania,0.4990100135803223,1938787,Billy Brownless,29,enwiki,6,1.0
10561,10561,Q16147481,Culture.Biography.Biography*,0.9960646033287048,40960139,Amir Rrahmani,11,enwiki,1,1.0
10562,10562,Q16147481,Culture.Sports,0.9777238368988036,40960139,Amir Rrahmani,11,enwiki,1,1.0
10563,10563,Q16147481,Geography.Regions.Europe.Southern_Europe,0.4569222798347473,40960139,Amir Rrahmani,11,enwiki,1,1.0
10564,10564,Q16147481,Geography.Regions.Europe.Europe*,0.270853506565094,40960139,Amir Rrahmani,11,enwiki,1,1.0
10565,10565,Q530957,Culture.Biography.Biography*,1.0000100135803225,931479,John Lone,23,enwiki,7,5.0
10566,10566,Q1386869,Culture.Sports,0.9433575868606568,26225421,F.C. Arouca,26,enwiki,8,1.0
10567,10567,Q1386869,Geography.Regions.Europe.Southern_Europe,0.1713417043685913,26225421,F.C. Arouca,26,enwiki,8,1.0
10568,10568,Q22006111,Culture.Biography.Biography*,0.9946250915527344,48733641,Matt LaCosse,12,enwiki,1,1.0
10569,10569,Q22006111,Culture.Sports,0.8634016513824463,48733641,Matt LaCosse,12,enwiki,1,1.0
10570,10570,Q10513796,Culture.Biography.Biography*,1.0000100135803225,29786435,Jordan Nobbs,11,enwiki,1,2.0
10571,10571,Q10513796,Culture.Biography.Women,0.9973783493041992,29786435,Jordan Nobbs,11,enwiki,1,2.0
10572,10572,Q10513796,Culture.Sports,0.9951046109199524,29786435,Jordan Nobbs,11,enwiki,1,2.0
10573,10573,Q6246254,Culture.Sports,0.7663036584854126,1268037,John Mackey Award,19,enwiki,0,2.0
10574,10574,Q19862298,Culture.Sports,0.994455099105835,46584581,Rob Havenstein,19,enwiki,0,11.0
10575,10575,Q19862298,Culture.Biography.Biography*,0.9859463572502136,46584581,Rob Havenstein,19,enwiki,0,11.0
10576,10576,Q2906685,STEM.STEM*,0.9697954058647156,30553391,Chicago Blizzard of 1967,3,enwiki,2,2.0
10577,10577,Q2906685,STEM.Earth_and_environment,0.967909336090088,30553391,Chicago Blizzard of 1967,3,enwiki,2,2.0
10578,10578,Q2906685,Geography.Regions.Americas.North_America,0.2596606483459473,30553391,Chicago Blizzard of 1967,3,enwiki,2,2.0
10579,10579,Q2818731,Culture.Sports,0.9914325475692748,8026201,97th Grey Cup,19,enwiki,0,31.0
10580,10580,Q2818731,Geography.Regions.Americas.North_America,0.4616831412315369,8026201,97th Grey Cup,19,enwiki,0,31.0
10581,10581,Q7974804,Culture.Sports,1.0000100135803225,6906647,Watson Brown,19,enwiki,0,3.0
10582,10582,Q7974804,Culture.Biography.Biography*,0.9992545843124391,6906647,Watson Brown,19,enwiki,0,3.0
10583,10583,Q7974804,Geography.Regions.Americas.North_America,0.022430347442626952,6906647,Watson Brown,19,enwiki,0,3.0
10584,10584,Q189450,Culture.Biography.Biography*,0.9344051480293274,311469,Asparuh of Bulgaria,15,enwiki,3,2.0
10585,10585,Q189450,History_and_Society.History,0.7057950496673584,311469,Asparuh of Bulgaria,15,enwiki,3,2.0
10586,10586,Q189450,Geography.Regions.Europe.Europe*,0.3764868249893189,311469,Asparuh of Bulgaria,15,enwiki,3,2.0
10587,10587,Q189450,Geography.Regions.Europe.Eastern_Europe,0.3429050912857056,311469,Asparuh of Bulgaria,15,enwiki,3,2.0
10588,10588,Q4625454,Culture.Sports,0.9859463572502136,35111333,2012 FA Trophy Final,11,enwiki,1,7.0
10589,10589,Q4625454,Geography.Regions.Europe.Northern_Europe,0.11409788036346435,35111333,2012 FA Trophy Final,11,enwiki,1,7.0
10590,10590,Q4625454,Geography.Regions.Europe.Europe*,0.053480433464050285,35111333,2012 FA Trophy Final,11,enwiki,1,7.0
10591,10591,Q47004414,Culture.Sports,0.989681839942932,53206867,Luis Perez,19,enwiki,0,1.0
10592,10592,Q47004414,Culture.Biography.Biography*,0.9591643214225768,53206867,Luis Perez,19,enwiki,0,1.0
10593,10593,Q213697,Culture.Biography.Biography*,0.9976133108139038,344917,Richard Burns,15,enwiki,3,2.0
10594,10594,Q213697,Culture.Sports,0.9879562258720398,344917,Richard Burns,15,enwiki,3,2.0
10595,10595,Q213697,Geography.Regions.Europe.Europe*,0.09167657995224,344917,Richard Burns,15,enwiki,3,2.0
10596,10596,Q7022778,Culture.Sports,0.9954004287719728,24757739,Nguyen Anh Duc,11,enwiki,1,1.0
10597,10597,Q7022778,Culture.Biography.Biography*,0.9893575310707092,24757739,Nguyen Anh Duc,11,enwiki,1,1.0
10598,10598,Q174615,Culture.Biography.Biography*,0.9996055364608764,4248883,Phil Babb,0,enwiki,1,1.0
10599,10599,Q174615,Culture.Sports,0.9995794296264648,4248883,Phil Babb,0,enwiki,1,1.0
10600,10600,Q174615,Geography.Regions.Europe.Europe*,0.3429050912857056,4248883,Phil Babb,0,enwiki,1,1.0
10601,10601,Q174615,Geography.Regions.Europe.Northern_Europe,0.006821857929229736,4248883,Phil Babb,0,enwiki,1,1.0
10602,10602,Q17180604,Culture.Biography.Biography*,0.9987651705741882,43041177,Jennifer French,21,enwiki,2,1.0
10603,10603,Q17180604,Geography.Regions.Americas.North_America,0.3730872144699097,43041177,Jennifer French,21,enwiki,2,1.0
10604,10604,Q2644123,Culture.Media.Films,0.9967369437217712,10573,Fox Film Corporation,6,enwiki,5,3.0
10605,10605,Q2644123,Culture.Media.Media*,0.9905974268913268,10573,Fox Film Corporation,6,enwiki,5,3.0
10606,10606,Q325487,Culture.Biography.Biography*,0.9985088109970092,646487,Mike Wallace,16,enwiki,8,3.0
