,Label,Id,Degree,modularity_class,betweenesscentrality,Qid
130921,"Gresham, Oregon",130921,2,17,4646.0,Q81844
133178,"Bradford, Pennsylvania",133178,2,41,147680.0,Q662409
133249,Madeleine Albright,133249,13,25,84529.52981745057,Q174438
133363,"Green Lane, Pennsylvania",133363,1,6,0.0,Q1183476
134389,"Bamberg, South Carolina",134389,5,25,61.27249396398353,Q805942
135571,"Brownwood, Texas",135571,4,16,138517.344391652,Q981222
135712,"Wellington, Texas",135712,2,14,0.0,Q979761
135934,"Gonzales, Texas",135934,3,16,0.0,Q765552
136209,"Alice, Texas",136209,4,16,135916.86688816614,Q981528
136460,"Orange, Texas",136460,3,16,0.0,Q982388
137563,"Burke, Virginia",137563,1,37,0.0,Q1374615
140389,Mitanni,140389,1,16,0.0,Q178665
140547,Geoff Emerick,140547,4,7,13935.0,Q468612
142554,Connie Chung,142554,8,7,37283.59251452152,Q717203
145295,Wilfrid,145295,2,0,9290.0,Q719721
145415,Division (military),145415,10,27,30864.26666666891,Q169534
145653,Alexander Knox,145653,1,41,0.0,Q545858
145830,Edwin of Northumbria,145830,2,0,4646.0,Q348955
146084,ANFO,146084,4,17,45253.292840606424,Q295697
146574,Spiegel affair,146574,2,17,4646.0,Q650313
147456,Clemson University,147456,11,25,399599.34094979044,Q631066
150780,Haakon IV of Norway,150780,5,11,4918.54790978954,Q316039
151202,"Tomball, Texas",151202,2,14,1215.5321034231397,Q684434
151944,Ted Ray (comedian),151944,2,15,9290.0,Q7693644
152456,Bandar bin Sultan Al Saud,152456,7,11,71317.78790138822,Q556137
154890,Ninove,154890,4,17,0.0,Q385026
157511,Munich air disaster,157511,12,29,76295.91345547934,Q308923
158019,Kingdom of Great Britain,158019,14,0,292982.54910616,Q161885
158057,No contest (combat sports),158057,3,4,275472.7621615017,Q6142376
161917,Gulbuddin Hekmatyar,161917,3,37,13932.0,Q317797
163047,Barbara Bush,163047,8,25,33990.780008833484,Q190628
163463,Lionel Bart,163463,3,8,19979.800176194323,Q326299
163548,E. Nesbit,163548,1,27,0.0,Q231708
166470,Ricin,166470,7,44,18572.333333333332,Q408668
167301,List of football clubs in Germany,167301,2,38,4646.0,Q697398
167787,Nile Rodgers,167787,2,30,9290.0,Q497759
168210,Continental Army,168210,6,22,47547.69274229713,Q54122
168239,Lifting body,168239,2,26,4646.0,Q1759837
168562,New Kids on the Block,168562,4,12,37125.0,Q212464
169414,TLC (group),169414,4,30,27712.508600037487,Q742804
169599,The Neville Brothers,169599,3,30,251607.24716588194,Q613059
172135,Luis Vigoreaux,172135,1,30,0.0,Q6701194
173147,Hilary Rosen,173147,5,7,8539.500793690539,Q5761056
175234,Praemunire,175234,2,0,4646.0,Q10638321
176386,Arthur Ransome,176386,1,0,0.0,Q515845
176536,Proton (rocket family),176536,18,26,35894.6212922709,Q249231
176558,House of Hanover,176558,5,0,180748.94478775328,Q157217
177388,Princess Beatrice of York,177388,19,0,153360.80382922475,Q165657
178181,Soyuz (rocket family),178181,33,26,5457.215520762962,Q1299641
178182,Soyuz (spacecraft),178182,32,26,30908.185177197152,Q579421
178206,Progress (spacecraft),178206,14,26,4678.254611569323,Q309363
179174,Spaceport,179174,17,26,213143.98423998657,Q194188
179202,José Sarney,179202,10,40,42337.97662338365,Q244997
180638,Baikonur Cosmodrome,180638,35,26,20965.365343217534,Q177477
182075,Richard Lindzen,182075,2,25,6245.65576531042,Q642488
183662,Dallin H. Oaks,183662,21,43,41252.325724731956,Q3012489
184846,"Henry VI, Part 2",184846,1,11,0.0,Q1236216
185438,Dreadlocks,185438,1,0,0.0,Q898801
187103,Sudden Fear,187103,1,26,0.0,Q601651
188359,John Paul Stevens,188359,4,1,9291.0,Q11109
189315,Soyuz 18,189315,20,26,0.0,Q682890
190216,Verity Lambert,190216,7,8,27584.82174893197,Q2656696
191079,S. S. Kresge,191079,9,33,0.0,Q7387856
192060,Soyuz 7K-T No.39,192060,24,26,7219.720938638042,Q902812
192600,Martin Niemöller,192600,2,25,109848.5916239937,Q153839
193629,Mulatto,193629,3,22,282.68951250810073,Q191923
193862,Pillow Talk (film),193862,1,26,0.0,Q832487
194164,Church of Norway,194164,4,17,9290.0,Q666860
195218,Voskhod 1,195218,7,26,414.1164072046413,Q750101
195223,Voskhod 2,195223,10,26,9124.64317169925,Q722791
195632,"Carolina, Puerto Rico",195632,6,30,41750.64486579898,Q990293
197229,George Canning,197229,3,39,122154.04355918609,Q219731
198299,Royal Maundy,198299,3,0,25024.702439763678,Q682240
198946,John Kander,198946,3,7,48975.534578190876,Q1685876
198961,Soyuz 11,198961,23,26,1247.2878540382496,Q648581
199094,Åsne Seierstad,199094,2,17,0.0,Q256796
201299,Rudolf Augstein,201299,1,17,0.0,Q62414
203237,Halliburton,203237,4,1,145550.72574277586,Q656165
203993,The League of Gentlemen (film),203993,3,27,170802.0,Q735381
204541,Penny (English coin),204541,6,0,9180.074007122861,Q16932458
206146,Operation Compass,206146,9,27,17.20238095238095,Q696018
208396,Ronald Ferguson,208396,6,0,1071.3627363481241,Q775665
208533,History of the British penny (1714–1901),208533,9,0,45146.841601449596,Q5869168
208536,History of the British penny (1901–1970),208536,4,0,0.0,Q5869170
209301,From the Terrace,209301,2,27,9290.0,Q2010076
209926,Humorist,209926,3,40,9291.0,Q12406482
210815,Royal Swedish Academy of Sciences,210815,5,16,154165.3878534432,Q191583
211336,Washington National Cathedral,211336,2,21,74096.0,Q668710
213242,Mercury-Atlas 8,213242,2,26,0.0,Q498689
213243,Mercury-Atlas 9,213243,2,26,0.0,Q498722
215883,Necessity (criminal law),215883,3,17,0.0,Q531849
216204,Marsha Blackburn,216204,5,25,25811.26452183357,Q458971
217678,Airspeed Ambassador,217678,6,29,831.1411632624622,Q409195
218886,Scandinavium,218886,2,33,4646.0,Q1138447
220458,Prime Minister of Norway,220458,8,17,4666.76880952381,Q2334076
220739,Jeane Kirkpatrick,220739,9,25,1072.3007212765053,Q240534
221467,Theodore G. Bilbo,221467,3,43,4646.0,Q725728
221677,Triple Crown (baseball),221677,2,6,4646.0,Q1202041
223893,Peter Hollingworth,223893,1,27,0.0,Q1354229
228432,Open Vlaamse Liberalen en Democraten,228432,9,17,4647.4000000000015,Q1160192
228435,Christen-Democratisch en Vlaams,228435,9,17,54.199760600447114,Q750673
229954,Socialistische Partij Anders,229954,11,17,131906.40527954907,Q939354
229958,Groen (political party),229958,10,17,51605.90551793703,Q513521
229971,Mouvement Réformateur,229971,7,17,0.0,Q533384
231435,Apollo 5,231435,5,26,7884.350013461199,Q242528
231718,Johnny Logan (singer),231718,5,20,13932.333333333334,Q298559
232775,President of the Senate,232775,2,1,147733.75249982675,Q2269913
233203,Dana International,233203,3,20,0.0,Q201204
233827,Melungeon,233827,6,22,77251.10102235033,Q2668201
233998,"Prince Arthur, Duke of Connaught and Strathearn",233998,10,0,20192.73695180883,Q160558
234997,Francis Nash,234997,9,22,50742.46629187466,Q5482007
238104,Peter MacKay,238104,2,30,4646.0,Q716246
238573,Royal Marriages Act 1772,238573,9,0,114665.77679075014,Q377769
239452,Jodeci,239452,2,12,0.0,Q1661305
240547,Robert Blake (actor),240547,5,30,250437.61343895318,Q524281
241885,Oleg Grigoryevich Makarov,241885,5,26,2.4158119658119657,Q467623
242080,Kmart,242080,12,33,26141.042790351497,Q1753080
242271,Buriram Province,242271,3,35,1548.333333333367,Q327510
243355,"Germantown, Philadelphia",243355,4,22,37127.0,Q279890
243759,Neil Bush,243759,7,25,485.6920280894602,Q320829
245794,Salyut 1,245794,8,26,299.6409340109931,Q211761
246298,Adam Oates,246298,4,33,59032.37637040392,Q350538
249762,Laura Sadler,249762,1,30,0.0,Q3298299
250764,Matthew Boulton,250764,4,0,23214.0,Q469269
253035,Comair,253035,3,33,9291.0,Q1113243
253074,Governor of Kentucky,253074,1,25,0.0,Q4151335
253089,Governor of South Carolina,253089,12,25,17671.733889562587,Q3773752
254274,The Ninth Configuration,254274,2,30,27846.0,Q1401796
254954,Mount Pelée,254954,4,26,4644.0,Q76309
255272,West Florida,255272,37,19,518486.88312317134,Q1425202
255341,Labour Party (Norway),255341,12,17,137460.83758014903,Q190219
258776,Norman Thomas,258776,4,17,37143.732857857154,Q162820
259041,James Blake (tennis),259041,6,2,749735.4247779611,Q53333
262874,Chindits,262874,4,27,0.0,Q873549
262934,Denny Hulme,262934,7,35,6150.575954578237,Q3166
264048,John Stapp,264048,1,26,0.0,Q711954
264920,List of Wimbledon Open Era champions,264920,3,2,7771.678593539325,Q2058656
265252,Franz Josef Strauss,265252,4,17,23214.0,Q44620
265858,Ministry of Public Security (China),265858,5,17,10455.351796992743,Q2346285
267236,Hong Kong Tramways,267236,1,24,0.0,Q385245
269243,Media of Hong Kong,269243,3,24,1432.8815440121691,Q3704214
272329,Environment and Climate Change Canada,272329,2,11,0.0,Q348789
275036,Wales Rally GB,275036,5,31,32491.0,Q658888
275606,Tornado watch,275606,3,19,4646.0,Q7826020
280502,Vote pairing,280502,1,1,0.0,Q13582217
282035,Hurricane Alicia,282035,25,19,318.18667038294143,Q3078655
284756,Cool Papa Bell,284756,5,30,25221.722946828002,Q425884
287085,Myra Breckinridge,287085,1,8,0.0,Q2739687
287520,Pensacola International Airport,287520,10,19,229.57344054896433,Q6587079
288121,Sid Luckman,288121,3,9,11037.811102231157,Q456194
292226,Julie Burchill,292226,2,15,9290.0,Q3404917
292426,Central Coast (New South Wales),292426,8,3,18575.0,Q2944411
296101,Sears Canada,296101,12,33,61344.56131567076,Q2262325
296380,Yate,296380,3,15,41760.0,Q1025095
296783,Robert Surcouf,296783,3,0,13932.0,Q555329
297114,List of beaches,297114,3,3,9291.0,Q6607398
297882,Isla de la Juventud,297882,7,19,1898.1223627861546,Q115027
299033,Agena target vehicle,299033,12,26,407.7768431542749,Q1094450
299786,List of places named after people,299786,2,0,40972.59903118601,Q1199421
299901,Optical tweezers,299901,4,16,0.0,Q1066633
303846,"Alastair Windsor, 2nd Duke of Connaught and Strathearn",303846,4,0,4822.597503335922,Q2914819
305498,Bob Beamon,305498,2,3,1531.6895604397594,Q52604
306325,Shawn Michaels,306325,8,20,24527.780418253897,Q31317
307050,Jana Novotná,307050,3,2,4646.0,Q229121
309159,Teheran 43,309159,2,7,0.0,Q1125687
311178,St Pancras railway station,311178,3,11,9291.0,Q720102
311810,Rocco Baldelli,311810,1,6,0.0,Q1017352
314043,Duke of Beaufort,314043,2,0,42602.26009072261,Q1245377
315710,Mark Oliphant,315710,12,22,79565.83981209209,Q727443
315712,Governor of South Australia,315712,2,22,0.0,Q1840570
316610,United States Ambassador to the United Nations,316610,21,25,268210.452383399,Q1785225
317739,Raincoat,317739,2,27,18572.0,Q2018769
317945,Rafael Kubelík,317945,2,8,4646.0,Q158017
321645,Al Arabiya,321645,9,11,40838.16347864101,Q310172
322031,Vlorë,322031,1,17,0.0,Q159610
324005,Frédéric Joliot-Curie,324005,8,16,9074.258702152934,Q150989
325024,British Transport Police,325024,10,11,10971.385963476221,Q174588
326795,Folding kayak,326795,6,27,84.33333333333336,Q1900244
330877,Chewbacca defense,330877,4,30,13934.0,Q260442
331245,British European Airways,331245,7,29,5477.14116326243,Q919252
331463,Wally Schirra,331463,11,26,17155.061517233007,Q110450
333314,Viacheslav Fetisov,333314,1,34,0.0,Q553302
333464,Billy Rose,333464,4,8,98657.52305427549,Q448948
334273,Old Hokie,334273,3,22,0.0,Q7084228
335369,"Here, There and Everywhere",335369,1,7,0.0,Q1343063
338923,DéFI,338923,7,17,0.0,Q1470087
340855,Thames Valley Police,340855,12,11,390875.9952788749,Q8578453
340927,Shenzhou 5,340927,4,26,35.703938599916164,Q378417
342001,Vasily Lazarev,342001,3,26,0.7333333333333333,Q365317
344917,Richard Burns,344917,1,31,0.0,Q213697
346178,RTHK,346178,3,24,55817.80351504658,Q1153480
346979,Kevin Keegan,346979,4,29,39977.47255650857,Q152832
350052,Will Vinton,350052,2,30,4646.0,Q973687
351156,1922 Committee,351156,3,0,0.5,Q4561171
353416,"William Slim, 1st Viscount Slim",353416,7,27,9293.166666666666,Q335033
354551,Malcolm Rifkind,354551,5,39,101504.74839355373,Q333487
355627,"Bewitched, Bothered and Bewildered",355627,4,8,4646.0,Q4563385
355774,Bautzen,355774,3,13,0.0,Q14835
356538,Political parties in Belgium,356538,9,17,243.65768227309954,Q792375
356637,The Left (Luxembourg),356637,6,17,0.0,Q1270494
358688,Aladdin and the King of Thieves,358688,5,17,2018.4897578821133,Q817003
359328,Brighton hotel bombing,359328,7,39,39450.0,Q891856
359887,Mark Hofmann,359887,1,31,0.0,Q4354485
362160,Gemini 5,362160,12,26,3030.8764547561977,Q725849
362944,Gemini 7,362944,10,26,2662.596644036192,Q119807
364771,Grand vizier,364771,3,17,4646.0,Q18811
365451,Itamar Franco,365451,8,40,5293.79268110186,Q485946
367503,Concretion,367503,2,19,9290.0,Q1093379
367818,Kay Bailey Hutchison,367818,2,1,9231.594622112143,Q239928
367929,Israeli West Bank barrier,367929,5,15,656839.2366503514,Q524253
368897,Swedish Security Service,368897,9,11,82585.20145765213,Q1331110
369057,John Negroponte,369057,8,25,166.3728309487789,Q453868
369302,Gemini 9A,369302,12,26,407.7768431542749,Q519533
369716,Andy Thomas,369716,1,26,0.0,Q507894
373603,Booster (rocketry),373603,3,26,37112.280515297905,Q741745
374530,Ventnor,374530,4,22,66167.01905292842,Q1026673
374595,Angus Ogilvy,374595,4,0,1037.705539068861,Q544609
375195,Susan Collins,375195,18,1,277456.93858557584,Q22279
375454,Social Democratic Party (Japan),375454,2,17,15194.105415051867,Q835109
378212,Obverse and reverse,378212,5,0,1.5,Q20725526
378940,Djivan Gasparyan,378940,3,7,4646.0,Q471537
379861,Byron Dorgan,379861,2,1,0.0,Q555735
379895,Marilyn Horne,379895,5,41,143326.0,Q186514
381923,"Katharine, Duchess of Kent",381923,14,0,124225.2623659854,Q236678
381930,Operation Sonnenblume,381930,7,27,9290.0,Q708223
382755,Icelandic Commonwealth,382755,2,11,0.0,Q62389
385537,Ryde,385537,3,22,13932.0,Q776556
386177,Will McDonough,386177,2,6,4646.0,Q8002965
389727,Gibraltar Anthem,389727,1,13,0.0,Q816013
389836,G-force,389836,3,26,4646.294476765064,Q284602
390102,Ibn al-Khattab,390102,4,17,52617.80682916998,Q335460
390179,I. F. Stone,390179,1,17,0.0,Q2916247
390266,Brady Anderson,390266,1,6,0.0,Q4955157
390432,Silesian Wars,390432,8,13,31137.194499565514,Q699849
390597,Astronomical symbols,390597,1,4,0.0,Q645745
390776,Vincent K. Brooks,390776,2,22,36154.20958770166,Q2526622
391793,Shannon Noll,391793,2,12,0.0,Q7488920
392217,Dragan Čović,392217,3,24,0.3333333333333333,Q559756
392804,Nedelin catastrophe,392804,2,26,0.0,Q386074
393105,Largs,393105,3,11,21530.363116936966,Q1016169
393272,Culture of Hong Kong,393272,3,24,18570.29309418949,Q836046
393288,Tourism in Hong Kong,393288,3,24,189607.96184607464,Q825765
393931,Soyuz,393931,4,26,0.0,Q225732
396241,Banksy,396241,38,15,557369.3941509358,Q133600
396375,List of political parties in Latvia,396375,9,41,16251.1,Q1930753
398501,Paw,398501,2,37,13932.0,Q219588
399532,The Rhythm of the Saints,399532,4,30,5275.642997629078,Q2270237
402560,Abdul Rahman bin Faisal,402560,9,11,8059.741176282003,Q317421
405871,Tobruk,405871,10,27,20.057142857142857,Q182092
406239,Treaty of Tripoli,406239,2,0,23210.0,Q1456685
406573,Roscosmos,406573,41,26,51422.720076563885,Q190795
407380,Endogamy,407380,2,16,4646.0,Q212926
407740,Relief Society,407740,9,43,9293.75,Q3044511
409522,Brazilian Communist Party,409522,19,40,90.70835876294984,Q2597196
411616,Gemini 12,411616,13,26,5053.776843154276,Q259770
413018,Bob Livingston,413018,1,25,0.0,Q888069
413134,"Crawfordville, Florida",413134,5,19,0.0,Q631217
413206,"Richard Molesworth, 3rd Viscount Molesworth",413206,1,0,0.0,Q4301081
413315,Croatian Democratic Union of Bosnia and Herzegovina,413315,8,24,2.833333333333333,Q16792
413319,Serb Democratic Party (Bosnia and Herzegovina),413319,7,24,0.0,Q1164533
413646,"Shamil, 3rd Imam of Dagestan",413646,4,4,80.5831701266487,Q244742
413913,Bill Mazeroski,413913,5,30,2317.8212825371293,Q862301
414463,Alan Duncan,414463,2,0,31.194444444444446,Q302417
414987,Green Party (Brazil),414987,21,40,7127.437630150404,Q1234489
415028,Party of National Mobilization,415028,19,40,90.70835876294984,Q429972
415242,Unconditional surrender,415242,1,21,0.0,Q813919
417528,Adam Price,417528,2,0,4646.0,Q3405033
417633,Simon Thomas (politician),417633,1,0,0.0,Q3405148
418336,Charley Steiner,418336,15,6,17237.01086044729,Q5084366
418740,Belinda Stronach,418740,6,30,27855.5,Q548048
419049,Phil Bredesen,419049,2,25,4646.0,Q724001
419350,Felipe Alou,419350,1,6,0.0,Q3068115
419550,Dante Bichette,419550,3,6,679.991930206006,Q8836231
419720,Continental Navy,419720,7,0,279187.7371603718,Q2367216
420234,Caroline Flint,420234,1,39,0.0,Q251095
420855,Joseph Kony,420855,3,11,0.0,Q104419
421641,Mark Francois,421641,2,39,0.0,Q390869
422115,Operation Frankton,422115,4,27,225302.0,Q288601
423762,Paul Hornung,423762,10,9,20348.13110514305,Q363509
424798,Ecological Democratic Party,424798,4,17,43824.37715897212,Q294989
425351,Duncan Edwards,425351,8,29,75418.80580190815,Q276310
425483,Matt Kenseth,425483,9,31,12019.341174923733,Q468436
426729,Hypercane,426729,8,19,0.0,Q1640984
427819,Pyroclastic surge,427819,3,26,18572.0,Q1758272
428603,Edward Leigh,428603,2,0,0.0,Q749980
428791,Pat Burrell,428791,5,6,14221.298699794248,Q3296953
429447,Securitate,429447,1,11,0.0,Q208980
429657,Catwoman,429657,11,14,21540.191020132188,Q158952
429839,Serious Fraud Office (United Kingdom),429839,4,11,19013.84755377362,Q1813958
433111,Attorney General for England and Wales,433111,2,0,0.0,Q2631987
435304,Nicholas Kristof,435304,5,11,32496.0,Q972107
435430,Landtag of Bavaria,435430,9,17,53574.10464419331,Q641439
435829,Princess Louise Margaret of Prussia,435829,6,0,1942.7260604047206,Q235435
435871,José Figueres Ferrer,435871,2,17,4646.0,Q311126
440800,Richard Neal,440800,5,25,4646.0,Q1464697
442427,Anglo-Irish Agreement,442427,3,39,13932.0,Q2708643
