,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality,Qid
3491412,Gaëlle Voiry,2,89.61538,0,168,183,-2.3825834,-7.386362,3491412,70,9,30122.07409104105,Q3099903
3509019,Fiducial,15,11.153846,185,97,239,0.11068059,-24.881182,3509019,2,8,2204.0,Q3071473
3516709,Brest Bretagne Handball,9,15.769232,0,157,116,-9.661378,-12.280233,3516709,6,18,1.580952380952381,Q3126705
3543289,Miss International,2,31.923077,0,168,183,18.787882,-16.801672,3543289,20,9,4493.107879154739,Q475660
3551006,Günter Meisner,19,10.0,235,44,170,1.2036669,-8.23367,3551006,1,11,0.0,Q92128
3552921,Miss Normandie,2,89.61538,0,168,183,3.9776478,0.7194799,3552921,70,9,89.51904671653178,Q3316573
3594551,Ievgueni Zimine,19,10.0,235,44,170,-2.0140088,-22.9584,3594551,1,11,0.0,Q1369655
3601080,Don Lusk,12,10.0,0,134,74,13.322753,-19.093681,3601080,1,3,0.0,Q3035823
3625280,Andy Carroll,1,12.307693,0,164,49,21.341888,-17.586287,3625280,3,7,6.4,Q159159
3683819,Affaire Florence Cassez,15,10.0,185,97,239,20.909815,-22.992828,3683819,1,8,0.0,Q643823
3717411,Yves Pignot,0,12.307693,193,77,88,15.38062,4.1024065,3717411,3,6,35834.712044855405,Q3573897
3738295,Charlélie Couture,3,11.153846,0,134,135,-14.693891,-11.052379,3738295,2,8,2204.0,Q2961093
3741229,Sonia Vollereaux,14,10.0,60,163,0,3.741995,20.361788,3741229,1,0,0.0,Q3490450
3751037,Philippe Bruneau (acteur),14,10.0,60,163,0,21.64596,24.816847,3751037,1,0,0.0,Q3379461
3760675,Thierry Baumann,0,10.0,193,77,88,21.01289,15.26113,3760675,1,5,0.0,Q3524126
3779511,John Howard Davies,0,10.0,193,77,88,-7.347329,7.3921704,3779511,1,5,0.0,Q772224
3809946,Bill Slater,16,10.0,153,96,160,12.146087,15.47376,3809946,1,12,0.0,Q862468
3822455,La Nuit au musée 2,12,16.923077,0,134,74,11.38188,23.917038,3822455,7,3,957.6009491239756,Q476726
3840520,Karl Paquette,4,11.153846,235,94,0,-23.367228,-23.90536,3840520,2,1,0.0,Q3193439
3852608,Marcel Campion,8,11.153846,0,126,172,-19.11453,-17.972157,3852608,2,12,1103.0,Q3288760
3857689,André Bolkonsky,0,18.076923,193,77,88,-10.77552,-10.660043,3857689,8,5,300.9669614090712,Q2737140
3857732,Pierre Bézoukhov,0,14.615385,193,77,88,1.8978993,-8.376018,3857732,5,5,0.8,Q2568844
3860147,Miss France 2003,2,90.76923,0,168,183,23.692862,-16.868105,3860147,71,9,3772.5833357483293,Q3316477
3874381,Mike Phelan,16,10.0,153,96,160,-7.1365366,-12.885481,3874381,1,12,0.0,Q325580
3894194,Meurtres de la lande,15,10.0,185,97,239,3.06836,-19.464594,3894194,1,8,0.0,Q16468
3895020,Mizuo Peck,12,13.461538,0,134,74,23.675049,14.470998,3895020,4,3,0.0,Q444455
3909482,Rivalité Federer-Nadal,17,14.615385,54,124,233,-0.47964457,-24.271645,3909482,5,6,1463.9833333333456,Q1202961
3912444,La Nuit au musée (série de films),12,15.769232,0,134,74,24.023197,23.23965,3912444,6,3,15285.0,Q3211184
3940970,Élodie Frenck,0,10.0,193,77,88,-10.3570175,-14.999827,3940970,1,5,0.0,Q3051619
3950253,Thierry Godard,14,15.769232,60,163,0,-17.55293,4.266523,3950253,6,4,14240.0,Q3524285
3960326,The Full Monty,0,13.461538,193,77,88,-21.247002,-0.70543534,3960326,4,5,1395.3735015311493,Q775970
3965408,Jessica Lowndes,0,10.0,193,77,88,9.058801,-10.744483,3965408,1,5,0.0,Q235804
3968322,David et Jonathan (musique),4,11.153846,235,94,0,17.097519,7.0761266,3968322,2,1,3064.9878387999643,Q3019067
3981136,Josef Meinrad,19,14.615385,235,44,170,7.142183,23.02785,3981136,5,11,629.6317328557418,Q85467
4006205,Drop Dead Diva,0,12.307693,193,77,88,-12.489796,-8.207416,4006205,3,16,3806.473567966615,Q1138559
4013722,Shoah,18,15.769232,0,148,245,-6.673958,4.565934,4013722,6,7,18546.0,Q2763
4024673,Michael Jones (chanteur),4,19.23077,235,94,0,1.1191568,-18.740318,4024673,9,1,8195.84299767834,Q438832
4034246,Baptiste Giabiconi,17,13.461538,54,124,233,17.719648,18.394897,4034246,4,6,8706.630077324678,Q1397437
4045221,Younès Belhanda,1,11.153846,0,164,49,-6.5764804,4.052288,4045221,2,7,0.0,Q348266
4052732,Miss Bretagne,2,88.46154,0,168,183,-0.75221235,12.582674,4052732,69,9,50.22393504243586,Q3316385
4057844,Miss Lorraine,2,90.76923,0,168,183,3.374689,-10.176641,4057844,71,9,11944.417719142331,Q3316535
4067034,Raymonde Allain,2,87.30769,0,168,183,13.077215,-10.814738,4067034,68,9,0.0,Q3421255
4071865,Miss Corse,2,88.46154,0,168,183,-3.0623565,-15.361674,4071865,69,9,50.22393504243586,Q3316402
4095513,Le Professionnel,17,15.769232,54,124,233,-16.590433,5.258218,4095513,6,6,21511.867765180054,Q470806
4116463,Jake Cherry,12,11.153846,0,134,74,-2.378702,-9.310126,4116463,2,3,0.0,Q718446
4150185,The Windmills of Your Mind,4,11.153846,235,94,0,0.507229,-20.290998,4150185,2,1,2204.0,Q2022787
4185978,Miss Provence,2,89.61538,0,168,183,-0.04216136,-7.4647217,4185978,70,9,63.40634527772385,Q3316595
4192610,Stéphanie Tesson,10,11.153846,114,121,10,11.343246,-11.70313,4192610,2,15,7201.4527562420435,Q3502227
4193516,Patrick Gallagher,12,13.461538,0,134,74,7.6982684,-17.80926,4193516,4,3,0.0,Q119966
4201105,Brigade (cuisine),17,10.0,54,124,233,-7.559479,-4.102953,4201105,1,6,0.0,Q599635
4204551,Miss Tahiti,2,96.53846,0,168,183,-19.620037,17.172535,4204551,76,9,3121.9997980683606,Q1119244
4204590,Miss Aquitaine,2,90.76923,0,168,183,15.850561,-9.514012,4204590,71,9,139.7429817589676,Q3316370
4209664,Miss Picardie,2,89.61538,0,168,183,11.1327305,-4.80642,4209664,70,9,126.56057152367949,Q3316589
4210051,Festival international du cirque de Monte-Carlo,17,11.153846,54,124,233,14.84117,-21.155758,4210051,2,6,0.0,Q607585
4214675,Miss Île-de-France,2,90.76923,0,168,183,-8.258714,-1.327157,4214675,71,9,1070.9375572320753,Q3316658
4217711,Miss Pays de la Loire,2,88.46154,0,168,183,17.366755,-14.6503315,4217711,69,9,50.22393504243586,Q3316585
4227599,Andrea Dotti (médecin),0,10.0,193,77,88,23.517714,15.573573,4227599,1,5,0.0,Q536106
4239276,Miss Auvergne,2,88.46154,0,168,183,11.248714,2.5089908,4239276,69,9,50.22393504243586,Q3316374
4253263,Mark Salling,6,11.153846,152,129,0,14.762676,20.39574,4253263,2,16,1632.031739688255,Q314424
4253713,Jean-Pierre Savelli,4,10.0,235,94,0,2.5123546,10.232964,4253713,1,1,0.0,Q3169752
4256183,Miss Franche-Comté,2,88.46154,0,168,183,-24.16061,-9.740651,4256183,69,9,50.22393504243586,Q3316498
4256204,Miss Poitou-Charentes,2,88.46154,0,168,183,-13.368142,5.7809553,4256204,69,9,50.22393504243586,Q3316592
4258156,Sayonara,0,10.0,193,77,88,19.9295,11.547418,4258156,1,5,0.0,Q407644
4284339,Miss Limousin,2,90.76923,0,168,183,18.497152,23.093813,4284339,71,9,458.4805629828706,Q3316529
4284372,Miss Rhône-Alpes,2,91.92307,0,168,183,-10.613793,17.91014,4284372,72,9,535.150532797447,Q3316594
4285142,Les Enfants de la Terre (association),0,10.0,193,77,88,11.542222,-19.837755,4285142,1,5,0.0,Q3232340
4286749,Miss Midi-Pyrénées,2,87.30769,0,168,183,17.521597,23.993135,4286749,68,9,0.0,Q3316559
4293391,Miss Martinique,2,93.07693,0,168,183,2.5122468,6.3850026,4293391,73,9,12549.821410209077,Q3316550
4293398,Miss Guadeloupe,2,91.92307,0,168,183,-18.99982,-19.098871,4293398,72,9,1103.8165545376685,Q3316505
4297855,Miss Languedoc-Roussillon,2,90.76923,0,168,183,-0.53552634,9.539456,4297855,71,9,423.69958803647035,Q3316526
4299881,Miss Champagne-Ardenne,2,87.30769,0,168,183,24.957806,-21.748528,4299881,68,9,0.0,Q3316397
4299896,Miss Centre-Val de Loire,2,88.46154,0,168,183,-9.370816,16.284893,4299896,69,9,1652.6427796934947,Q3316395
4299914,Sophie Ducasse,13,13.461538,253,0,107,-15.855413,-14.532558,4299914,4,9,0.9091381849826916,Q3490922
4300541,Miss Nouvelle-Calédonie,2,87.30769,0,168,183,-15.985737,6.99426,4300541,68,9,0.0,Q3316576
4313733,Michael Stuhlbarg,11,12.307693,175,95,13,12.162528,16.696724,4313733,3,0,602.9068882675781,Q438445
4314199,Animateur de communauté,2,10.0,0,168,183,19.31949,-17.460003,4314199,1,9,0.0,Q2633287
4327885,Uta Franz,19,13.461538,235,44,170,-10.511095,-6.1529083,4327885,4,11,0.0,Q86039
