,Degree,Id,Label,Probability,Qid,Topic,betweenesscentrality,modularity_class
87,8.0,6499.0,"Джанибеков, Владимир Александрович",0.9935217499732971,Q466513,History_and_Society.Transportation,300.6869615140683,8.0
88,8.0,6499.0,"Джанибеков, Владимир Александрович",0.983095109462738,Q466513,STEM.Technology,300.6869615140683,8.0
89,8.0,6499.0,"Джанибеков, Владимир Александрович",0.9648651480674744,Q466513,STEM.STEM*,300.6869615140683,8.0
90,8.0,6499.0,"Джанибеков, Владимир Александрович",0.6297846436500549,Q466513,History_and_Society.Society,300.6869615140683,8.0
91,8.0,6499.0,"Джанибеков, Владимир Александрович",0.3276783227920532,Q466513,History_and_Society.Military_and_warfare,300.6869615140683,8.0
92,8.0,6499.0,"Джанибеков, Владимир Александрович",0.0,Q466513,Geography.Regions.Asia.Asia*,300.6869615140683,8.0
93,8.0,6499.0,"Джанибеков, Владимир Александрович",0.0,Q466513,Geography.Regions.Europe.Europe*,300.6869615140683,8.0
94,12.0,6624.0,"Лазарев, Василий Григорьевич",0.9965265989303589,Q365317,Culture.Biography.Biography*,867.570295835557,8.0
95,12.0,6624.0,"Лазарев, Василий Григорьевич",0.9845854640007019,Q365317,History_and_Society.Transportation,867.570295835557,8.0
96,12.0,6624.0,"Лазарев, Василий Григорьевич",0.9777238368988037,Q365317,STEM.Space,867.570295835557,8.0
97,12.0,6624.0,"Лазарев, Василий Григорьевич",0.9591643214225769,Q365317,STEM.STEM*,867.570295835557,8.0
98,12.0,6624.0,"Лазарев, Василий Григорьевич",0.9344051480293274,Q365317,STEM.Technology,867.570295835557,8.0
99,12.0,6624.0,"Лазарев, Василий Григорьевич",0.6992644667625427,Q365317,History_and_Society.Military_and_warfare,867.570295835557,8.0
100,12.0,6624.0,"Лазарев, Василий Григорьевич",0.6859594583511353,Q365317,History_and_Society.Society,867.570295835557,8.0
101,12.0,6624.0,"Лазарев, Василий Григорьевич",0.15742753648757934,Q365317,Geography.Regions.Asia.Asia*,867.570295835557,8.0
102,12.0,6624.0,"Лазарев, Василий Григорьевич",0.1067005917429924,Q365317,STEM.Engineering,867.570295835557,8.0
103,12.0,6624.0,"Лазарев, Василий Григорьевич",0.10375863313674927,Q365317,History_and_Society.History,867.570295835557,8.0
104,12.0,6624.0,"Лазарев, Василий Григорьевич",0.014629947185516357,Q365317,Geography.Regions.Europe.Europe*,867.570295835557,8.0
105,12.0,6624.0,"Лазарев, Василий Григорьевич",0.0,Q365317,Geography.Regions.Asia.North_Asia,867.570295835557,8.0
106,12.0,6624.0,"Лазарев, Василий Григорьевич",0.0,Q365317,Geography.Regions.Europe.Eastern_Europe,867.570295835557,8.0
107,10.0,6627.0,"Макаров, Олег Григорьевич",0.9986429810523987,Q467623,STEM.Space,312.67322958368715,8.0
108,10.0,6627.0,"Макаров, Олег Григорьевич",0.9964163899421692,Q467623,STEM.Technology,312.67322958368715,8.0
109,10.0,6627.0,"Макаров, Олег Григорьевич",0.9954004287719727,Q467623,History_and_Society.Transportation,312.67322958368715,8.0
110,10.0,6627.0,"Макаров, Олег Григорьевич",0.9935217499732971,Q467623,Culture.Biography.Biography*,312.67322958368715,8.0
111,10.0,6627.0,"Макаров, Олег Григорьевич",0.9748311638832092,Q467623,STEM.STEM*,312.67322958368715,8.0
112,10.0,6627.0,"Макаров, Олег Григорьевич",0.8991314172744751,Q467623,History_and_Society.Society,312.67322958368715,8.0
113,10.0,6627.0,"Макаров, Олег Григорьевич",0.14415885508060455,Q467623,History_and_Society.Military_and_warfare,312.67322958368715,8.0
114,10.0,6627.0,"Макаров, Олег Григорьевич",0.0,Q467623,Geography.Regions.Europe.Europe*,312.67322958368715,8.0
115,10.0,6627.0,"Макаров, Олег Григорьевич",0.0,Q467623,Geography.Regions.Asia.Asia*,312.67322958368715,8.0
116,10.0,6627.0,"Макаров, Олег Григорьевич",0.0,Q467623,Geography.Regions.Europe.Eastern_Europe,312.67322958368715,8.0
117,10.0,6627.0,"Макаров, Олег Григорьевич",0.0,Q467623,Geography.Regions.Asia.North_Asia,312.67322958368715,8.0
118,10.0,7373.0,"Стрекалов, Геннадий Михайлович",1.0000100135803223,Q470256,STEM.Technology,411.9312243554015,8.0
119,10.0,7373.0,"Стрекалов, Геннадий Михайлович",1.0000100135803223,Q470256,STEM.Space,411.9312243554015,8.0
120,10.0,7373.0,"Стрекалов, Геннадий Михайлович",1.0000100135803223,Q470256,History_and_Society.Transportation,411.9312243554015,8.0
121,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.9980222582817078,Q470256,STEM.STEM*,411.9312243554015,8.0
122,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.9970290064811707,Q470256,Culture.Biography.Biography*,411.9312243554015,8.0
123,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.8354935646057129,Q470256,History_and_Society.Society,411.9312243554015,8.0
124,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.19194278120994568,Q470256,History_and_Society.Military_and_warfare,411.9312243554015,8.0
125,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.0,Q470256,Geography.Regions.Asia.Asia*,411.9312243554015,8.0
126,10.0,7373.0,"Стрекалов, Геннадий Михайлович",0.0,Q470256,Geography.Regions.Europe.Europe*,411.9312243554015,8.0
127,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",1.0000100135803223,Q466069,History_and_Society.Transportation,119.05626222321756,8.0
128,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",1.0000100135803223,Q466069,STEM.Space,119.05626222321756,8.0
129,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.9994215965270996,Q466069,STEM.Technology,119.05626222321756,8.0
130,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.998599648475647,Q466069,Culture.Biography.Biography*,119.05626222321756,8.0
131,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.996837317943573,Q466069,STEM.STEM*,119.05626222321756,8.0
132,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.8596737384796143,Q466069,History_and_Society.Society,119.05626222321756,8.0
133,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.6513648629188538,Q466069,History_and_Society.Military_and_warfare,119.05626222321756,8.0
134,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.16027602553367615,Q466069,STEM.Engineering,119.05626222321756,8.0
135,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.0,Q466069,Geography.Regions.Europe.Europe*,119.05626222321756,8.0
136,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.0,Q466069,Geography.Regions.Asia.Asia*,119.05626222321756,8.0
137,8.0,7499.0,"Титов, Владимир Георгиевич (космонавт)",0.0,Q466069,Geography.Regions.Europe.Eastern_Europe,119.05626222321756,8.0
138,1.0,7577.0,Субботник,0.26285186409950256,Q773620,STEM.STEM*,0.0,14.0
139,1.0,7577.0,Субботник,0.21734751760959625,Q773620,Culture.Visual_arts.Visual_arts*,0.0,14.0
140,1.0,7577.0,Субботник,0.16452647745609283,Q773620,Culture.Media.Music,0.0,14.0
141,1.0,7577.0,Субботник,0.14805719256401062,Q773620,STEM.Engineering,0.0,14.0
142,1.0,7577.0,Субботник,0.14415885508060455,Q773620,Culture.Sports,0.0,14.0
143,1.0,7577.0,Субботник,0.1294127255678177,Q773620,Culture.Media.Media*,0.0,14.0
144,1.0,7577.0,Субботник,0.12253321707248688,Q773620,History_and_Society.Society,0.0,14.0
145,1.0,7577.0,Субботник,0.10375863313674927,Q773620,History_and_Society.Transportation,0.0,14.0
146,1.0,7577.0,Субботник,0.0,Q773620,Geography.Regions.Europe.Europe*,0.0,14.0
147,1.0,7577.0,Субботник,0.0,Q773620,Geography.Regions.Asia.Asia*,0.0,14.0
148,12.0,7674.0,Космодром,0.9850529432296753,Q194188,History_and_Society.Transportation,15349.892213132807,8.0
149,12.0,7674.0,Космодром,0.9263137578964233,Q194188,STEM.STEM*,15349.892213132807,8.0
150,12.0,7674.0,Космодром,0.8439050912857056,Q194188,STEM.Technology,15349.892213132807,8.0
151,12.0,7674.0,Космодром,0.585111141204834,Q194188,STEM.Space,15349.892213132807,8.0
152,12.0,7674.0,Космодром,0.3775506913661957,Q194188,STEM.Engineering,15349.892213132807,8.0
153,12.0,7674.0,Космодром,0.14415885508060455,Q194188,History_and_Society.Military_and_warfare,15349.892213132807,8.0
154,12.0,7674.0,Космодром,0.14415885508060455,Q194188,History_and_Society.Society,15349.892213132807,8.0
155,1.0,8838.0,Старица (город),0.9890230894088745,Q196481,History_and_Society.Society,0.0,3.0
156,1.0,8838.0,Старица (город),0.6723417043685913,Q196481,Geography.Geographical,0.0,3.0
157,1.0,8838.0,Старица (город),0.13661839067935944,Q196481,Geography.Regions.Europe.Europe*,0.0,3.0
158,1.0,8838.0,Старица (город),0.1097157895565033,Q196481,Geography.Regions.Asia.Asia*,0.0,3.0
159,4.0,8922.0,Шансонье,0.3140605390071869,Q13391399,Culture.Media.Music,1792.0,15.0
160,6.0,9693.0,Мумия,0.7606606483459473,Q43616,STEM.STEM*,11404.481832315289,21.0
161,6.0,9693.0,Мумия,0.22271016240119934,Q43616,History_and_Society.Society,11404.481832315289,21.0
162,6.0,9693.0,Мумия,0.21207880973815918,Q43616,STEM.Biology,11404.481832315289,21.0
163,6.0,9693.0,Мумия,0.19194278120994568,Q43616,History_and_Society.History,11404.481832315289,21.0
164,6.0,9693.0,Мумия,0.1778208613395691,Q43616,STEM.Medicine_&_Health,11404.481832315289,21.0
165,6.0,9693.0,Мумия,0.1520422399044037,Q43616,Culture.Philosophy_and_religion,11404.481832315289,21.0
166,6.0,9693.0,Мумия,0.1067005917429924,Q43616,STEM.Technology,11404.481832315289,21.0
167,6.0,9693.0,Мумия,0.10375863313674927,Q43616,History_and_Society.Politics_and_government,11404.481832315289,21.0
168,2.0,9998.0,РЖД Арена,0.9808859825134277,Q595937,History_and_Society.Society,1792.0,17.0
169,2.0,9998.0,РЖД Арена,0.348655104637146,Q595937,Geography.Regions.Europe.Europe*,1792.0,17.0
170,2.0,9998.0,РЖД Арена,0.3007555902004242,Q595937,Geography.Regions.Europe.Eastern_Europe,1792.0,17.0
171,2.0,9998.0,РЖД Арена,0.2814156115055084,Q595937,Geography.Regions.Asia.North_Asia,1792.0,17.0
172,2.0,9998.0,РЖД Арена,0.23371636867523193,Q595937,History_and_Society.Military_and_warfare,1792.0,17.0
173,2.0,9998.0,РЖД Арена,0.20182321965694427,Q595937,Culture.Sports,1792.0,17.0
174,2.0,9998.0,РЖД Арена,0.14805719256401062,Q595937,Geography.Regions.Asia.Asia*,1792.0,17.0
175,24.0,10563.0,Международная космическая станция,0.8175845146179199,Q25271,STEM.Space,36759.67105539825,8.0
176,24.0,10563.0,Международная космическая станция,0.6513648629188538,Q25271,STEM.STEM*,36759.67105539825,8.0
177,24.0,10563.0,Международная космическая станция,0.6224693655967712,Q25271,History_and_Society.Transportation,36759.67105539825,8.0
178,24.0,10563.0,Международная космическая станция,0.5621865391731262,Q25271,STEM.Technology,36759.67105539825,8.0
179,24.0,10563.0,Международная космическая станция,0.0,Q25271,Geography.Regions.Europe.Europe*,36759.67105539825,8.0
180,1.0,11107.0,"Рыбалко, Павел Семёнович",0.9863731861114502,Q1332642,Culture.Biography.Biography*,0.0,14.0
181,1.0,11107.0,"Рыбалко, Павел Семёнович",0.9814634323120117,Q1332642,History_and_Society.Military_and_warfare,0.0,14.0
182,1.0,11107.0,"Рыбалко, Павел Семёнович",0.3509628047943115,Q1332642,Geography.Regions.Europe.Eastern_Europe,0.0,14.0
183,1.0,11107.0,"Рыбалко, Павел Семёнович",0.348655104637146,Q1332642,History_and_Society.Society,0.0,14.0
184,1.0,11107.0,"Рыбалко, Павел Семёнович",0.311877357006073,Q1332642,Geography.Regions.Europe.Europe*,0.0,14.0
185,1.0,11107.0,"Рыбалко, Павел Семёнович",0.270853506565094,Q1332642,Geography.Regions.Asia.North_Asia,0.0,14.0
186,1.0,11107.0,"Рыбалко, Павел Семёнович",0.12146936559677124,Q1332642,Geography.Regions.Asia.Asia*,0.0,14.0
187,11.0,11963.0,Энергия (ракета-носитель),0.9995371699333191,Q731859,STEM.Space,2.196695379783615,8.0
188,11.0,11963.0,Энергия (ракета-носитель),0.9982553720474243,Q731859,STEM.Technology,2.196695379783615,8.0
189,11.0,11963.0,Энергия (ракета-носитель),0.9959398508071899,Q731859,History_and_Society.Transportation,2.196695379783615,8.0
190,11.0,11963.0,Энергия (ракета-носитель),0.9850529432296753,Q731859,STEM.STEM*,2.196695379783615,8.0
191,11.0,11963.0,Энергия (ракета-носитель),0.6723417043685913,Q731859,History_and_Society.Society,2.196695379783615,8.0
192,11.0,11963.0,Энергия (ракета-носитель),0.23371636867523193,Q731859,History_and_Society.Military_and_warfare,2.196695379783615,8.0
193,11.0,11963.0,Энергия (ракета-носитель),0.0,Q731859,Geography.Regions.Europe.Eastern_Europe,2.196695379783615,8.0
194,11.0,11963.0,Энергия (ракета-носитель),0.0,Q731859,Geography.Regions.Europe.Europe*,2.196695379783615,8.0
195,11.0,11963.0,Энергия (ракета-носитель),0.0,Q731859,Geography.Regions.Asia.Asia*,2.196695379783615,8.0
196,11.0,11963.0,Энергия (ракета-носитель),0.0,Q731859,Geography.Regions.Asia.North_Asia,2.196695379783615,8.0
197,1.0,12134.0,Экраноплан,0.5156299471855164,Q309398,STEM.STEM*,0.0,8.0
198,1.0,12134.0,Экраноплан,0.4532718360424042,Q309398,History_and_Society.Transportation,0.0,8.0
199,1.0,12134.0,Экраноплан,0.275139719247818,Q309398,STEM.Engineering,0.0,8.0
200,1.0,12134.0,Экраноплан,0.22816647589206696,Q309398,Culture.Sports,0.0,8.0
201,1.0,12134.0,Экраноплан,0.1294127255678177,Q309398,History_and_Society.Military_and_warfare,0.0,8.0
202,1.0,12134.0,Экраноплан,0.0,Q309398,Geography.Regions.Europe.Europe*,0.0,8.0
203,1.0,12134.0,Экраноплан,0.0,Q309398,Geography.Regions.Asia.Asia*,0.0,8.0
204,3.0,12167.0,"Климов, Элем Германович",0.998142421245575,Q516987,Culture.Biography.Biography*,5580.884700898542,5.0
205,3.0,12167.0,"Климов, Элем Германович",0.3998216390609741,Q516987,History_and_Society.Military_and_warfare,5580.884700898542,5.0
206,3.0,12167.0,"Климов, Элем Германович",0.30736804008483887,Q516987,History_and_Society.Society,5580.884700898542,5.0
207,3.0,12167.0,"Климов, Элем Германович",0.17818872833251953,Q516987,Geography.Regions.Europe.Europe*,5580.884700898542,5.0
208,3.0,12167.0,"Климов, Элем Германович",0.0,Q516987,Geography.Regions.Asia.Asia*,5580.884700898542,5.0
209,3.0,12167.0,"Климов, Элем Германович",0.0,Q516987,Geography.Regions.Asia.North_Asia,5580.884700898542,5.0
210,3.0,12167.0,"Климов, Элем Германович",0.0,Q516987,Geography.Regions.Europe.Eastern_Europe,5580.884700898542,5.0
211,3.0,13212.0,SpaceShipOne,0.9955416321754456,Q38935,STEM.STEM*,6188.206498703254,8.0
212,3.0,13212.0,SpaceShipOne,0.9952548146247864,Q38935,History_and_Society.Transportation,6188.206498703254,8.0
213,3.0,13212.0,SpaceShipOne,0.9859463572502136,Q38935,STEM.Space,6188.206498703254,8.0
214,3.0,13212.0,SpaceShipOne,0.9763205647468567,Q38935,STEM.Technology,6188.206498703254,8.0
215,3.0,13212.0,SpaceShipOne,0.9740526676177979,Q38935,STEM.Engineering,6188.206498703254,8.0
216,3.0,13212.0,SpaceShipOne,0.12253321707248688,Q38935,History_and_Society.Society,6188.206498703254,8.0
217,3.0,13212.0,SpaceShipOne,0.0,Q38935,Geography.Regions.Europe.Europe*,6188.206498703254,8.0
218,3.0,13212.0,SpaceShipOne,0.0,Q38935,Geography.Regions.Americas.North_America,6188.206498703254,8.0
219,28.0,13544.0,Ракета-носитель,0.9994907379150391,Q697175,STEM.Space,8621.552530689394,8.0
220,28.0,13544.0,Ракета-носитель,0.9982553720474243,Q697175,STEM.Technology,8621.552530689394,8.0
221,28.0,13544.0,Ракета-носитель,0.9974591135978699,Q697175,History_and_Society.Transportation,8621.552530689394,8.0
222,28.0,13544.0,Ракета-носитель,0.9952548146247864,Q697175,STEM.STEM*,8621.552530689394,8.0
223,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.9921941161155701,Q52224,Culture.Biography.Biography*,7155.0,10.0
224,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.3775506913661957,Q52224,History_and_Society.Society,7155.0,10.0
225,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.23935934901237488,Q52224,Culture.Literature,7155.0,10.0
226,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.13297423720359802,Q52224,Culture.Media.Media*,7155.0,10.0
227,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.1259327530860901,Q52224,Culture.Media.Entertainment,7155.0,10.0
228,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.0,Q52224,Geography.Regions.Europe.Europe*,7155.0,10.0
229,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.0,Q52224,Geography.Regions.Asia.Asia*,7155.0,10.0
230,11.0,13787.0,"Лукьяненко, Сергей Васильевич",0.0,Q52224,Geography.Regions.Europe.Eastern_Europe,7155.0,10.0
231,2.0,14040.0,"Завадский, Юрий Александрович",0.9951046109199524,Q860409,Culture.Biography.Biography*,4685.673871989802,22.0
