,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
96493,Équipe_du_Danemark_de_football,39.032257,235,94,0,-14.409599,6.751223,96493,11,3,3701.4049773509932
96795,Casablanca_(film),12.903226,114,121,10,-5.335685,-0.061997782,96795,2,1,2232.0
98097,Paul_Belmondo_(sculpteur),10.0,0,168,183,16.907717,-19.513681,98097,1,5,0.0
99240,Brice_Lalonde,33.225807,193,77,88,-15.670707,-12.651629,99240,9,9,11379.422540749634
99692,Marianne_Denicourt,15.806452,0,168,183,-6.451841,-21.545317,99692,3,5,2232.0
100488,Philippe_Nicaud,12.903226,0,134,135,16.719707,-18.584435,100488,2,12,0.0
101673,Barrage,27.419353,60,163,0,-6.337247,19.329212,101673,7,4,62985.61765694893
102104,Dornier_Do_17,21.612904,192,192,192,-4.700716,9.4533825,102104,5,18,0.25
104259,"Casino_Royale_(film,_1967)",21.612904,114,121,10,-1.5741464,22.066938,104259,5,0,14346.289322478831
104614,Famille_de_Gaulle,18.709677,193,77,88,-4.7166157,11.146855,104614,4,9,40823.65611841188
106047,Pentathlon_moderne,12.903226,192,192,192,4.6265764,-12.051289,106047,2,24,0.0
108891,Cyclone,18.709677,192,192,192,23.989174,12.205451,108891,4,13,1117.0
109672,Watergate,12.903226,152,129,0,11.229136,-23.245577,109672,2,6,3345.0
111515,Charles_XVI_Gustave,15.806452,175,95,13,-23.718922,24.94073,111515,3,13,276.75
111725,Arnaud_Clément,27.419353,41,139,0,21.964777,-12.434225,111725,7,8,1311.1746811116125
113565,Les_Sept_Samouraïs,10.0,255,42,47,-14.745611,-21.673302,113565,1,1,0.0
115030,Tournoi_(Moyen_Âge),10.0,0,168,183,18.78931,-15.419445,115030,1,5,0.0
115135,Nautilus,10.0,192,192,192,-18.785036,-5.11245,115135,1,18,0.0
115526,Les_Lilas,15.806452,0,157,116,-18.868929,19.575829,115526,3,21,10338.102587013362
116395,Keith_Moon,10.0,185,97,239,18.75343,7.3544755,116395,1,10,0.0
117170,Échelle_de_Saffir-Simpson,33.225807,192,192,192,-3.0558226,22.445274,117170,9,13,9939.450568471553
117925,Équipe_de_Pologne_de_football,39.032257,235,94,0,23.164791,-21.110096,117925,11,3,59856.41029030611
119812,Sydney_Pollack,18.709677,255,42,47,-24.886908,4.112907,119812,4,1,870.148741813745
119814,Louis_Jouvet,21.612904,0,168,183,-2.6656563,-2.2005682,119814,5,5,1581.8130099133966
120244,Histoire_de_Nauru,18.709677,60,163,0,16.28135,-3.151487,120244,4,2,6612.186536598423
121396,Les_Neveux_de_Donald,12.903226,192,192,192,-4.798885,4.156377,121396,2,24,0.0
126984,Gérard_Holtz,10.0,0,168,183,-1.4494382,-3.7179701,126984,1,5,0.0
128839,Aéroport_international_de_Bâle-Mulhouse-Fribourg,10.0,0,168,183,20.96994,-18.215145,128839,1,5,0.0
128994,Prise_RCA,12.903226,60,163,0,2.2370934,-20.343636,128994,2,4,0.0
129708,Ouragan_Hugo,18.709677,192,192,192,-9.383688,21.075363,129708,4,13,4276.231520852497
130120,Parlement_français,88.3871,193,77,88,5.3546524,24.267641,130120,28,9,77874.20413186005
131400,Grande_Loge_nationale_française,10.0,193,77,88,-20.093233,20.084414,131400,1,9,0.0
131827,ASM_Clermont_Auvergne,41.935482,0,160,220,23.012463,2.6781716,131827,12,23,5607.861904761827
133128,Lépanges-sur-Vologne,10.0,0,157,116,20.471663,20.02527,133128,1,21,0.0
133600,Antifascisme,15.806452,0,164,49,6.9489446,-10.502885,133600,3,14,0.0
136288,Overdose,24.516129,185,97,239,-16.056257,-23.153746,136288,6,10,27398.823130612953
138031,Gene_Kelly,18.709677,114,121,10,-6.7148705,20.625048,138031,4,1,3627.7590922421778
140607,Marcel_Bigeard,21.612904,0,126,172,-14.484577,16.076252,140607,5,11,430.76135492426687
