,Label,Modularity Class,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
440391,Brigitte_Auber,23,10.0,0,164,49,-11.017361,2.0288413,440391,1,1,0.0
440787,Georges_Guingouin,27,12.8125,192,192,192,-6.8744025,9.626976,440787,2,2,4600.0
442578,Dactylographie,11,12.8125,0,126,172,4.9470363,-10.853269,442578,2,11,0.0
444586,Tom_Novembre,22,10.0,0,134,135,10.9987545,-1.0349789,444586,1,8,0.0
446696,Paul_Le_Person,6,12.8125,192,192,192,-9.637094,-10.329121,446696,2,6,11114.2481620718
448520,Christian_Plaziat,7,35.3125,41,139,0,18.2582,1.8394786,448520,10,20,264.1866910866913
450078,Thierry_Roland,9,15.625,0,168,183,-12.379101,-12.453547,450078,3,6,158140.62623516933
453674,Philippe_Meirieu,21,12.8125,253,0,107,5.896866,-18.040121,453674,2,14,3453.0
455480,David_Soul,14,12.8125,235,44,170,4.1561666,-10.774333,455480,2,7,1153.0
457504,Sotchi,24,15.625,0,157,116,14.11667,17.227995,457504,3,12,126311.31687725165
458006,F91_Dudelange,2,15.625,235,94,0,-6.2650037,13.879911,458006,3,0,2962.3092352092335
461758,FK_Jablonec,2,24.0625,235,94,0,18.120758,-23.593027,461758,6,0,3708.4253142034754
461777,SK_Slavia_Prague,2,15.625,235,94,0,-18.950071,4.1599503,461777,3,0,147.11111111111114
461802,FC_Viktoria_Plzeň,2,15.625,235,94,0,16.494234,-3.1897824,461802,3,0,8.916666666666668
462080,Derby_(sport),19,12.8125,193,77,88,4.846626,-20.784073,462080,2,12,2203.0974297613598
465048,Nadège_Beausson-Diagne,12,15.625,175,95,13,12.452782,19.486881,465048,3,9,3453.0
465979,FC_Spartak_Trnava,2,10.0,235,94,0,11.947824,-0.7830743,465979,1,0,0.0
467330,Chakhtar_Donetsk,2,32.5,235,94,0,-19.264597,-21.083855,467330,9,0,4406.4112178884325
467386,Vorskla_Poltava,2,10.0,235,94,0,15.441782,18.202482,467386,1,0,0.0
467563,Hélène_Duc,8,26.875,60,163,0,11.450373,1.713024,467563,7,4,3515.472629078569
467827,Jérôme_Anger,6,18.4375,192,192,192,7.5584154,-8.634207,467827,4,6,4130.919047619046
469963,Roger_Boli,19,10.0,193,77,88,16.791737,8.205649,469963,1,12,0.0
471197,Cleews_Vellay,11,10.0,0,126,172,-21.729872,3.5930839,471197,1,11,0.0
471755,Florent_Sinama-Pongolle,2,12.8125,235,94,0,-9.406198,0.99153984,471755,2,0,1153.0
474976,Karen_Cheryl,9,26.875,0,168,183,8.355205,-23.84672,474976,7,8,23346.947054796306
477168,René_Girard_(football),19,15.625,193,77,88,-0.9354744,20.994781,477168,3,12,2.4999999999999996
478626,Horst_Buchholz,14,18.4375,235,44,170,22.796694,-17.20701,478626,4,7,3126.4160040628644
481599,Bruno_Solo,9,12.8125,0,168,183,-15.114014,23.745573,481599,2,6,1153.0
482035,Lindsey_Vonn,5,18.4375,152,129,0,7.3954034,-17.471336,482035,4,19,81203.33643888224
482210,Robert_Hirsch_(acteur),8,18.4375,60,163,0,4.9859805,-14.096747,482210,4,4,53.484001193115
