,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
874155,Xavier_Fagnon,37.5,54,124,233,4.0804524,-10.073042,874155,12,3,39438.54893277981
874683,Ministère_public_(France),22.5,192,192,192,-19.04839,-12.23428,874683,6,24,21417.848487851476
874933,José_Luccioni_(acteur),15.0,185,97,239,-18.946545,2.5905683,874933,3,18,5467.0
878111,Pakistan,27.5,193,77,88,1.1817873,0.6538383,878111,8,16,30871.30273294881
879428,Jean-Pierre_Kalfon,12.5,193,77,88,2.5378292,22.878729,879428,2,5,141.62470868882437
879528,Potemkine_(cuirassé),15.0,0,134,74,-12.02497,12.957091,879528,3,4,164.31330646174513
879699,James_Blunt,12.5,0,157,116,23.541752,11.537787,879699,2,23,1369.0
881713,Steven_Bauer,10.0,0,164,49,-9.62561,-17.189287,881713,1,10,0.0
882112,Les_Valeurs_de_la_famille_Addams,32.5,253,0,107,-7.1581583,2.8117354,882112,10,7,14058.403997168165
882691,Tyne_Daly,17.5,41,139,0,1.3633918,7.506585,882691,4,14,4187.734543840824
889992,Alexandra_Kazan,55.0,235,94,0,-20.453918,-10.24366,889992,19,1,5199.596690066003
890907,Les_Sous-doués_en_vacances,32.5,185,97,239,2.3515203,2.8303618,890907,10,5,5973.5686368985935
891064,Little_Skellig,17.5,0,126,172,-0.2833918,-3.6364686,891064,4,21,0.0
891153,Empoli,10.0,60,163,0,19.567087,8.188598,891153,1,2,0.0
899417,Ali_Larter,10.0,54,124,233,18.738302,-3.8476353,899417,1,3,0.0
905715,Patricia_Wettig,12.5,41,139,0,-24.404654,14.502882,905715,2,14,0.0
908935,Négation_de_la_Shoah,37.5,192,192,192,18.241022,-10.092301,908935,12,11,3378.2499999999995
909790,Brock_James,12.5,235,44,170,-18.235435,-2.7514439,909790,2,9,0.0
910314,Jean-Claude_Pressac,20.0,192,192,192,14.814287,-7.751676,910314,5,11,0.0
911210,Rachid_Ferrache,15.0,185,97,239,3.3762634,-13.189213,911210,3,5,6952.447505313958
913385,Gene_Barry,15.0,54,124,233,23.266443,19.609112,913385,3,3,0.0
914652,Dana_Delany,10.0,54,124,233,22.643282,6.635894,914652,1,3,0.0
918932,Sophia_Chikirou,20.0,192,192,192,3.9850447,-11.192147,918932,5,22,9552.0
920158,Elizabeth_Wilson,10.0,193,77,88,-11.836125,-23.373491,920158,1,16,0.0
925787,Femme_fatale,10.0,41,139,0,-3.465226,2.7077425,925787,1,14,0.0
926925,Catherine_Corsini,20.0,193,77,88,-19.194777,-15.996904,926925,5,5,4316.097116385375
928587,Laurent_Chalumeau,55.0,235,94,0,-9.447047,10.420406,928587,19,1,4.224880511832845
932442,Louis_Farrakhan,12.5,0,134,74,-13.168382,-18.6104,932442,2,0,11249.140896433375
932832,Jérôme_Bellay,12.5,235,94,0,-11.522851,-7.671908,932832,2,1,260.2113412310104
934492,Stéphane_Ruffier,10.0,235,44,170,2.1809254,16.639742,934492,1,2,0.0
949002,Sinsheim,17.5,60,163,0,0.062271543,0.9401063,949002,4,2,1.5
950292,Ginette_Leclerc,12.5,193,77,88,-3.2130938,-16.460093,950292,2,5,262.3966136492394
958531,Gildas,12.5,235,94,0,10.731473,-19.332308,958531,2,1,0.0
961573,Chiwetel_Ejiofor,17.5,193,77,88,17.454088,8.937226,961573,4,5,1675.8017267279863
967120,Records_du_tennis,42.5,114,121,10,24.861635,-18.218628,967120,14,20,1020.0776593761649
