,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1564433,Scheduled_Castes_and_Scheduled_Tribes,23.75,0,135,255,21.207533,19.86787,1564433,12,22,13810.895083859028
1566166,Crisler_Center,11.25,192,192,192,-23.417528,12.438195,1566166,2,32,0.0
1566383,Braylon_Edwards,13.75,60,119,190,7.5722218,-14.06941,1566383,4,10,6368.944397058375
1566564,Judy_Canova,10.0,199,73,95,-9.633322,-22.262936,1566564,1,16,0.0
1569059,Jane_Morris,10.0,192,192,192,18.252424,-5.7368,1569059,1,1,0.0
1571042,Leland_Yee,10.0,89,127,28,13.083532,-1.700407,1571042,1,24,0.0
1571336,Charles_McGraw,10.0,199,73,95,15.628173,-18.147865,1571336,1,16,0.0
1572178,Dave_Schultz_(ice_hockey),10.0,154,122,0,-6.5522203,-5.6806073,1572178,1,13,0.0
1576965,Lanny_Wadkins,10.0,154,122,0,-18.872627,1.5899014,1576965,1,13,0.0
1577016,Tim_Hill_(director),22.5,134,102,154,-14.776767,17.826626,1577016,11,8,7937.158348716293
1581104,Ross_River_virus,10.0,154,122,0,-20.144068,-12.673083,1581104,1,13,0.0
1584122,Laureus_World_Sports_Awards,13.75,176,94,34,-17.77812,9.077444,1584122,4,27,22994.0
1584526,Kevin_Faulk,11.25,60,119,190,-2.3551013,-17.929277,1584526,2,10,3513.4590764284194
1585224,Alex_Smith,28.75,255,15,65,12.192297,11.667321,1585224,16,2,74329.3352404416
1586404,November_1963,11.25,0,174,240,-22.054104,-12.207686,1586404,2,6,0.0
1590554,Ukrainian_Navy,41.25,69,155,0,18.284817,-8.094286,1590554,26,4,8315.67903125272
1590930,Nat_Lofthouse,13.75,0,163,145,5.350276,-8.402834,1590930,4,14,1375.6709066035805
1592450,Broadway_Melody_of_1938,12.5,0,174,240,15.551133,-0.8146962,1592450,3,16,10374.423590651231
1592854,92nd_Street_Y,10.0,228,71,225,-18.341185,-24.487026,1592854,1,7,0.0
1595755,1985?86_NFL_playoffs,16.25,255,15,65,-6.203439,11.60525,1595755,6,2,18187.23589192342
1602327,Gotham_Awards,11.25,228,71,225,23.010435,-16.379374,1602327,2,7,4602.0
1602443,Ralph_Peters,10.0,254,0,145,21.077036,-23.061947,1602443,1,0,0.0
1602795,Dave_Kitson,11.25,234,89,0,7.7638426,5.1424365,1602795,2,21,13889.454103785354
1604312,CCR5,15.0,192,192,192,-20.679682,-10.248924,1604312,5,9,10134.522810771254
1606173,Noel_(film),10.0,0,127,149,6.327399,22.021223,1606173,1,1,0.0
1607446,Jane_Skinner,10.0,89,127,28,-13.454149,14.355307,1607446,1,24,0.0
1613899,Herbert_Blumer,28.75,0,146,232,-13.662114,13.274202,1613899,16,12,872.735529879439
1614112,Monsters_of_the_Midway,22.5,255,15,65,-14.2775,13.96491,1614112,11,2,212.28956769190265
